Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Троицкая																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653					
1	"Число избирателей, внесенных в списки избирателей"	22542	1165	1046	2022	1580	1649	909	657	124	130	1252	210	162	91	419	617	171	245	412	115	520	312	460	160	553	93	634	183	526	709	157	154	1198	408	100	1271	326	1169	475	79	79					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22260	1050	1038	2012	1566	1656	904	643	117	127	1250	200	157	99	417	610	178	247	412	113	520	317	465	162	538	100	653	178	534	721	159	154	1181	410	99	1271	324	1039	476	81	82					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12825	608	542	1170	841	940	450	288	94	84	705	139	111	37	246	360	134	124	261	76	367	200	253	104	349	80	412	113	308	432	110	103	649	239	69	685	176	587	263	53	63					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1478	126	68	90	90	58	60	64	0	16	70	14	6	23	16	35	10	25	17	4	29	30	28	15	18	10	29	4	10	36	5	18	73	19	12	81	27	204	28	8	2					
6	Число погашенных избирательных бюллетеней	7957	316	428	752	635	658	394	291	23	27	475	47	40	39	155	215	34	98	134	33	124	87	184	43	171	10	212	61	216	253	44	33	459	152	18	505	121	248	185	20	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1478	126	68	90	90	58	60	64	0	16	70	14	6	23	16	35	10	25	17	4	29	30	28	15	18	10	29	4	10	36	5	18	73	19	12	81	27	204	28	8	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12822	607	542	1168	841	940	450	288	94	84	705	139	111	37	246	360	134	124	261	76	367	200	253	104	349	80	412	113	308	432	110	103	649	239	69	685	176	587	263	53	63					
9	Число недействительных избирательных бюллетеней	194	8	4	14	6	8	3	4	2	2	6	0	0	0	1	3	3	5	3	2	2	3	3	2	3	0	5	2	9	5	2	1	6	3	1	13	3	51	6	0	0					
10	Число действительных избирательных бюллетеней	14106	725	606	1244	925	990	507	348	92	98	769	153	117	60	261	392	141	144	275	78	394	227	278	117	364	90	436	115	309	463	113	120	716	255	80	753	200	740	285	61	65					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	195	9	9	9	6	14	5	5	3	3	6	3	3	3	5	5	2	4	4	3	5	4	4	3	5	3	8	3	5	5	3	3	6	4	3	7	4	9	5	3	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	75	9	6	6	5	13	0	0	0	1	4	1	2	0	0	0	0	0	4	0	0	0	2	0	2	0	6	0	5	0	0	0	3	0	0	2	1	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	65	3	2	2	2	11	2	1	0	4	0	1	3	0	1	1	1	2	0	3	0	2	1	1	2	1	2	0	0	2	0	0	4	2	0	3	1	4	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	120	0	3	3	1	1	5	5	3	2	2	2	1	3	5	5	2	4	0	3	5	4	2	3	3	3	2	3	0	5	3	3	3	4	3	5	3	6	5	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	569	21	19	35	19	33	4	7	2	5	16	4	5	3	23	16	19	3	32	6	22	22	34	9	24	0	31	4	12	20	5	15	28	10	4	23	5	26	3	0	0					
		3.98%	2.86%	3.11%	2.78%	2.04%	3.31%	0.78%	1.99%	2.13%	5.00%	2.06%	2.61%	4.27%	5.00%	8.78%	4.05%	13.19%	2.01%	11.51%	7.50%	5.56%	9.57%	12.10%	7.56%	6.54%	0.00%	7.03%	3.42%	3.77%	4.27%	4.35%	12.40%	3.88%	3.88%	4.94%	3.00%	2.46%	3.29%	1.03%	0.00%	0.00%					
