Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Шипуновская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867					
1	"Число избирателей, внесенных в списки избирателей"	26987	398	795	286	813	689	208	286	428	1099	574	125	111	581	252	200	246	376	975	920	221	316	170	879	469	548	783	1176	885	683	1043	173	726	839	2690	644	2144	2598	638					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27000	400	800	300	800	700	200	300	450	1100	600	150	150	600	300	200	250	400	1000	950	200	350	200	900	500	600	800	1200	900	700	1000	200	750	850	2500	600	2000	2500	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16195	310	472	198	533	402	133	196	267	655	363	98	83	371	188	137	175	237	579	536	166	217	116	544	283	336	511	697	565	439	602	112	415	508	1340	364	1245	1440	362					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1063	11	32	14	20	19	9	4	26	23	27	1	8	27	12	7	25	10	35	33	6	17	2	32	21	25	16	33	41	17	37	7	14	71	95	17	56	205	8					
6	Число погашенных избирательных бюллетеней	9742	79	296	88	247	279	58	100	157	422	210	51	59	202	100	56	50	153	386	381	28	116	82	324	196	239	273	470	294	244	361	81	321	271	1065	219	699	855	230					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1062	11	32	14	20	19	9	4	26	23	27	1	8	27	12	7	25	10	35	33	6	17	2	32	21	25	16	33	41	17	37	7	14	71	94	17	56	205	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16188	310	472	198	533	402	133	196	267	652	363	98	83	371	188	137	175	237	579	535	166	217	116	544	283	336	511	697	565	438	601	112	415	508	1340	364	1245	1439	362					
9	Число недействительных избирательных бюллетеней	163	4	2	1	4	11	4	2	1	2	2	0	3	3	1	1	1	0	8	9	1	2	0	8	5	3	3	2	3	1	8	3	3	4	10	2	13	29	4					
10	Число действительных избирательных бюллетеней	17087	317	502	211	549	410	138	198	292	673	388	99	88	395	199	143	199	247	606	559	171	232	118	568	299	358	524	728	603	454	630	116	426	575	1424	379	1288	1615	366					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	275	5	7	5	7	5	5	5	5	5	5	5	5	6	5	5	5	5	12	7	5	5	5	5	5	5	7	10	7	7	10	5	7	8	25	5	15	25	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	113	1	2	1	2	1	0	1	2	4	2	0	0	5	1	0	0	1	9	6	0	0	1	2	2	4	2	1	2	2	2	0	2	4	20	2	9	18	2					
