Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Краснощековская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973					
1	"Число избирателей, внесенных в списки избирателей"	16442	1585	1512	1370	526	526	261	1145	265	1204	1328	737	731	1060	846	1527	716	381	584	138					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15620	1500	1400	1250	500	470	265	1100	260	1200	1300	630	600	1000	850	1500	730	375	545	145					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10031	974	913	793	308	361	197	738	167	676	859	477	342	613	542	954	376	278	357	106					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1227	107	149	131	68	58	11	72	22	48	64	12	150	48	22	90	89	23	54	9					
6	Число погашенных избирательных бюллетеней	4290	419	338	326	124	51	57	290	71	476	377	141	108	339	286	456	265	74	62	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1297	107	149	131	68	58	11	70	22	48	64	12	150	48	22	90	89	23	126	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10028	974	911	793	308	361	197	738	167	676	858	477	342	613	542	954	376	278	357	106					
9	Число недействительных избирательных бюллетеней	108	7	14	10	2	8	2	10	1	8	9	0	2	2	4	13	7	3	4	2					
10	Число действительных избирательных бюллетеней	11217	1074	1046	914	374	411	206	798	188	716	913	489	490	659	560	1031	458	298	479	113					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	191	30	22	25	5	5	5	13	2	5	10	7	7	10	7	10	9	10	7	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	127	28	19	24	1	0	4	11	2	3	1	3	2	2	0	7	5	9	6	0					
