Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
"Наименование Избирательной комиссии:    Барнаул, Ленинская"																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167					
1	"Число избирателей, внесенных в списки"	114300	2332	2577	2345	1907	2068	2105	2582	2565	2791	2400	2663	2711	2214	2624	2382	2541	2409	2295	2615	2289	2636	2536	2719	1977	1446	1520	1977	2431	1651	2621	2412	2930	2818	2845	2132	2179	2065	2784	2845	2737	2483	1614	2265	2046	1693	1587	1585	959	1914	2204	95	97	12	70					
2	"Число бюллетеней, полученных участковыми комиссиями"	103150	2080	2300	2080	1730	1850	1850	2300	2300	2490	2080	2300	2490	1970	2300	2080	2300	2190	1970	2300	1970	2300	2300	2490	1730	1320	1350	1730	2080	1550	2300	2190	2550	2490	2550	1970	1970	1850	2490	2550	2490	2200	1440	1970	1850	1450	1300	1350	900	1540	1970	500	500	500	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	62639	1226	1459	1256	1110	1210	1209	1449	1471	1700	1341	1501	1603	1146	1579	1339	1450	1272	1247	1483	1317	1513	1454	1488	1132	808	801	1136	1275	962	1205	1329	1418	1515	1600	1197	1204	1093	1591	1475	1508	1087	832	1336	1137	874	669	750	309	832	1510	95	58	12	66					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1833	49	50	43	27	14	44	48	30	49	38	48	43	25	61	29	45	23	33	37	43	43	47	55	28	32	18	27	49	18	21	29	33	30	29	40	27	46	53	48	39	68	30	28	9	8	9	22	62	36	53	0	17	0	0					
6	Число погашенных бюллетеней	38678	805	791	781	593	626	597	803	799	741	701	751	844	799	660	712	805	895	690	780	610	744	799	947	570	480	531	567	756	570	1074	832	1099	945	921	733	739	711	846	1027	943	1045	578	606	704	568	622	578	529	672	407	405	425	488	434					
7	Число бюллетеней в переносных ящиках для голосования	1907	49	50	43	27	14	44	48	30	49	38	48	43	25	61	29	45	23	33	37	43	43	47	54	28	32	18	27	49	18	21	29	33	30	29	40	27	46	53	48	39	68	30	28	9	8	9	22	62	36	53	75	17	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	62486	1225	1459	1245	1110	1210	1209	1448	1471	1700	1341	1501	1599	1121	1569	1320	1450	1269	1243	1483	1317	1513	1454	1488	1132	808	801	1136	1275	961	1203	1328	1418	1515	1600	1197	1204	1092	1585	1471	1508	1087	830	1336	1155	874	669	750	309	832	1509	20	58	12	66					
9	Число недействительных бюллетеней	650	10	23	9	7	19	19	8	12	13	12	20	20	15	11	9	15	8	13	29	10	27	22	22	27	13	11	13	10	5	6	14	0	9	12	9	13	10	16	19	16	6	5	16	12	6	14	3	5	7	18	2	0	0	0					
10	Число действительных бюллетеней	63743	1264	1486	1279	1130	1205	1234	1488	1489	1736	1367	1529	1622	1131	1619	1340	1480	1284	1263	1491	1350	1529	1479	1520	1133	827	808	1150	1314	974	1218	1343	1451	1536	1617	1228	1218	1128	1622	1500	1531	1149	855	1348	1152	876	664	769	366	861	1544	93	75	12	66					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1300	30	35	35	20	20	20	35	25	32	25	20	27	30	35	25	30	40	45	25	20	35	35	23	20	20	20	37	20	20	26	27	20	20	45	30	20	22	23	33	30	20	20	20	20	20	20	20	20	20	20	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1033	24	24	26	17	19	20	26	19	29	22	19	27	24	29	18	18	37	28	21	18	27	24	20	16	15	15	32	20	16	16	25	17	18	42	28	12	21	18	31	30	17	12	20	20	12	14	4	2	10	14	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	705	22	17	13	14	7	11	12	18	10	10	16	9	13	8	17	15	10	10	11	11	36	14	11	14	14	9	14	18	8	21	19	15	17	14	15	9	11	13	8	6	6	8	14	7	5	5	5	12	16	20	11	44	12	0					
14	Число погашенных открепительных удостоверений	267	6	11	9	3	1	0	9	6	3	3	1	0	6	6	7	12	3	17	4	2	8	11	3	4	5	5	5	0	4	10	2	3	2	3	2	8	1	5	2	0	3	8	0	0	8	6	16	18	10	6	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
