Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Волчихинская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700					
1	"Число избирателей, внесенных в списки"	16574	2334	1710	2124	2415	506	1044	309	797	1028	765	371	339	607	506	807	797	115					
2	"Число бюллетеней, полученных участковыми комиссиями"	15115	2030	1600	1870	2200	460	960	300	720	940	700	360	330	600	490	720	720	115					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8683	992	801	997	1099	306	652	159	468	508	393	234	234	382	358	518	513	69					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	461	80	53	37	37	14	26	16	27	18	14	20	22	19	11	30	29	8					
6	Число погашенных бюллетеней	5971	958	746	836	1064	140	282	125	225	414	293	106	74	199	121	172	178	38					
7	Число бюллетеней в переносных ящиках для голосования	461	80	53	37	37	14	26	16	27	18	14	20	22	19	11	30	29	8					
8	Число бюллетеней в стационарных ящиках для голосования	8683	992	801	997	1099	306	652	159	468	508	393	234	234	382	358	518	513	69					
9	Число недействительных бюллетеней	107	3	9	5	14	4	13	9	15	6	2	0	3	5	2	5	10	2					
10	Число действительных бюллетеней	9037	1069	845	1029	1122	316	665	166	480	520	405	254	253	396	367	543	532	75					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	185	20	20	20	20	5	10	5	10	15	10	5	5	10	5	10	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	3	1	5	4	2	1	0	1	0	0	0	0	0	0	0	0	0					
