Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Мазановская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418					
1	"Число избирателей, внесенных в список избирателей"	10520	532	1248	1450	511	143	235	234	58	185	221	111	234	71	372	513	654	85	171	157	31	45	37	470	129	194	86	282	295	70	70	38	99	58	731	301	347	52					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10867	490	1290	1340	550	150	250	240	60	200	430	120	230	67	390	530	700	90	170	160	30	50	40	480	130	210	90	270	320	70	80	40	100	60	740	300	350	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	60	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5660	223	535	563	207	90	133	150	49	145	204	55	175	3	187	283	449	60	113	90	18	27	32	265	73	105	49	190	196	51	65	34	81	43	352	146	182	37					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	504	16	31	167	2	5	11	6	0	19	17	8	11	0	9	37	13	0	13	10	1	0	1	29	3	15	4	19	0	0	5	0	0	0	11	13	28	0					
6	Число погашенных избирательных бюллетеней	4643	251	724	610	341	55	106	84	11	36	209	57	44	4	194	210	238	30	44	60	11	23	7	186	54	90	37	61	124	19	10	6	19	17	377	141	140	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	564	16	31	167	2	5	11	6	0	19	17	8	11	60	9	37	13	0	13	10	1	0	1	29	3	15	4	19	0	0	5	0	0	0	11	13	28	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5658	223	535	563	207	90	133	150	49	145	204	55	175	3	187	283	449	60	113	90	18	27	32	265	73	105	49	190	196	51	65	34	81	43	350	146	182	37					
9	Число недействительных избирательных бюллетеней	151	5	13	22	6	2	3	2	1	3	7	4	2	15	3	7	5	0	1	2	1	0	0	5	2	3	1	7	10	0	1	0	0	0	7	6	5	0					
10	Число действительных избирательных бюллетеней	6071	234	553	708	203	93	141	154	48	161	214	59	184	48	193	313	457	60	125	98	18	27	33	289	74	117	52	202	186	51	69	34	81	43	354	153	205	37					
