Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Лешуконская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535					
1	"Число избирателей, внесенных в списки"	7460	70	148	136	499	53	97	77	411	182	39	174	394	102	41	59	97	64	39	199	51	83	1083	1487	1131	39	33	88	192	181	33	178					
2	"Число бюллетеней, полученных участковыми комиссиями"	7790	74	160	157	515	55	112	87	540	187	48	188	369	105	52	68	103	73	46	210	56	86	1086	1478	1100	41	48	86	219	200	39	202					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4500	0	92	88	318	40	48	60	253	110	39	152	290	83	30	56	71	41	31	132	43	63	623	769	603	18	31	53	129	111	24	99					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	306	0	0	0	18	4	34	2	20	17	0	4	12	9	0	0	9	19	3	18	0	3	28	25	45	10	0	7	3	0	1	15					
6	Число погашенных бюллетеней	2924	14	68	69	179	11	30	25	267	60	9	32	67	13	22	12	23	13	12	60	13	20	435	684	452	13	17	26	87	89	14	88					
7	Число бюллетеней в переносных ящиках для голосования	318	12	0	0	18	4	34	2	20	17	0	4	12	9	0	0	9	19	3	18	0	3	28	25	45	10	0	7	3	0	1	15					
8	Число бюллетеней в стационарных ящиках для голосования	4548	48	92	88	318	40	48	60	253	110	39	152	290	83	30	56	71	41	31	132	43	63	623	769	603	18	31	53	129	111	24	99					
9	Число недействительных бюллетеней	54	1	0	0	2	4	0	0	2	3	0	1	5	3	0	0	2	0	1	0	0	0	9	10	5	0	0	3	2	1	0	0					
10	Число действительных бюллетеней	4812	59	92	88	334	40	82	62	271	124	39	155	297	89	30	56	78	60	33	150	43	66	642	784	643	28	31	57	130	110	25	114					
