Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Знаменская городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133					
1	"Число избирателей, внесенных в списки избирателей"	23999	2610	2476	2655	2158	2248	2462	2407	2356	2177	2450					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19000	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	353	0	0	64	0	0	18	0	180	91	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15347	1611	1787	1627	1349	1449	1603	1646	1381	1413	1481					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	397	64	14	147	28	27	29	13	15	7	53					
6	Число погашенных избирательных бюллетеней	2903	225	99	62	523	424	250	241	324	389	366					
7	Число избирательных бюллетеней в переносных ящиках для голосования	750	64	14	211	28	27	47	13	195	98	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15338	1611	1786	1627	1349	1449	1601	1642	1380	1413	1480					
9	Число недействительных избирательных бюллетеней	186	24	23	22	12	18	22	11	20	21	13					
10	Число действительных избирательных бюллетеней	15902	1651	1777	1816	1365	1458	1626	1644	1555	1490	1520					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	375	37	42	37	37	37	37	37	37	37	37					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	282	22	38	28	18	28	15	30	31	35	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	184	21	20	17	24	18	9	34	13	13	15					
14	Число погашенных неиспользованных открепительных удостоверений	93	15	4	9	19	9	22	7	6	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	5	2	0	1	0	1	1	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	345	29	35	35	21	36	42	40	36	39	32					
		2.14%	1.73%	1.94%	1.90%	1.53%	2.44%	2.55%	2.42%	2.29%	2.58%	2.09%					
19	2.Всероссийская политическая партия «Гражданская Сила»	119	10	17	9	9	6	12	14	15	9	18					
		0.74%	0.60%	0.94%	0.49%	0.65%	0.41%	0.73%	0.85%	0.95%	0.60%	1.17%					
20	3.Политическая партия «Демократическая партия России»	9	0	2	1	2	1	1	0	1	0	1					
		0.06%	0.00%	0.11%	0.05%	0.15%	0.07%	0.06%	0.00%	0.06%	0.00%	0.07%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1806	194	215	190	165	187	203	217	154	132	149					
		11.23%	11.58%	11.94%	10.34%	11.98%	12.67%	12.32%	13.11%	9.78%	8.74%	9.72%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	58	12	8	4	3	7	3	2	6	6	7					
		0.36%	0.72%	0.44%	0.22%	0.22%	0.47%	0.18%	0.12%	0.38%	0.40%	0.46%					
23	6.Политическая партия «Партия социальной справедливости»	39	5	4	3	6	1	1	4	6	2	7					
		0.24%	0.30%	0.22%	0.16%	0.44%	0.07%	0.06%	0.24%	0.38%	0.13%	0.46%					
24	7.Политическая партия «Либерально-демократическая партия России»	2332	215	268	265	197	165	287	231	244	251	209					
		14.50%	12.84%	14.89%	14.42%	14.31%	11.18%	17.42%	13.96%	15.49%	16.61%	13.63%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2047	148	167	257	187	229	199	191	215	232	222					
		12.72%	8.84%	9.28%	13.98%	13.58%	15.51%	12.08%	11.54%	13.65%	15.35%	14.48%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	534	54	78	52	77	43	41	61	44	44	40					
		3.32%	3.22%	4.33%	2.83%	5.59%	2.91%	2.49%	3.69%	2.79%	2.91%	2.61%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8481	975	973	986	693	761	830	869	810	765	819					
		52.72%	58.21%	54.06%	53.65%	50.33%	51.56%	50.36%	52.51%	51.43%	50.63%	53.42%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	132	9	10	14	5	22	7	15	24	10	16					
		0.82%	0.54%	0.56%	0.76%	0.36%	1.49%	0.42%	0.91%	1.52%	0.66%	1.04%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
