Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Волоконовская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494					
1	"Число избирателей, внесенных в список избирателей"	27201	680	1814	1496	1818	1204	1400	1019	1230	594	296	433	227	659	520	781	159	168	1009	187	306	1833	1974	331	222	895	354	371	407	688	370	708	263	576	629	442	281	207	650					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26511	670	1750	1400	1700	1180	1350	1000	1200	590	295	430	225	655	520	770	163	168	1000	185	305	1750	1850	330	220	890	350	370	400	685	365	705	265	580	625	435	280	205	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21286	502	1470	1168	1516	910	1170	845	914	432	202	292	123	521	407	594	145	154	809	162	281	1607	1694	249	112	548	259	200	276	443	232	659	242	374	525	333	231	179	506					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2805	138	69	68	98	69	80	52	68	77	71	101	91	99	93	97	6	2	68	14	17	96	145	65	88	119	50	105	61	156	103	28	16	127	62	66	34	23	83					
6	Число погашенных избирательных бюллетеней	2420	30	211	164	86	201	100	103	218	81	22	37	11	35	20	79	12	12	123	9	7	47	11	16	20	223	41	65	63	86	30	18	7	79	38	36	15	3	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2805	138	69	68	98	69	80	52	68	77	71	101	91	99	93	97	6	2	68	14	17	96	145	65	88	119	50	105	61	156	103	28	16	127	62	66	34	23	83					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21271	502	1470	1168	1501	910	1170	845	914	432	202	292	123	521	407	594	145	154	809	162	281	1607	1694	249	112	548	259	200	276	443	232	659	242	374	525	333	231	179	506					
9	Число недействительных избирательных бюллетеней	456	8	21	6	15	8	4	10	12	44	9	13	1	44	7	12	0	18	12	0	15	26	12	30	14	19	3	3	3	9	2	8	1	27	3	13	11	3	10					
10	Число действительных избирательных бюллетеней	23620	632	1518	1230	1584	971	1246	887	970	465	264	380	213	576	493	679	151	138	865	176	283	1677	1827	284	186	648	306	302	334	590	333	679	257	474	584	386	254	199	579					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	373	10	45	20	25	20	20	20	20	5	5	5	5	5	5	5	5	5	10	5	5	15	20	5	5	8	5	7	5	5	5	5	5	10	8	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	240	9	39	20	25	6	12	6	15	2	2	1	0	5	3	3	2	1	5	2	1	12	12	3	0	7	2	6	0	4	0	2	5	10	7	2	5	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	176	5	16	17	12	4	8	7	8	5	3	4	6	7	3	3	2	2	5	0	1	4	4	1	1	4	5	3	4	3	2	4	2	2	6	3	2	2	6					
14	Число погашенных неиспользованных открепительных удостоверений	133	1	6	0	0	14	8	14	5	3	3	4	5	0	2	2	3	4	5	3	4	3	8	2	5	1	3	1	5	1	5	3	0	0	1	3	0	4	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	6	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
