Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Прохоровская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887					
1	"Число избирателей, внесенных в список избирателей"	22960	903	250	346	920	388	289	616	183	609	135	351	348	135	215	328	282	410	434	189	167	367	332	128	755	161	743	179	296	178	250	101	629	1178	1162	1176	1361	1101	1181	1470	146	203	560	113	460	190	97	655	290					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23200	927	244	359	936	395	294	625	187	633	136	352	353	136	220	338	285	406	460	190	170	369	332	124	747	159	740	181	299	183	248	102	636	1139	1177	1197	1341	1120	1214	1509	140	195	561	112	472	188	97	674	298					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16011	732	197	35	472	168	162	435	102	434	79	220	257	98	133	248	213	279	273	119	117	234	231	76	524	122	526	96	163	77	156	78	462	756	857	663	1032	918	854	1162	112	160	493	87	386	137	67	617	192					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4163	78	37	285	213	168	88	113	81	161	54	128	89	33	58	65	42	84	69	65	49	128	91	45	172	35	86	81	66	73	88	21	119	194	57	153	69	53	185	116	26	24	48	21	54	50	30	25	93					
6	Число погашенных избирательных бюллетеней	3026	117	10	39	251	59	44	77	4	38	3	4	7	5	29	25	30	43	118	6	4	7	10	3	51	2	128	4	70	33	4	3	55	189	263	381	240	149	175	231	2	11	20	4	32	1	0	32	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4163	78	37	285	213	168	88	113	81	161	54	128	89	33	58	65	42	84	69	65	49	128	91	45	172	35	86	81	66	73	88	21	119	194	57	153	69	53	185	116	26	24	48	21	54	50	30	25	93					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16011	732	197	35	472	168	162	435	102	434	79	220	257	98	133	248	213	279	273	119	117	234	231	76	524	122	526	96	163	77	156	78	462	756	857	663	1032	918	854	1162	112	160	493	87	386	137	67	617	192					
9	Число недействительных избирательных бюллетеней	238	35	16	2	15	0	5	2	1	6	2	0	0	0	0	1	0	0	4	13	0	6	0	0	6	5	7	0	0	3	1	0	8	10	13	6	9	15	19	8	0	12	4	1	1	1	0	0	1					
10	Число действительных избирательных бюллетеней	19936	775	218	318	670	336	245	546	182	589	131	348	346	131	191	312	255	363	338	171	166	356	322	121	690	152	605	177	229	147	243	99	573	940	901	810	1092	956	1020	1270	138	172	537	107	439	186	97	642	284					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	392	18	2	2	14	2	3	5	2	10	2	2	2	2	4	6	5	6	21	2	4	8	2	2	11	2	10	2	5	4	11	2	10	15	40	13	22	22	20	24	2	14	6	2	11	2	2	10	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	223	9	1	2	14	2	3	3	0	10	0	0	0	1	1	6	1	2	21	0	0	2	0	0	1	0	4	0	4	4	7	0	2	12	23	9	15	13	11	18	2	1	3	0	6	1	0	7	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	165	3	5	2	1	4	2	4	2	4	3	2	0	1	1	3	2	7	4	0	3	3	2	3	5	2	8	2	4	3	3	1	3	10	16	2	2	8	6	6	3	2	3	2	4	4	1	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	169	9	1	0	0	0	0	2	2	0	2	2	2	1	3	0	4	4	0	2	4	6	2	2	10	2	6	2	1	0	4	2	8	3	17	4	7	9	9	6	0	13	3	2	5	1	2	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1327	65	24	19	54	21	28	23	10	34	3	2	3	1	11	18	10	9	29	4	1	10	4	4	28	2	48	11	17	12	17	5	46	109	93	75	112	84	72	110	8	18	45	1	10	3	0	10	4					
		6.58%	8.02%	10.26%	5.94%	7.88%	6.25%	11.20%	4.20%	5.46%	5.71%	2.26%	0.57%	0.87%	0.76%	5.76%	5.75%	3.92%	2.48%	8.48%	2.17%	0.60%	2.76%	1.24%	3.31%	4.02%	1.27%	7.84%	6.21%	7.42%	8.00%	6.97%	5.05%	7.92%	11.47%	10.18%	9.19%	10.17%	8.65%	6.93%	8.61%	5.80%	9.78%	8.32%	0.93%	2.27%	1.60%	0.00%	1.56%	1.40%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1342	29	19	21	52	20	19	5	8	31	2	2	1	2	13	19	19	20	28	1	3	9	6	1	46	4	75	7	15	7	15	3	42	88	112	78	98	115	90	149	5	10	31	4	5	4	2	4	3					
		6.65%	3.58%	8.12%	6.56%	7.59%	5.95%	7.60%	0.91%	4.37%	5.21%	1.50%	0.57%	0.29%	1.53%	6.81%	6.07%	7.45%	5.51%	8.19%	0.54%	1.81%	2.49%	1.86%	0.83%	6.61%	2.55%	12.25%	3.95%	6.55%	4.67%	6.15%	3.03%	7.23%	9.26%	12.25%	9.56%	8.90%	11.84%	8.66%	11.66%	3.62%	5.43%	5.73%	3.70%	1.14%	2.14%	2.06%	0.62%	1.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	83	3	0	0	3	3	1	2	0	0	0	0	1	0	0	1	1	1	1	0	0	3	0	2	4	1	3	0	0	1	0	0	1	5	9	8	6	11	7	3	0	1	1	0	0	0	0	0	0					
		0.41%	0.37%	0.00%	0.00%	0.44%	0.89%	0.40%	0.36%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.32%	0.39%	0.28%	0.29%	0.00%	0.00%	0.83%	0.00%	1.65%	0.57%	0.64%	0.49%	0.00%	0.00%	0.67%	0.00%	0.00%	0.17%	0.53%	0.98%	0.98%	0.54%	1.13%	0.67%	0.23%	0.00%	0.54%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2505	156	33	24	128	48	30	38	6	43	4	8	11	4	32	34	30	42	49	4	5	9	19	4	72	6	91	13	44	12	26	10	61	193	179	177	184	154	147	208	3	24	56	3	25	2	2	18	34					
		12.42%	19.26%	14.10%	7.50%	18.69%	14.29%	12.00%	6.93%	3.28%	7.23%	3.01%	2.30%	3.18%	3.05%	16.75%	10.86%	11.76%	11.57%	14.33%	2.17%	3.01%	2.49%	5.90%	3.31%	10.34%	3.82%	14.87%	7.34%	19.21%	8.00%	10.66%	10.10%	10.50%	20.32%	19.58%	21.69%	16.71%	15.86%	14.15%	16.28%	2.17%	13.04%	10.35%	2.78%	5.68%	1.07%	2.06%	2.80%	11.93%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	134	7	5	0	3	2	0	1	1	6	0	1	0	0	0	0	0	4	0	0	0	1	0	0	1	1	5	2	1	5	1	0	1	14	10	6	16	9	12	16	0	0	2	0	0	0	0	0	1					
		0.66%	0.86%	2.14%	0.00%	0.44%	0.60%	0.00%	0.18%	0.55%	1.01%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.14%	0.64%	0.82%	1.13%	0.44%	3.33%	0.41%	0.00%	0.17%	1.47%	1.09%	0.74%	1.45%	0.93%	1.15%	1.25%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14506	512	137	253	427	242	167	477	157	473	122	335	330	124	134	239	195	286	227	162	157	324	292	110	539	138	382	144	152	110	184	81	422	527	494	462	675	581	692	782	122	119	400	99	399	177	93	610	240					
		71.90%	63.21%	58.55%	79.06%	62.34%	72.02%	66.80%	87.04%	85.79%	79.50%	91.73%	96.26%	95.38%	94.66%	70.16%	76.36%	76.47%	78.79%	66.37%	88.04%	94.58%	89.50%	90.68%	90.91%	77.44%	87.90%	62.42%	81.36%	66.38%	73.33%	75.41%	81.82%	72.63%	55.47%	54.05%	56.62%	61.31%	59.84%	66.60%	61.19%	88.41%	64.67%	73.94%	91.67%	90.68%	94.65%	95.88%	95.02%	84.21%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	39	3	0	1	3	0	0	0	0	2	0	0	0	0	1	1	0	1	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	4	4	1	2	0	2	0	0	2	0	0	0	0	0	2					
		0.19%	0.37%	0.00%	0.31%	0.44%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.52%	0.32%	0.00%	0.28%	1.17%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.44%	0.49%	0.09%	0.21%	0.00%	0.16%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
