Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
"Наименование Избирательной комиссии:    Брянск, Бежицкая"																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62					
1	"Число избирателей, внесенных в список избирателей"	134132	1402	2952	2539	1646	2746	2252	1965	1650	1757	1857	1806	1827	2299	2295	1708	1952	2100	2226	2516	2301	2277	2825	2569	2503	2208	1719	1850	2162	2141	1172	2253	2701	2769	2394	2954	2238	2529	2155	1453	1719	2116	2302	2447	2344	2815	2568	1051	2607	1306	1825	2720	2736	898	2348	2389	2730	2842	1431	2083	1814	2017	2356					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	133690	1400	2800	2500	1600	2800	2200	2000	1700	1700	1800	1900	1900	2300	2300	1700	1900	2100	2100	2500	2300	2200	2800	2600	2600	2300	1700	1900	2200	2100	1800	2300	2700	2700	2300	3000	2100	2600	2100	1200	1500	1800	2300	1900	2400	2890	2600	1100	2700	1100	1800	2800	2800	1000	2400	2400	2800	2900	1400	2100	1900	2000	2400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	68760	553	2059	1173	864	1205	1002	900	891	972	900	765	800	907	1006	910	1059	1117	1172	1261	1062	1231	1468	1294	1199	1095	901	915	904	978	798	1133	1294	1341	1121	1761	1212	1410	1244	909	1008	1223	1214	1684	1189	1444	1238	505	1462	781	929	1398	1241	898	1137	1175	1367	1341	699	841	917	1046	1237					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3401	157	42	318	29	55	45	28	34	26	29	46	30	21	27	22	40	12	15	22	70	35	33	38	41	18	10	94	21	69	75	22	31	62	116	14	84	40	56	12	31	14	43	8	139	58	127	26	20	91	71	138	46	0	96	47	33	66	95	203	16	83	11					
6	Число погашенных избирательных бюллетеней	61529	690	699	1009	707	1540	1153	1072	775	702	871	1089	1070	1372	1267	768	801	971	913	1217	1168	934	1299	1268	1360	1187	789	891	1275	1053	927	1145	1375	1297	1063	1225	804	1150	800	279	461	563	1043	208	1072	1388	1235	569	1218	228	800	1264	1513	102	1167	1178	1400	1493	606	1056	967	871	1152					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3401	157	42	318	29	55	45	28	34	26	29	46	30	21	27	22	40	12	15	22	70	35	33	38	41	18	10	94	21	69	75	22	31	62	116	14	84	40	56	12	31	14	43	8	139	58	127	26	20	91	71	138	46	0	96	47	33	66	95	203	16	83	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68601	553	2059	1173	864	1205	1002	899	891	972	900	765	800	906	1006	910	1059	1117	1172	1261	1062	1231	1466	1294	1199	1095	901	906	904	978	798	1133	1268	1340	1121	1761	1128	1410	1244	901	1008	1223	1214	1684	1189	1444	1237	505	1442	781	929	1394	1240	898	1137	1175	1367	1341	699	841	917	1046	1236					
9	Число недействительных избирательных бюллетеней	1138	8	22	33	12	17	19	14	8	7	6	12	15	9	17	15	22	19	20	19	17	11	18	14	13	16	21	9	14	15	15	20	22	18	12	20	11	18	17	8	9	20	7	23	26	24	21	5	18	11	128	23	11	63	20	14	20	16	10	18	16	12	20					
10	Число действительных избирательных бюллетеней	70864	702	2079	1458	881	1243	1028	913	917	991	923	799	815	918	1016	917	1077	1110	1167	1264	1115	1255	1481	1318	1227	1097	890	991	911	1032	858	1135	1277	1384	1225	1755	1201	1432	1283	905	1030	1217	1250	1669	1302	1478	1343	526	1444	861	872	1509	1275	835	1213	1208	1380	1391	784	1026	917	1117	1227					
