Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
"Наименование Избирательной комиссии:    Брянск, Фокинская"																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
1	"Число избирателей, внесенных в списки"	70058	2275	2571	2326	2372	2882	2885	2519	695	2602	2315	2920	2489	2718	2422	2075	2102	1837	1357	2809	2313	1875	2911	2176	2575	2445	2642	2298	2045	2577	2030					
2	"Число бюллетеней, полученных участковыми комиссиями"	68798	2214	2450	2328	2379	2823	2865	2527	689	2549	2268	2843	2426	2710	2327	2074	2110	1831	1325	2792	2307	1866	2872	2128	2555	2309	2550	2291	2040	2319	2031					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	34416	869	1394	1189	1243	1267	1604	1408	423	1383	1057	1094	852	1122	1102	939	1063	1032	748	1559	1104	961	1547	1225	1286	1354	1249	1171	975	1142	1054					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	787	28	22	13	11	14	16	13	11	12	30	20	24	22	27	21	30	24	15	10	20	3	29	22	17	121	2	42	71	55	42					
6	Число погашенных бюллетеней	33595	1317	1034	1126	1125	1542	1245	1106	255	1154	1181	1729	1550	1566	1198	1114	1017	775	562	1223	1183	902	1296	881	1252	834	1299	1078	994	1122	935					
7	Число бюллетеней в переносных ящиках для голосования	787	28	22	13	11	14	16	13	11	12	30	20	24	22	27	21	30	24	15	10	20	3	29	22	17	121	2	42	71	55	42					
8	Число бюллетеней в стационарных ящиках для голосования	34216	869	1396	1189	1242	1267	1580	1406	423	1383	1057	1093	849	1092	1099	939	1063	1032	748	1558	1104	961	1546	1225	1286	1217	1249	1171	976	1142	1054					
9	Число недействительных бюллетеней	411	19	16	16	17	13	13	19	8	16	11	13	8	13	5	8	7	22	9	15	25	5	11	14	13	23	11	17	18	11	15					
10	Число действительных бюллетеней	34592	878	1402	1186	1236	1268	1583	1400	426	1379	1076	1100	865	1101	1121	952	1086	1034	754	1553	1099	959	1564	1233	1290	1315	1240	1196	1029	1186	1081					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	590	20	20	20	20	20	20	20	15	20	20	20	20	20	20	20	20	20	15	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	213	4	3	13	5	13	5	6	2	13	8	6	3	9	5	11	4	5	1	7	14	10	9	10	10	10	10	5	3	4	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	179	3	3	6	5	3	11	2	6	11	6	5	4	7	5	5	6	12	7	5	5	2	5	10	11	8	5	5	5	5	6					
14	Число погашенных открепительных удостоверений	377	16	17	7	15	7	15	14	13	7	12	14	17	11	15	9	16	15	14	13	6	10	11	10	10	10	10	15	17	16	15					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	269	10	8	7	11	7	13	11	2	2	7	7	8	3	9	11	5	4	10	20	12	4	12	13	12	11	10	9	12	11	8					
		0.76%	1.11%	0.56%	0.58%	0.87%	0.54%	0.81%	0.77%	0.46%	0.14%	0.64%	0.62%	0.91%	0.26%	0.79%	1.14%	0.45%	0.37%	1.31%	1.27%	1.06%	0.41%	0.76%	1.04%	0.92%	0.82%	0.79%	0.74%	1.14%	0.91%	0.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1428	37	74	71	59	41	63	70	25	92	52	26	33	34	37	46	44	41	37	70	46	55	67	51	35	66	64	29	17	29	17					
		4.07%	4.12%	5.21%	5.90%	4.70%	3.20%	3.94%	4.93%	5.76%	6.59%	4.78%	2.33%	3.78%	3.05%	3.28%	4.79%	4.02%	3.88%	4.84%	4.46%	4.09%	5.70%	4.25%	4.08%	2.68%	4.93%	5.11%	2.39%	1.62%	2.42%	1.55%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	671	12	32	19	24	21	39	34	10	21	18	14	19	19	22	16	25	12	20	22	28	12	29	23	30	36	18	36	25	19	16					
		1.91%	1.33%	2.25%	1.58%	1.91%	1.63%	2.44%	2.39%	2.30%	1.50%	1.65%	1.25%	2.17%	1.70%	1.95%	1.66%	2.28%	1.13%	2.62%	1.40%	2.49%	1.24%	1.84%	1.84%	2.30%	2.69%	1.43%	2.96%	2.38%	1.58%	1.45%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1204	19	60	44	66	47	71	44	28	61	42	32	24	32	36	22	50	40	32	50	30	49	47	30	30	55	46	34	29	32	22					
