Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
"Наименование Избирательной комиссии:    Владимир, Октябрьская"																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418					
1	"Число избирателей, внесенных в списки"	64117	2713	2842	2673	2769	2288	2131	1680	2329	2633	2667	2315	2038	2835	2508	2625	2131	2607	2163	2616	2663	2678	1207	2117	2122	2582	2234	1951					
2	"Число бюллетеней, полученных участковыми комиссиями"	58350	2450	2600	2450	2550	2100	1950	1550	2100	2400	2450	2100	1850	2600	2250	2400	1950	2350	1950	2350	2400	2400	1100	1950	1950	2350	2050	1750					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	31600	1366	1370	1222	1445	1052	1103	819	903	1530	1044	1203	1009	1349	1467	1281	1197	1355	1048	1356	1206	1383	618	1201	1085	1218	966	804					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1497	69	27	70	72	44	49	34	31	52	25	47	54	77	100	59	34	36	161	43	50	78	29	53	52	53	29	69					
6	Число погашенных бюллетеней	25253	1015	1203	1158	1033	1004	798	697	1166	818	1381	850	787	1174	683	1060	719	959	741	951	1144	939	453	696	813	1079	1055	877					
7	Число бюллетеней в переносных ящиках для голосования	1497	69	27	70	72	44	49	34	31	52	25	47	54	77	100	59	34	36	161	43	50	78	29	53	52	53	29	69					
8	Число бюллетеней в стационарных ящиках для голосования	31560	1366	1369	1222	1443	1052	1103	818	903	1530	1044	1200	1009	1326	1467	1281	1196	1353	1047	1354	1205	1382	618	1201	1085	1216	966	804					
9	Число недействительных бюллетеней	412	15	13	13	19	26	15	15	9	14	20	7	18	19	14	19	12	8	7	25	14	16	8	16	29	16	11	14					
10	Число действительных бюллетеней	32645	1420	1383	1279	1496	1070	1137	837	925	1568	1049	1240	1045	1384	1553	1321	1218	1381	1201	1372	1241	1444	639	1238	1108	1253	984	859					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	540	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	202	7	8	4	4	7	9	6	1	16	6	9	7	9	8	7	7	8	4	12	6	6	3	14	13	6	7	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	186	5	5	6	4	12	7	6	1	10	5	1	5	8	8	9	13	11	10	11	7	13	10	4	0	4	4	7					
14	Число погашенных открепительных удостоверений	338	13	12	16	16	13	11	14	19	4	14	11	13	11	12	13	13	12	16	8	14	14	17	6	7	14	13	12					
15	Число открепительных удостоверений выданных ТИК	31	1	1	7	2	3	1	0	1	1	2	1	1	1	1	0	1	1	1	0	1	0	0	1	0	2	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	210	8	15	9	8	9	2	5	8	7	3	4	6	14	9	15	6	7	6	9	9	6	5	5	10	11	5	9					
		0.63%	0.55%	1.07%	0.69%	0.52%	0.82%	0.17%	0.58%	0.85%	0.44%	0.28%	0.32%	0.56%	0.99%	0.57%	1.11%	0.48%	0.50%	0.49%	0.64%	0.71%	0.41%	0.77%	0.39%	0.87%	0.86%	0.50%	1.03%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1828	64	61	96	65	56	55	47	67	71	73	85	51	105	106	71	92	80	74	81	80	51	31	76	54	63	39	34					
		5.52%	4.45%	4.36%	7.43%	4.29%	5.10%	4.77%	5.51%	7.17%	4.48%	6.82%	6.81%	4.79%	7.48%	6.76%	5.29%	7.47%	5.75%	6.12%	5.79%	6.37%	3.49%	4.79%	6.06%	4.74%	4.96%	3.91%	3.89%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2285	103	115	85	132	64	105	72	47	76	44	83	60	71	101	88	107	85	77	81	98	133	49	81	82	83	71	92					
		6.91%	7.17%	8.23%	6.57%	8.71%	5.83%	9.11%	8.45%	5.03%	4.80%	4.11%	6.65%	5.64%	5.06%	6.44%	6.56%	8.69%	6.11%	6.37%	5.79%	7.80%	9.10%	7.57%	6.45%	7.21%	6.54%	7.13%	10.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2287	104	87	87	93	83	69	56	81	114	79	65	82	58	139	99	75	120	85	118	110	83	28	90	89	91	59	43					
		6.91%	7.24%	6.23%	6.73%	6.13%	7.57%	5.98%	6.57%	8.67%	7.20%	7.39%	5.21%	7.71%	4.13%	8.87%	7.38%	6.09%	8.63%	7.03%	8.44%	8.76%	5.68%	4.32%	7.17%	7.82%	7.17%	5.92%	4.92%					
22	"5. ""За Русь Святую"""	182	9	7	5	6	9	7	9	5	7	10	4	11	6	7	6	7	6	10	5	9	10	1	5	6	7	5	3					
		0.55%	0.62%	0.50%	0.38%	0.39%	0.82%	0.60%	1.05%	0.53%	0.44%	0.93%	0.32%	1.03%	0.42%	0.44%	0.44%	0.56%	0.43%	0.82%	0.35%	0.71%	0.68%	0.15%	0.39%	0.52%	0.55%	0.50%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	65	2	3	3	4	2	2	1	4	2	2	5	1	1	1	4	1	3	3	3	2	3	0	6	1	3	2	1					
		0.19%	0.13%	0.21%	0.23%	0.26%	0.18%	0.17%	0.11%	0.42%	0.12%	0.18%	0.40%	0.09%	0.07%	0.06%	0.29%	0.08%	0.21%	0.24%	0.21%	0.15%	0.20%	0.0%	0.47%	0.08%	0.23%	0.20%	0.11%					
24	"7. ""Новый курс - Автомобильная Россия"""	317	11	21	17	13	16	6	12	9	5	6	14	7	11	10	10	15	15	12	18	7	10	6	15	14	13	12	12					
		0.95%	0.76%	1.50%	1.31%	0.85%	1.45%	0.52%	1.40%	0.96%	0.31%	0.56%	1.12%	0.65%	0.78%	0.63%	0.74%	1.21%	1.07%	0.99%	1.28%	0.55%	0.68%	0.92%	1.19%	1.23%	1.02%	1.20%	1.37%					
25	"8. ""Народно-республиканская партия России"""	36	0	1	0	3	3	1	3	1	1	1	1	4	1	0	1	1	1	1	1	1	3	1	1	3	2	0	0					
		0.10%	0.0%	0.07%	0.0%	0.19%	0.27%	0.08%	0.35%	0.10%	0.06%	0.09%	0.08%	0.37%	0.07%	0.0%	0.07%	0.08%	0.07%	0.08%	0.07%	0.07%	0.20%	0.15%	0.07%	0.26%	0.15%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	885	29	25	33	47	35	39	17	33	60	41	33	36	40	39	39	39	39	31	34	27	13	23	28	21	41	29	14					
		2.67%	2.02%	1.79%	2.55%	3.10%	3.19%	3.38%	1.99%	3.53%	3.79%	3.83%	2.64%	3.38%	2.85%	2.48%	2.91%	3.17%	2.80%	2.56%	2.43%	2.15%	0.89%	3.55%	2.23%	1.84%	3.23%	2.91%	1.60%					
27	"10. ""Аграрная партия России"""	1065	46	50	42	48	36	39	22	28	39	22	29	38	48	47	44	30	40	63	36	36	66	21	39	50	44	30	32					
		3.22%	3.20%	3.58%	3.25%	3.16%	3.28%	3.38%	2.58%	2.99%	2.46%	2.05%	2.32%	3.57%	3.42%	2.99%	3.28%	2.43%	2.87%	5.21%	2.57%	2.86%	4.52%	3.24%	3.11%	4.39%	3.46%	3.01%	3.66%					
28	"11. ""Истинные патриоты России"""	12	0	0	3	0	1	0	1	0	0	1	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.0%	0.23%	0.0%	0.09%	0.0%	0.11%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.24%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	300	7	16	15	14	9	11	11	14	8	11	12	14	10	14	19	9	8	5	9	13	15	5	11	16	10	2	12					
		0.90%	0.48%	1.14%	1.16%	0.92%	0.82%	0.95%	1.29%	1.49%	0.50%	1.02%	0.96%	1.31%	0.71%	0.89%	1.41%	0.73%	0.57%	0.41%	0.64%	1.03%	1.02%	0.77%	0.87%	1.40%	0.78%	0.20%	1.37%					
30	"13. ""Демократическая партия России"""	40	1	1	3	1	0	1	1	0	5	4	2	1	4	1	4	1	1	0	0	0	1	1	0	2	2	1	2					
		0.12%	0.06%	0.07%	0.23%	0.06%	0.0%	0.08%	0.11%	0.0%	0.31%	0.37%	0.16%	0.09%	0.28%	0.06%	0.29%	0.08%	0.07%	0.0%	0.0%	0.0%	0.06%	0.15%	0.0%	0.17%	0.15%	0.10%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	134	7	3	2	6	2	3	3	1	6	1	2	2	7	12	6	7	6	3	5	9	11	4	5	0	10	5	6					
		0.40%	0.48%	0.21%	0.15%	0.39%	0.18%	0.26%	0.35%	0.10%	0.37%	0.09%	0.16%	0.18%	0.49%	0.76%	0.44%	0.56%	0.43%	0.24%	0.35%	0.71%	0.75%	0.61%	0.39%	0.0%	0.78%	0.50%	0.68%					
32	"15. ""Партия СЛОН"""	104	7	6	3	2	3	0	0	3	7	1	3	5	4	10	5	13	3	1	1	3	5	3	4	5	3	4	0					
		0.31%	0.48%	0.42%	0.23%	0.13%	0.27%	0.0%	0.0%	0.32%	0.44%	0.09%	0.24%	0.47%	0.28%	0.63%	0.37%	1.05%	0.21%	0.08%	0.07%	0.23%	0.34%	0.46%	0.31%	0.43%	0.23%	0.40%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3829	200	165	142	168	92	119	89	114	195	85	161	117	154	237	143	134	176	129	173	122	194	84	177	99	160	101	99					
		11.58%	13.93%	11.81%	10.99%	11.08%	8.39%	10.32%	10.44%	12.20%	12.32%	7.95%	12.91%	11.00%	10.97%	15.12%	10.67%	10.89%	12.67%	10.67%	12.38%	9.72%	13.28%	12.98%	14.11%	8.70%	12.60%	10.15%	11.34%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	51	2	3	2	4	1	0	2	1	4	1	0	5	2	3	2	0	5	0	1	2	4	0	0	1	0	4	2					
		0.15%	0.13%	0.21%	0.15%	0.26%	0.09%	0.0%	0.23%	0.10%	0.25%	0.09%	0.0%	0.47%	0.14%	0.19%	0.14%	0.0%	0.35%	0.0%	0.07%	0.15%	0.27%	0.0%	0.0%	0.08%	0.0%	0.40%	0.22%					
35	"18. ""ЛДПР"""	3642	156	168	126	173	171	141	87	114	200	161	131	112	187	117	147	125	129	99	148	129	160	54	115	120	140	134	98					
		11.01%	10.87%	12.03%	9.75%	11.41%	15.60%	12.23%	10.21%	12.20%	12.64%	15.06%	10.50%	10.53%	13.32%	7.46%	10.97%	10.16%	9.28%	8.19%	10.59%	10.27%	10.95%	8.34%	9.17%	10.55%	11.03%	13.46%	11.22%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	779	37	37	31	31	26	18	22	30	51	23	45	30	27	23	26	19	28	21	28	40	41	18	38	29	14	27	19					
		2.35%	2.57%	2.65%	2.39%	2.04%	2.37%	1.56%	2.58%	3.21%	3.22%	2.15%	3.60%	2.82%	1.92%	1.46%	1.94%	1.54%	2.01%	1.73%	2.00%	3.18%	2.80%	2.78%	3.03%	2.55%	1.10%	2.71%	2.17%					
37	"20. ""Политическая партия ""Единая Россия"""	8749	370	398	337	435	287	301	227	217	400	262	338	279	369	394	339	315	388	309	393	328	388	182	330	292	330	303	238					
