Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Светлоярская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530					
1	"Число избирателей, внесенных в список избирателей"	30768	1535	1430	1515	1514	1478	1298	1872	43	1199	1070	1063	1487	627	1509	1226	1254	412	118	1262	707	1285	272	224	1827	243	203	1571	439	1303	782					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31300	1572	1469	1495	1520	1514	1337	1876	42	1231	1109	1065	1519	635	1531	1250	1262	416	121	1267	700	1312	269	239	1870	243	205	1630	458	1338	805					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12739	614	572	664	688	672	588	815	28	427	451	407	560	272	615	739	477	232	84	575	226	475	108	111	646	90	70	617	165	460	291					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1421	40	27	48	15	34	16	57	0	52	53	76	51	27	36	92	110	34	0	146	140	85	20	18	50	43	24	48	28	31	20					
6	Число погашенных избирательных бюллетеней	17138	918	870	783	817	808	733	1004	14	752	603	582	908	336	880	419	675	150	37	546	334	752	141	110	1174	110	111	965	265	847	494					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1421	40	27	48	15	34	16	57	0	52	53	76	51	27	36	92	110	34	0	146	140	85	20	18	50	43	24	48	28	31	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12738	614	572	664	688	672	588	815	28	427	451	407	560	272	615	739	476	232	84	575	226	475	108	111	646	90	70	617	165	460	291					
9	Число недействительных избирательных бюллетеней	222	8	15	13	17	5	11	20	0	12	5	3	11	7	16	7	2	2	0	10	5	9	2	1	13	2	1	12	0	5	8					
10	Число действительных избирательных бюллетеней	13937	646	584	699	686	701	593	852	28	467	499	480	600	292	635	824	584	264	84	711	361	551	126	128	683	131	93	653	193	486	303					
