Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Ленинская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113					
1	"Число избирателей, внесенных в списки"	23626	2726	2999	2873	2839	576	808	1060	1354	1318	251	1299	446	824	585	299	198	376	621	119	649	248	577	581					
2	"Число бюллетеней, полученных участковыми комиссиями"	23220	2700	3000	2800	2800	570	800	1060	1300	1240	250	1290	440	800	570	290	200	350	600	110	650	240	580	580					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10700	1272	1514	1229	1135	317	382	554	535	595	102	560	206	361	294	109	99	161	329	67	265	90	294	230					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1290	77	73	481	94	13	40	37	76	67	16	20	21	41	24	76	19	47	33	12	2	0	0	21					
6	Число погашенных бюллетеней	11230	1351	1413	1090	1571	240	378	469	689	578	132	710	213	398	252	105	82	142	238	31	383	150	286	329					
7	Число бюллетеней в переносных ящиках для голосования	1211	77	73	402	94	13	40	37	76	67	16	20	21	41	24	76	19	47	33	12	2	0	0	21					
8	Число бюллетеней в стационарных ящиках для голосования	10766	1264	1514	1306	1135	317	382	554	535	592	102	560	206	361	294	109	99	161	329	67	265	90	294	230					
9	Число недействительных бюллетеней	494	14	33	58	30	35	11	43	27	57	7	44	20	14	16	2	6	5	21	0	16	10	7	18					
10	Число действительных бюллетеней	11483	1327	1554	1650	1199	295	411	548	584	602	111	536	207	388	302	183	112	203	341	79	251	80	287	233					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	20	10	10	10	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	57	16	5	10	6	1	0	3	4	1	0	4	2	1	3	0	1	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	5	2	5	3	6	1	2	5	5	0	7	2	3	3	3	3	0	1	1	0	0	1	3					
14	Число погашенных открепительных удостоверений	93	4	5	0	4	4	5	2	1	4	5	6	3	4	2	5	4	5	5	5	5	5	5	5					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	158	10	17	33	9	3	8	8	8	5	3	11	4	1	4	2	2	4	5	0	5	2	6	8					
		1.31%	0.74%	1.07%	1.93%	0.73%	0.90%	1.89%	1.35%	1.30%	0.75%	2.54%	1.89%	1.76%	0.24%	1.25%	1.08%	1.69%	1.92%	1.38%	0.0%	1.87%	2.22%	2.04%	3.18%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	357	34	56	48	34	12	29	16	11	18	5	12	7	9	3	5	3	5	10	1	14	5	8	12					
		2.98%	2.53%	3.52%	2.81%	2.76%	3.63%	6.87%	2.70%	1.80%	2.73%	4.23%	2.06%	3.08%	2.23%	0.94%	2.70%	2.54%	2.40%	2.76%	1.26%	5.24%	5.55%	2.72%	4.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	335	41	48	36	34	8	6	20	29	14	7	20	4	21	10	6	5	7	3	0	5	1	4	6					
		2.79%	3.05%	3.02%	2.10%	2.76%	2.42%	1.42%	3.38%	4.74%	2.12%	5.93%	3.44%	1.76%	5.22%	3.14%	3.24%	4.23%	3.36%	0.82%	0.0%	1.87%	1.11%	1.36%	2.39%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	257	41	53	45	30	4	6	9	10	16	3	6	5	5	4	0	0	8	2	0	2	0	6	2					
		2.14%	3.05%	3.33%	2.63%	2.44%	1.21%	1.42%	1.52%	1.63%	2.42%	2.54%	1.03%	2.20%	1.24%	1.25%	0.0%	0.0%	3.84%	0.55%	0.0%	0.74%	0.0%	2.04%	0.79%					
22	"5. ""За Русь Святую"""	52	11	7	7	8	0	2	2	2	1	1	2	1	2	2	0	2	2	0	0	0	0	0	0					
		0.43%	0.82%	0.44%	0.40%	0.65%	0.0%	0.47%	0.33%	0.32%	0.15%	0.84%	0.34%	0.44%	0.49%	0.62%	0.0%	1.69%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	0	2	5	3	0	1	0	0	1	0	2	0	0	1	3	1	0	1	0	0	1	3	0					
		0.20%	0.0%	0.12%	0.29%	0.24%	0.0%	0.23%	0.0%	0.0%	0.15%	0.0%	0.34%	0.0%	0.0%	0.31%	1.62%	0.84%	0.0%	0.27%	0.0%	0.0%	1.11%	1.02%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	45	8	11	2	4	1	3	2	2	4	0	2	1	3	0	0	1	0	0	0	0	0	0	1					
		0.37%	0.59%	0.69%	0.11%	0.32%	0.30%	0.71%	0.33%	0.32%	0.60%	0.0%	0.34%	0.44%	0.74%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%					
25	"8. ""Народно-республиканская партия России"""	17	0	0	4	1	2	0	0	3	0	2	1	1	0	0	0	0	0	3	0	0	0	0	0					
		0.14%	0.0%	0.0%	0.23%	0.08%	0.60%	0.0%	0.0%	0.49%	0.0%	1.69%	0.17%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	32	2	5	6	1	2	1	2	3	0	0	1	1	1	2	1	0	1	3	0	0	0	0	0					
		0.26%	0.14%	0.31%	0.35%	0.08%	0.60%	0.23%	0.33%	0.49%	0.0%	0.0%	0.17%	0.44%	0.24%	0.62%	0.54%	0.0%	0.48%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	412	24	21	34	31	16	34	12	15	24	10	20	4	29	12	19	3	5	24	4	27	9	23	12					
		3.43%	1.78%	1.32%	1.99%	2.52%	4.84%	8.05%	2.03%	2.45%	3.64%	8.47%	3.44%	1.76%	7.21%	3.77%	10.27%	2.54%	2.40%	6.62%	5.06%	10.11%	10.0%	7.82%	4.78%					
28	"11. ""Истинные патриоты России"""	26	0	0	7	0	2	0	0	0	2	0	1	0	2	1	1	0	0	2	5	2	0	1	0					
		0.21%	0.0%	0.0%	0.40%	0.0%	0.60%	0.0%	0.0%	0.0%	0.30%	0.0%	0.17%	0.0%	0.49%	0.31%	0.54%	0.0%	0.0%	0.55%	6.32%	0.74%	0.0%	0.34%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	122	20	21	19	13	5	5	5	6	3	1	1	4	2	2	3	1	3	1	0	4	1	1	1					
		1.01%	1.49%	1.32%	1.11%	1.05%	1.51%	1.18%	0.84%	0.98%	0.45%	0.84%	0.17%	1.76%	0.49%	0.62%	1.62%	0.84%	1.44%	0.27%	0.0%	1.49%	1.11%	0.34%	0.39%					
30	"13. ""Демократическая партия России"""	21	2	5	4	2	0	1	0	0	0	0	2	0	1	0	1	0	1	1	1	0	0	0	0					
		0.17%	0.14%	0.31%	0.23%	0.16%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.24%	0.0%	0.54%	0.0%	0.48%	0.27%	1.26%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	24	1	3	2	0	0	1	3	2	1	0	1	0	1	0	0	0	0	2	0	3	0	2	2					
		0.20%	0.07%	0.18%	0.11%	0.0%	0.0%	0.23%	0.50%	0.32%	0.15%	0.0%	0.17%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	1.12%	0.0%	0.68%	0.79%					
32	"15. ""Партия СЛОН"""	13	1	5	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0					
		0.10%	0.07%	0.31%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.84%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.37%	0.0%	0.34%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	733	110	122	89	91	22	20	27	23	53	3	22	11	28	37	7	4	17	17	0	13	0	12	5					
		6.12%	8.20%	7.68%	5.21%	7.40%	6.66%	4.73%	4.56%	3.76%	8.04%	2.54%	3.79%	4.84%	6.96%	11.63%	3.78%	3.38%	8.17%	4.69%	0.0%	4.86%	0.0%	4.08%	1.99%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	1	2	0	0	2	1	2	1	2	0	1	1	5	0	1	1	0	1	0	4	0	1	0					
		0.21%	0.07%	0.12%	0.0%	0.0%	0.60%	0.23%	0.33%	0.16%	0.30%	0.0%	0.17%	0.44%	1.24%	0.0%	0.54%	0.84%	0.0%	0.27%	0.0%	1.49%	0.0%	0.34%	0.0%					
35	"18. ""ЛДПР"""	1657	198	258	283	186	36	53	29	68	100	15	79	25	41	50	27	20	33	39	15	27	6	33	36					
		13.83%	14.76%	16.25%	16.56%	15.13%	10.90%	12.55%	4.90%	11.12%	15.17%	12.71%	13.62%	11.01%	10.19%	15.72%	14.59%	16.94%	15.86%	10.77%	18.98%	10.11%	6.66%	11.22%	14.34%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	193	26	21	33	22	1	11	3	10	14	1	12	7	3	5	1	1	1	4	0	3	0	6	8					
		1.61%	1.93%	1.32%	1.93%	1.79%	0.30%	2.60%	0.50%	1.63%	2.12%	0.84%	2.06%	3.08%	0.74%	1.57%	0.54%	0.84%	0.48%	1.10%	0.0%	1.12%	0.0%	2.04%	3.18%					
37	"20. ""Политическая партия ""Единая Россия"""	2923	301	396	420	266	59	74	193	177	156	52	117	40	110	70	56	32	65	74	24	47	18	82	94					
		24.40%	22.44%	24.95%	24.59%	21.64%	17.87%	17.53%	32.65%	28.96%	23.67%	44.06%	20.17%	17.62%	27.36%	22.01%	30.27%	27.11%	31.25%	20.44%	30.37%	17.60%	20.0%	27.89%	37.45%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	4	3	2	0	0	0	1	1	1	0	2	1	1	1	1	0	1	0	0	1	0	0	0					
		0.16%	0.29%	0.18%	0.11%	0.0%	0.0%	0.0%	0.16%	0.16%	0.15%	0.0%	0.34%	0.44%	0.24%	0.31%	0.54%	0.0%	0.48%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	25	2	5	7	1	1	2	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	1	1					
		0.20%	0.14%	0.31%	0.40%	0.08%	0.30%	0.47%	0.0%	0.16%	0.30%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.34%	0.39%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3401	413	400	421	407	105	138	190	190	154	7	200	82	111	85	33	25	47	130	26	82	33	89	33					
		28.39%	30.79%	25.20%	24.64%	33.11%	31.81%	32.70%	32.14%	31.09%	23.36%	5.93%	34.48%	36.12%	27.61%	26.72%	17.83%	21.18%	22.59%	35.91%	32.91%	30.71%	36.66%	30.27%	13.14%					
																														
41	Против всех	610	77	93	143	56	14	15	22	22	31	0	21	8	10	13	16	11	2	19	3	10	4	8	12					
		5.09%	5.74%	5.86%	8.37%	4.55%	4.24%	3.55%	3.72%	3.60%	4.70%	0.0%	3.62%	3.52%	2.48%	4.08%	8.64%	9.32%	0.96%	5.24%	3.79%	3.74%	4.44%	2.72%	4.78%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
