Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Котельниковская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031					
1	"Число избирателей, внесенных в списки"	28243	2085	1083	928	2021	1220	759	1836	1791	1943	2198	767	167	118	529	460	134	110	667	304	200	328	550	803	697	477	211	562	654	388	120	253	860	1039	282	489	103	847	260					
2	"Число бюллетеней, полученных участковыми комиссиями"	28369	2099	1088	923	2010	1226	756	1816	1800	1954	2138	794	164	125	544	460	139	107	662	300	202	331	555	809	706	470	228	557	663	389	126	262	860	1103	294	493	102	852	262					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13009	748	522	392	777	504	308	727	691	789	819	409	80	74	336	326	83	59	331	210	124	160	286	389	288	288	159	317	363	178	83	141	425	535	136	262	73	456	161					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	551	55	25	10	30	38	12	28	23	43	40	25	10	0	11	9	3	0	16	0	0	0	4	33	33	6	0	10	5	4	3	6	9	14	5	6	7	17	11					
6	Число погашенных бюллетеней	14807	1296	541	521	1203	684	436	1061	1086	1122	1279	360	74	50	197	125	53	48	315	90	78	171	265	386	385	176	69	230	295	207	40	115	426	554	153	225	22	379	90					
7	Число бюллетеней в переносных ящиках для голосования	551	55	25	10	30	38	12	28	23	43	40	25	10	0	11	9	3	0	16	0	0	0	4	33	33	6	0	10	5	4	3	6	9	14	5	6	7	17	11					
8	Число бюллетеней в стационарных ящиках для голосования	13008	748	522	392	777	504	308	727	691	789	819	409	80	73	336	326	83	59	331	210	124	160	286	389	288	288	159	317	363	178	83	141	425	535	136	262	73	456	161					
9	Число недействительных бюллетеней	434	32	21	10	16	17	17	21	14	12	16	7	2	9	5	5	4	0	6	0	0	12	7	23	18	6	0	17	18	12	7	10	21	23	4	19	5	12	6					
10	Число действительных бюллетеней	13125	771	526	392	791	525	303	734	700	820	843	427	88	64	342	330	82	59	341	210	124	148	283	399	303	288	159	310	350	170	79	137	413	526	137	249	75	461	166					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	20	20	15	20	20	15	20	20	20	20	15	5	5	6	6	5	5	6	6	5	6	6	15	15	6	5	6	6	6	5	5	15	15	5	5	5	15	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	49	0	2	1	0	5	0	4	2	7	7	6	0	0	4	0	2	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	2	1	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	0	5	4	2	4	2	2	6	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0					
14	Число погашенных открепительных удостоверений	334	20	1	14	20	15	15	16	18	13	13	9	5	5	2	6	3	5	5	6	5	6	6	14	15	4	5	6	6	6	5	5	14	13	4	4	5	15	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	143	9	5	1	3	5	2	9	9	6	1	12	1	4	2	3	2	0	4	0	0	1	1	6	6	4	0	3	9	1	0	2	6	9	0	4	1	8	4					
		1.05%	1.12%	0.91%	0.24%	0.37%	0.92%	0.62%	1.19%	1.26%	0.72%	0.11%	2.76%	1.11%	5.47%	0.57%	0.89%	2.32%	0.0%	1.15%	0.0%	0.0%	0.62%	0.34%	1.42%	1.86%	1.36%	0.0%	0.91%	2.44%	0.54%	0.0%	1.36%	1.38%	1.63%	0.0%	1.49%	1.25%	1.69%	2.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	171	6	12	12	10	8	4	7	9	11	11	5	0	5	0	5	2	0	4	4	2	0	3	3	4	2	1	4	6	0	1	3	0	8	6	2	2	4	5					
		1.26%	0.74%	2.19%	2.98%	1.23%	1.47%	1.25%	0.92%	1.26%	1.32%	1.28%	1.15%	0.0%	6.84%	0.0%	1.49%	2.32%	0.0%	1.15%	1.90%	1.61%	0.0%	1.03%	0.71%	1.24%	0.68%	0.62%	1.22%	1.63%	0.0%	1.16%	2.04%	0.0%	1.45%	4.25%	0.74%	2.5%	0.84%	2.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	331	27	16	8	27	11	6	19	19	13	14	8	0	1	0	11	2	0	3	3	3	4	13	12	8	16	1	4	9	3	3	4	13	12	3	7	6	16	6					
		2.44%	3.36%	2.92%	1.99%	3.34%	2.02%	1.87%	2.51%	2.66%	1.56%	1.62%	1.84%	0.0%	1.36%	0.0%	3.28%	2.32%	0.0%	0.86%	1.42%	2.41%	2.5%	4.48%	2.84%	2.49%	5.44%	0.62%	1.22%	2.44%	1.64%	3.48%	2.72%	2.99%	2.18%	2.12%	2.61%	7.5%	3.38%	3.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	160	10	10	13	10	11	6	8	8	14	9	4	0	2	5	2	0	3	2	0	1	4	0	0	7	2	0	4	7	1	0	0	2	8	2	1	0	4	0					
		1.18%	1.24%	1.82%	3.23%	1.23%	2.02%	1.87%	1.05%	1.12%	1.68%	1.04%	0.92%	0.0%	2.73%	1.44%	0.59%	0.0%	5.08%	0.57%	0.0%	0.80%	2.5%	0.0%	0.0%	2.18%	0.68%	0.0%	1.22%	1.90%	0.54%	0.0%	0.0%	0.46%	1.45%	1.41%	0.37%	0.0%	0.84%	0.0%					
22	"5. ""За Русь Святую"""	58	7	1	5	3	0	0	7	3	1	3	2	0	0	0	0	0	0	1	0	0	2	0	1	1	1	1	2	2	4	1	0	1	5	0	1	1	2	0					
		0.42%	0.87%	0.18%	1.24%	0.37%	0.0%	0.0%	0.92%	0.42%	0.12%	0.34%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	1.25%	0.0%	0.23%	0.31%	0.34%	0.62%	0.61%	0.54%	2.19%	1.16%	0.0%	0.23%	0.91%	0.0%	0.37%	1.25%	0.42%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	47	4	1	0	3	5	3	3	3	2	3	2	0	0	0	0	0	0	1	2	3	3	0	1	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0					
		0.34%	0.49%	0.18%	0.0%	0.37%	0.92%	0.93%	0.39%	0.42%	0.24%	0.34%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.95%	2.41%	1.87%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	2.19%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	53	4	2	2	2	1	1	4	5	6	2	1	0	0	4	0	0	0	0	0	0	1	0	3	0	0	2	3	2	0	0	2	2	1	1	2	0	0	0					
		0.39%	0.49%	0.36%	0.49%	0.24%	0.18%	0.31%	0.52%	0.70%	0.72%	0.23%	0.23%	0.0%	0.0%	1.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.71%	0.0%	0.0%	1.25%	0.91%	0.54%	0.0%	0.0%	1.36%	0.46%	0.18%	0.70%	0.74%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	9	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1					
		0.06%	0.12%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.58%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	0	4	1	2	0	0	1	1	1	2	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.13%	0.0%	0.73%	0.24%	0.24%	0.0%	0.0%	0.13%	0.14%	0.12%	0.23%	0.23%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.23%	0.0%	0.34%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	370	16	2	4	20	6	6	13	3	10	4	16	0	0	16	11	0	0	22	13	6	9	12	22	5	14	4	18	19	7	5	7	22	25	9	3	1	11	9					
		2.72%	1.99%	0.36%	0.99%	2.47%	1.10%	1.87%	1.72%	0.42%	1.20%	0.46%	3.68%	0.0%	0.0%	4.61%	3.28%	0.0%	0.0%	6.34%	6.19%	4.83%	5.62%	4.13%	5.21%	1.55%	4.76%	2.51%	5.50%	5.16%	3.84%	5.81%	4.76%	5.06%	4.55%	6.38%	1.11%	1.25%	2.32%	5.23%					
28	"11. ""Истинные патриоты России"""	22	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	7	1	0	1	4	1	0	0	1	0	0	0	0	0	1					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	2.32%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	2.18%	0.34%	0.0%	0.30%	1.08%	0.54%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	120	3	7	3	8	5	4	20	9	7	5	2	0	0	1	1	0	0	4	1	0	1	1	7	0	4	3	5	4	0	0	0	3	5	1	2	0	4	0					
		0.88%	0.37%	1.27%	0.74%	0.99%	0.92%	1.25%	2.64%	1.26%	0.84%	0.58%	0.46%	0.0%	0.0%	0.28%	0.29%	0.0%	0.0%	1.15%	0.47%	0.0%	0.62%	0.34%	1.65%	0.0%	1.36%	1.88%	1.52%	1.08%	0.0%	0.0%	0.0%	0.69%	0.91%	0.70%	0.74%	0.0%	0.84%	0.0%					
30	"13. ""Демократическая партия России"""	33	5	2	0	2	1	0	2	1	3	3	1	0	0	2	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	4	0					
		0.24%	0.62%	0.36%	0.0%	0.24%	0.18%	0.0%	0.26%	0.14%	0.36%	0.34%	0.23%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.84%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	45	0	1	0	1	0	1	2	1	0	3	2	1	1	0	11	3	0	0	0	0	0	0	1	1	3	3	2	0	0	0	0	1	1	0	3	0	2	1					
		0.33%	0.0%	0.18%	0.0%	0.12%	0.0%	0.31%	0.26%	0.14%	0.0%	0.34%	0.46%	1.11%	1.36%	0.0%	3.28%	3.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.31%	1.02%	1.88%	0.61%	0.0%	0.0%	0.0%	0.0%	0.23%	0.18%	0.0%	1.11%	0.0%	0.42%	0.58%					
32	"15. ""Партия СЛОН"""	18	0	0	0	0	1	1	1	1	0	2	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	1					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.18%	0.31%	0.13%	0.14%	0.0%	0.23%	0.23%	1.11%	0.0%	0.28%	0.29%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	1.25%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.58%					
33	"16. ""Родина"" (народно-патриотический союз)"""	627	35	33	26	53	35	20	21	42	31	56	19	9	0	8	27	1	0	19	6	4	7	12	16	12	11	11	5	11	9	1	9	12	22	3	13	6	16	6					
		4.62%	4.35%	6.03%	6.46%	6.56%	6.45%	6.25%	2.78%	5.88%	3.72%	6.51%	4.37%	10.0%	0.0%	2.30%	8.05%	1.16%	0.0%	5.47%	2.85%	3.22%	4.37%	4.13%	3.79%	3.73%	3.74%	6.91%	1.52%	2.98%	4.94%	1.16%	6.12%	2.76%	4.00%	2.12%	4.85%	7.5%	3.38%	3.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	51	0	2	0	1	0	0	2	4	0	6	3	1	5	0	0	0	0	0	0	4	0	1	1	0	1	0	0	3	0	3	0	0	6	2	2	1	1	2					
		0.37%	0.0%	0.36%	0.0%	0.12%	0.0%	0.0%	0.26%	0.56%	0.0%	0.69%	0.69%	1.11%	6.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.34%	0.23%	0.0%	0.34%	0.0%	0.0%	0.81%	0.0%	3.48%	0.0%	0.0%	1.09%	1.41%	0.74%	1.25%	0.21%	1.16%					
35	"18. ""ЛДПР"""	2464	165	121	74	133	107	52	137	99	155	179	48	16	13	67	64	11	2	117	39	20	37	56	79	61	43	21	44	82	20	14	11	80	120	22	52	11	69	23					
		18.17%	20.54%	22.12%	18.40%	16.48%	19.74%	16.25%	18.14%	13.86%	18.62%	20.83%	11.05%	17.77%	17.80%	19.30%	19.10%	12.79%	3.38%	33.71%	18.57%	16.12%	23.12%	19.31%	18.72%	19.00%	14.62%	13.20%	13.45%	22.28%	10.98%	16.27%	7.48%	18.43%	21.85%	15.60%	19.40%	13.75%	14.58%	13.37%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	208	9	11	9	23	15	5	13	10	17	11	4	2	2	4	5	0	0	1	7	1	0	2	7	10	3	1	5	4	3	0	4	3	9	0	0	1	6	1					
		1.53%	1.12%	2.01%	2.23%	2.85%	2.76%	1.56%	1.72%	1.40%	2.04%	1.28%	0.92%	2.22%	2.73%	1.15%	1.49%	0.0%	0.0%	0.28%	3.33%	0.80%	0.0%	0.68%	1.65%	3.11%	1.02%	0.62%	1.52%	1.08%	1.64%	0.0%	2.72%	0.69%	1.63%	0.0%	0.0%	1.25%	1.26%	0.58%					
37	"20. ""Политическая партия ""Единая Россия"""	4760	247	147	133	241	177	99	245	217	292	298	231	30	19	154	158	39	41	92	84	52	55	92	154	106	150	43	87	144	79	27	39	170	188	40	109	34	190	57					
		35.10%	30.75%	26.87%	33.08%	29.86%	32.65%	30.93%	32.45%	30.39%	35.09%	34.69%	53.22%	33.33%	26.02%	44.38%	47.16%	45.34%	69.49%	26.51%	40.0%	41.93%	34.37%	31.72%	36.49%	33.02%	51.02%	27.04%	26.60%	39.13%	43.40%	31.39%	26.53%	39.17%	34.24%	28.36%	40.67%	42.5%	40.16%	33.13%					
38	"21. ""Российская Конституционно-демократическая партия"""	23	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	2	1	1	0	1	1	0	1	0	0	0	0	3	1	0	3	1	1	0	0	0	0	0					
		0.16%	0.12%	0.18%	0.24%	0.0%	0.0%	0.0%	0.0%	0.14%	0.12%	0.0%	0.23%	0.0%	0.0%	0.0%	0.29%	2.32%	1.69%	0.28%	0.0%	0.80%	0.62%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.81%	0.54%	0.0%	2.04%	0.23%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	28	5	0	2	1	1	1	4	0	3	2	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0					
		0.20%	0.62%	0.0%	0.49%	0.12%	0.18%	0.31%	0.52%	0.0%	0.36%	0.23%	0.0%	1.11%	0.0%	0.57%	0.0%	0.0%	0.0%	0.28%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2938	190	118	82	210	117	79	199	229	213	192	60	18	11	70	25	14	9	58	47	24	17	78	67	70	25	60	111	31	31	22	44	83	91	47	41	3	108	44					
		21.66%	23.66%	21.57%	20.39%	26.02%	21.58%	24.68%	26.35%	32.07%	25.60%	22.35%	13.82%	20.0%	15.06%	20.17%	7.46%	16.27%	15.25%	16.71%	22.38%	19.35%	10.62%	26.89%	15.87%	21.80%	8.50%	37.73%	33.94%	8.42%	17.03%	25.58%	29.93%	19.12%	16.57%	33.33%	15.29%	3.75%	22.83%	25.58%					
																																													
41	Против всех	428	27	30	16	36	19	13	17	24	34	37	4	7	1	6	5	2	3	6	4	2	6	11	15	3	6	6	8	10	4	2	9	9	15	1	5	8	12	5					
		3.15%	3.36%	5.48%	3.98%	4.46%	3.50%	4.06%	2.25%	3.36%	4.08%	4.30%	0.92%	7.77%	1.36%	1.72%	1.49%	2.32%	5.08%	1.72%	1.90%	1.61%	3.75%	3.79%	3.55%	0.93%	2.04%	3.77%	2.44%	2.71%	2.19%	2.32%	6.12%	2.07%	2.73%	0.70%	1.86%	10.0%	2.53%	2.90%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
