Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Серафимовичская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468					
1	"Число избирателей, внесенных в списки"	19387	147	453	140	857	214	537	1050	60	113	372	921	132	139	558	91	621	88	221	405	110	107	351	1442	146	602	142	658	280	839	119	60	519	1748	1541	1595	2009					
2	"Число бюллетеней, полученных участковыми комиссиями"	19549	150	450	140	860	220	550	1065	110	200	380	930	160	140	570	100	630	90	230	410	120	110	350	1370	160	621	150	670	290	850	130	65	530	1682	1475	1541	2050					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9474	100	280	94	381	122	260	578	60	101	128	490	102	38	241	53	386	51	159	217	74	66	153	646	60	259	70	357	101	350	85	27	198	844	754	682	907					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1582	6	15	11	134	60	115	41	0	12	109	91	30	54	111	0	41	13	9	15	6	12	40	62	33	105	36	14	62	69	13	19	73	57	41	45	28					
6	Число погашенных бюллетеней	8489	44	155	35	345	38	175	446	50	87	143	346	28	48	218	47	203	26	62	178	40	32	157	662	67	257	44	299	127	431	32	19	259	780	680	814	1115					
7	Число бюллетеней в переносных ящиках для голосования	1582	6	15	11	134	60	115	41	0	12	109	91	30	54	111	0	41	13	9	15	6	12	40	62	33	105	36	14	62	69	13	19	73	57	41	45	28					
8	Число бюллетеней в стационарных ящиках для голосования	9469	100	280	94	381	122	260	578	60	101	128	487	102	38	241	53	386	51	159	217	74	66	153	646	60	259	70	357	101	350	85	27	198	843	753	682	907					
9	Число недействительных бюллетеней	190	2	3	0	17	7	2	10	1	2	2	22	0	1	3	0	3	2	1	6	2	5	5	18	0	2	2	7	0	8	0	0	3	19	23	3	9					
10	Число действительных бюллетеней	10861	104	292	105	498	175	373	609	59	111	235	556	132	91	349	53	424	62	167	226	78	73	188	690	93	362	104	364	163	411	98	46	268	881	771	724	926					
