Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Устюженская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852					
1	"Число избирателей, внесенных в списки"	15722	1053	566	477	1225	398	733	1183	1055	198	934	165	326	577	78	150	120	408	253	153	161	942	124	398	319	75	220	247	396	279	217	251	611	329	487	210	404					
2	"Число бюллетеней, полученных участковыми комиссиями"	15330	1019	544	479	1168	385	662	1146	1038	191	927	150	332	571	82	150	113	398	236	148	158	939	106	392	316	75	221	248	392	272	218	252	610	320	479	203	390					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7763	593	271	255	610	219	343	654	544	94	406	34	155	262	38	77	57	205	106	76	96	590	65	186	139	26	98	116	219	94	128	112	242	191	193	96	173					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1881	15	16	10	14	11	100	28	14	9	60	61	86	65	24	28	31	85	61	15	19	52	18	86	95	42	38	40	82	15	22	78	169	50	157	62	123					
6	Число погашенных бюллетеней	5686	411	257	214	544	155	219	464	480	88	461	55	91	244	20	45	25	108	69	57	43	297	23	120	82	7	85	92	91	163	68	62	199	79	129	45	94					
7	Число бюллетеней в переносных ящиках для голосования	1881	15	16	10	14	11	100	28	14	9	60	61	86	65	24	28	31	85	61	15	19	52	18	86	95	42	38	40	82	15	22	78	169	50	157	62	123					
8	Число бюллетеней в стационарных ящиках для голосования	7760	593	270	255	610	219	342	654	544	94	406	34	155	262	38	77	57	205	106	76	96	590	65	186	139	26	98	116	219	94	128	112	241	191	193	96	173					
9	Число недействительных бюллетеней	252	5	7	12	10	12	15	17	11	2	5	2	11	9	2	9	1	23	5	8	4	15	3	6	1	2	1	7	10	6	0	7	5	9	1	2	7					
10	Число действительных бюллетеней	9389	603	279	253	614	218	427	665	547	101	461	93	230	318	60	96	87	267	162	83	111	627	80	266	233	66	135	149	291	103	150	183	405	232	349	156	289					
