Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Воронеж, Левобережная"																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180					
1	"Число избирателей, внесенных в список избирателей"	160814	2250	2052	2068	1575	1960	1831	1977	2047	3287	1962	2029	1981	1983	2528	2274	2060	2207	2136	1251	2103	2083	1187	1969	2012	1979	1532	1383	2049	2026	2061	1382	2296	2580	2158	2222	1780	2240	1768	2046	2036	2126	1933	1906	1194	2193	1974	2215	2247	2610	2144	2163	1989	2095	2105	2471	2088	1988	1968	2018	2466	2114	2123	1164	2451	2088	2133	1933	2018	2352	2420	1543	2673	2420	673	559	739	2096	2509	2443	2120					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	159600	2300	2050	2050	1550	1850	1700	2000	2050	2600	2000	2050	2100	2100	2650	2250	2050	2200	2100	1250	2100	2050	1150	2000	1950	2000	1500	1350	2050	2000	2000	1300	2300	2600	2150	2150	1700	2250	1750	2050	2050	2050	1950	1900	1200	2150	2000	2150	2200	2600	2150	2150	2000	2100	2100	2450	2050	2000	2000	2000	2450	2100	2100	1150	2450	2100	2150	1950	2000	2350	2400	1550	2700	2450	650	550	700	2150	2550	2450	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	77166	973	1010	973	770	834	871	826	867	2197	1011	946	1048	994	1184	1000	945	930	1014	532	1004	864	482	1058	938	944	670	568	1092	1093	1074	687	1124	1308	1216	1152	968	1155	988	990	938	1227	920	865	571	1160	1063	1287	1257	1359	1106	1097	848	909	993	1143	909	836	946	888	1064	1035	987	481	952	927	1071	864	1073	1164	1055	674	1073	955	305	314	380	872	998	1348	952					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2060	25	37	27	28	32	25	32	20	6	12	26	8	22	16	21	14	19	22	16	9	77	13	16	39	37	12	11	17	32	24	30	27	26	22	17	21	5	8	19	12	8	22	20	16	33	13	30	21	76	26	14	62	57	28	12	29	10	17	26	8	13	58	23	6	22	15	15	9	16	49	67	69	59	51	24	36	33	72	6	7					
6	Число погашенных избирательных бюллетеней	80374	1302	1003	1050	752	984	804	1142	1163	397	977	1078	1044	1084	1450	1229	1091	1251	1064	702	1087	1109	655	926	973	1019	818	771	941	875	902	583	1149	1266	912	981	711	1090	754	1041	1100	815	1008	1015	613	957	924	833	922	1165	1018	1039	1090	1134	1079	1295	1112	1154	1037	1086	1378	1052	1055	646	1492	1151	1064	1071	918	1170	1296	809	1558	1436	294	212	284	1245	1480	1096	1141					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2060	25	37	27	28	32	25	32	20	6	12	26	8	22	16	21	14	19	22	16	9	77	13	16	39	37	12	11	17	32	24	30	27	26	22	17	21	5	8	19	12	8	22	20	16	33	13	30	21	76	26	14	62	57	28	12	29	10	17	26	8	13	58	23	6	22	15	15	9	16	49	67	69	59	51	24	36	33	72	6	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77162	973	1010	973	770	834	870	826	867	2197	1011	946	1048	994	1184	1000	945	930	1014	532	1004	864	482	1057	938	944	670	568	1092	1093	1074	687	1124	1308	1216	1150	968	1155	988	990	938	1227	920	865	571	1160	1063	1287	1257	1359	1106	1097	848	909	993	1143	909	836	946	888	1064	1035	987	481	952	927	1071	864	1073	1164	1055	674	1073	955	305	314	380	872	998	1348	952					
9	Число недействительных избирательных бюллетеней	1129	24	22	15	7	12	13	6	14	28	13	8	12	13	19	6	20	12	18	7	18	28	4	17	9	20	7	2	12	24	13	19	13	26	12	15	17	5	10	12	12	15	9	10	13	24	17	13	26	19	5	17	13	19	10	32	14	16	17	12	11	11	7	2	18	18	16	10	10	11	21	10	9	32	4	4	5	14	24	18	9					
10	Число действительных избирательных бюллетеней	78093	974	1025	985	791	854	882	852	873	2175	1010	964	1044	1003	1181	1015	939	937	1018	541	995	913	491	1056	968	961	675	577	1097	1101	1085	698	1138	1308	1226	1152	972	1155	986	997	938	1220	933	875	574	1169	1059	1304	1252	1416	1127	1094	897	947	1011	1123	924	830	946	902	1061	1037	1038	502	940	931	1070	869	1072	1169	1083	731	1133	982	352	334	411	891	1046	1336	950					
