Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Борисоглебская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
1	"Число избирателей, внесенных в списки избирателей"	63918	1834	2005	1950	1753	244	1692	1552	1863	1846	2282	959	984	1922	1811	1005	857	2525	1820	921	1019	1179	872	2049	1862	1760	2211	1984	1598	2130	1619	1039	546	207	2234	1352	524	1025	739	464	930	535	492	826	882	292	1006	379	364	983	991					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	58350	1800	1700	1800	1550	200	1550	1400	1750	1650	2000	900	900	1750	1750	900	750	1950	1650	850	900	1100	800	2000	1750	1700	1950	1750	1450	1950	1450	1000	500	200	2000	1300	450	950	700	450	850	500	450	750	800	300	950	350	350	950	950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	35644	1013	989	962	958	114	841	975	1097	1052	1200	531	500	1111	925	590	491	1701	977	488	571	634	449	1386	1040	984	1161	1113	869	932	792	676	291	71	1122	837	295	493	422	270	500	279	291	637	479	220	535	228	255	617	680					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4745	125	234	117	75	52	100	40	148	77	113	58	83	74	90	118	39	58	112	66	77	23	36	39	78	72	117	97	73	83	52	39	135	88	65	39	32	175	110	69	216	71	105	108	177	45	214	81	92	250	108					
6	Число погашенных избирательных бюллетеней	17961	662	477	721	517	34	609	385	505	521	687	311	317	565	735	192	220	191	561	296	252	443	315	575	632	644	672	540	508	935	606	285	74	41	813	424	123	282	168	111	134	150	54	5	144	35	201	41	3	83	162					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4745	125	234	117	75	52	100	40	148	77	113	58	83	74	90	118	39	58	112	66	77	23	36	39	78	72	117	97	73	83	52	39	135	88	65	39	32	175	110	69	216	71	105	108	177	45	214	81	92	250	108					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35637	1013	989	961	957	114	841	975	1097	1052	1200	531	499	1109	925	590	491	1701	977	488	571	634	449	1386	1039	984	1161	1113	869	932	792	676	291	71	1121	837	295	493	422	270	500	279	291	637	479	220	535	228	255	617	680					
9	Число недействительных избирательных бюллетеней	300	12	12	8	9	1	3	6	0	14	10	7	10	19	6	6	4	17	12	5	7	4	2	14	9	9	10	9	8	9	7	3	3	0	6	11	6	3	1	1	1	1	0	1	4	0	4	1	1	1	3					
10	Число действительных избирательных бюллетеней	40082	1126	1211	1070	1023	165	938	1009	1245	1115	1303	582	572	1164	1009	702	526	1742	1077	549	641	653	483	1411	1108	1047	1268	1201	934	1006	837	712	423	159	1180	865	321	665	531	338	715	349	396	744	652	265	745	308	346	866	785					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	666	10	10	15	10	10	10	20	15	25	11	6	69	15	18	15	10	16	7	7	5	12	13	19	25	10	12	15	10	15	10	9	5	3	15	25	5	11	3	8	3	23	3	18	3	16	18	15	6	9	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	535	9	10	11	10	7	10	19	12	17	11	6	12	13	17	12	6	16	7	5	5	12	12	19	24	10	12	14	7	12	10	8	3	0	13	25	2	10	3	8	3	23	1	10	1	8	18	15	6	8	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	397	2	33	5	8	2	9	8	18	9	8	8	11	20	9	14	6	15	13	5	13	5	2	16	5	7	13	8	1	4	2	8	6	0	10	7	6	4	3	2	3	1	0	2	2	45	10	2	0	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	131	1	0	4	0	3	0	1	3	8	0	0	57	2	1	3	4	0	0	2	0	0	1	0	1	0	0	1	3	3	0	1	2	3	2	0	3	1	0	0	0	0	2	8	2	8	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	1	0	0	0	2	1	1	2	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	9					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	1.Политическая партия «Аграрная партия России»	2507	63	76	69	67	11	58	66	62	81	91	26	34	85	69	42	36	124	73	44	49	47	35	78	70	63	75	63	50	60	50	53	11	11	89	66	24	80	79	20	26	17	18	43	30	3	23	9	11	27	50					
		6.21%	5.54%	6.21%	6.40%	6.49%	6.63%	6.16%	6.50%	4.98%	7.17%	6.93%	4.41%	5.84%	7.19%	6.80%	5.93%	6.79%	7.05%	6.70%	7.94%	7.56%	7.15%	7.22%	5.47%	6.27%	5.97%	5.87%	5.21%	5.31%	5.91%	5.92%	7.41%	2.58%	6.92%	7.50%	7.53%	7.34%	11.98%	14.85%	5.90%	3.63%	4.86%	4.55%	5.77%	4.57%	1.13%	3.07%	2.91%	3.17%	3.11%	6.35%					
19	2.Всероссийская политическая партия «Гражданская Сила»	250	11	7	3	6	1	7	9	10	9	10	6	0	9	9	9	3	12	3	5	4	3	5	12	8	7	10	5	4	5	14	6	2	0	5	6	2	6	1	1	0	2	1	2	2	0	1	0	3	2	2					
