Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Эртильская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942	УИК №3943					
1	"Число избирателей, внесенных в списки"	24291	407	489	1438	559	453	282	160	294	95	712	111	382	87	155	107	735	143	638	114	1035	136	356	527	231	195	806	207	505	299	164	2090	1628	1275	782	976	728	440	502	1128	910	813	738	459					
2	"Число бюллетеней, полученных участковыми комиссиями"	22600	370	440	1300	500	420	260	150	270	90	660	110	350	90	140	100	670	130	580	120	940	130	330	490	220	190	750	200	470	280	150	2000	1500	1200	670	850	630	420	430	1100	900	830	700	470					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11675	165	216	763	210	240	148	111	164	59	293	62	198	66	102	61	400	64	372	63	591	105	164	210	99	116	369	67	252	140	100	885	735	602	406	513	318	231	200	515	370	305	343	282					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1739	56	63	31	109	31	9	14	4	14	84	13	35	0	21	10	80	32	40	14	43	15	46	55	21	19	104	54	92	63	11	49	22	22	21	26	26	33	107	27	37	112	52	22					
6	Число погашенных бюллетеней	9186	149	161	506	181	149	103	25	102	17	283	35	117	24	17	29	190	34	168	43	306	10	120	225	100	55	277	79	126	77	39	1066	743	576	243	311	286	156	123	558	493	413	305	166					
7	Число бюллетеней в переносных ящиках для голосования	1739	56	63	31	109	31	9	14	4	14	84	13	35	0	21	10	80	32	40	14	43	15	46	55	21	19	104	54	92	63	11	49	22	22	21	26	26	33	107	27	37	112	52	22					
8	Число бюллетеней в стационарных ящиках для голосования	11674	165	216	763	210	240	148	111	164	59	293	62	198	66	102	61	400	64	372	63	591	105	164	210	99	116	369	67	252	140	100	884	735	602	406	513	318	231	200	515	370	305	343	282					
9	Число недействительных бюллетеней	402	11	4	36	2	3	6	7	11	0	18	0	3	0	1	3	9	0	21	2	26	4	12	15	0	3	0	13	14	5	0	35	18	16	4	27	17	7	11	12	0	6	10	10					
10	Число действительных бюллетеней	13011	210	275	758	317	268	151	118	157	73	359	75	230	66	122	68	471	96	391	75	608	116	198	250	120	132	473	108	330	198	111	898	739	608	423	512	327	257	296	530	407	411	385	294					
