Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Лискинская																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064					
1	"Число избирателей, внесенных в списки"	83566	1532	1643	2230	2907	2695	2097	2761	1579	2198	2229	863	2639	2503	2693	2556	2165	2935	2506	205	2443	1681	551	331	986	620	465	132	507	2817	3090	2212	773	868	880	1001	1083	1726	700	693	251	1429	605	393	189	1082	751	146	428	215	144	1114	416	1148	1820	1171	602	440	1054	1579	280	1219	856	661	1078					
2	"Число бюллетеней, полученных участковыми комиссиями"	79520	1400	1500	1900	2700	2700	2100	2500	1600	2000	2200	1600	2500	2500	2600	2600	1700	2600	2200	220	2150	1230	550	320	950	600	450	130	550	2700	2700	2200	800	900	900	1000	1100	1700	650	660	250	1350	550	350	200	1100	700	140	400	200	140	1100	430	1000	1500	1100	1000	400	900	1500	400	1000	800	600	1050					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43429	656	742	1034	1281	1494	958	1449	837	936	1040	755	1281	1051	1166	1389	805	1678	1198	196	1217	867	395	216	613	220	185	93	231	1262	1416	1297	404	362	553	544	817	888	398	479	172	810	360	195	91	514	463	105	312	156	103	712	293	535	780	537	424	322	704	885	247	618	426	424	838					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	5823	99	81	51	116	57	72	62	53	74	73	108	142	115	42	66	205	46	52	9	48	74	88	84	84	243	146	16	167	200	225	118	167	228	38	0	0	64	68	52	17	397	93	81	50	133	42	12	61	43	5	69	28	251	286	114	104	22	26	18	33	99	56	79	71					
6	Число погашенных бюллетеней	30268	645	677	815	1303	1149	1070	989	710	990	1087	737	1077	1334	1392	1145	690	876	950	15	885	289	67	20	253	137	119	21	152	1238	1059	785	229	310	309	456	283	748	184	129	61	143	97	74	59	453	195	23	27	1	32	319	109	214	434	449	472	56	170	597	120	283	318	97	141					
7	Число бюллетеней в переносных ящиках для голосования	5823	99	81	51	116	57	72	62	53	74	73	108	142	115	42	66	205	46	52	9	48	74	88	84	84	243	146	16	167	200	225	118	167	228	38	0	0	64	68	52	17	397	93	81	50	133	42	12	61	43	5	69	28	251	286	114	104	22	26	18	33	99	56	79	71					
8	Число бюллетеней в стационарных ящиках для голосования	43399	656	742	1034	1281	1469	958	1449	837	936	1040	754	1281	1051	1166	1389	805	1678	1198	196	1217	867	395	216	613	220	185	93	231	1262	1416	1297	404	362	553	544	817	888	398	479	172	810	358	195	91	514	463	105	312	156	103	712	293	535	780	537	424	322	703	884	247	618	426	424	838					
9	Число недействительных бюллетеней	470	8	5	8	13	17	12	7	7	8	16	9	23	5	9	11	9	10	9	3	11	3	1	7	11	6	3	0	0	0	22	3	2	5	6	2	1	8	6	5	1	42	6	0	2	7	6	5	9	1	1	1	1	18	14	8	0	4	7	20	3	10	5	1	7					
10	Число действительных бюллетеней	48752	747	818	1077	1384	1509	1018	1504	883	1002	1097	853	1400	1161	1199	1444	1001	1714	1241	202	1254	938	482	293	686	457	328	109	398	1462	1619	1412	569	585	585	542	816	944	460	526	188	1165	445	276	139	640	499	112	364	198	107	780	320	768	1052	643	528	340	722	882	277	707	477	502	902					
