Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Подгоренская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135					
1	"Число избирателей, внесенных в списки"	23204	256	315	1000	87	1009	898	479	388	927	767	553	306	232	2015	1063	361	580	330	392	125	1150	297	340	193	449	234	1021	536	495	284	382	291	1416	2659	1374					
2	"Число бюллетеней, полученных участковыми комиссиями"	22930	252	300	974	88	1006	901	480	392	944	763	555	304	225	1980	1080	359	572	326	391	125	1147	316	333	191	433	233	1001	532	485	278	402	293	1350	2576	1343					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10905	147	177	416	76	528	462	216	57	360	212	250	161	154	793	489	192	283	201	237	64	459	102	178	104	217	123	469	188	250	142	219	137	780	1377	685					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2906	33	37	62	7	89	86	152	72	80	249	97	83	41	124	53	58	99	38	33	31	144	71	100	59	78	65	210	174	98	85	46	54	52	86	60					
6	Число погашенных бюллетеней	9119	72	86	496	5	389	353	112	263	504	302	208	60	30	1063	538	109	190	87	121	30	544	143	55	28	138	45	322	170	137	51	137	102	518	1113	598					
7	Число бюллетеней в переносных ящиках для голосования	2906	33	37	62	7	89	86	152	72	80	249	97	83	41	124	53	58	99	38	33	31	144	71	100	59	78	65	210	174	98	85	46	54	52	86	60					
8	Число бюллетеней в стационарных ящиках для голосования	10897	147	177	416	76	528	462	216	57	360	212	250	161	154	792	488	192	283	199	237	64	459	102	178	104	217	123	469	188	250	142	219	137	780	1377	681					
9	Число недействительных бюллетеней	150	0	4	10	0	14	0	0	3	9	3	5	4	1	10	15	3	11	0	0	2	0	1	0	6	3	6	1	1	4	0	1	3	8	11	11					
10	Число действительных бюллетеней	13653	180	210	468	83	603	548	368	126	431	458	342	240	194	906	526	247	371	237	270	93	603	172	278	157	292	182	678	361	344	227	264	188	824	1452	730					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	195	3	3	10	3	10	10	3	3	10	5	3	3	3	10	7	3	3	3	3	3	7	3	3	3	3	3	7	3	3	3	3	3	15	25	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	82	0	0	1	2	1	4	0	0	2	1	0	1	0	6	4	2	3	0	0	0	2	0	2	1	1	0	0	2	0	1	0	0	15	25	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	0	1	5	0	7	0	1	0	0	1	0	2	0	2	0	0	0	3	1	0	2	1	0	0	1	0	1	3	1	0	1	1	12	3	12					
14	Число погашенных открепительных удостоверений	113	3	3	9	1	9	6	3	3	8	4	3	2	3	4	3	1	0	3	3	3	5	3	1	2	2	3	7	1	3	2	3	3	0	0	4					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
