Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    район Северное Измайлово																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №3197					
1	"Число избирателей, внесенных в списки избирателей"	57401	2834	2816	2844	2347	2069	2316	2897	2247	2107	2727	1969	2396	1826	2376	2004	2455	2421	2180	2243	1982	2355	2549	2526	2789	126					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	44326	2200	2200	2200	1700	1600	1800	2300	1800	1600	2000	1500	1900	1400	1900	1600	1900	1900	1600	1700	1500	1800	2000	2000	2100	126					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28495	1287	1390	1391	1106	1079	1102	1369	1117	1142	1491	964	1257	969	1193	905	1157	1163	1284	1070	1047	1223	1205	1192	1281	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1080	32	45	60	45	47	64	36	27	75	61	35	35	19	29	37	45	39	48	68	45	38	48	37	50	15					
6	Число погашенных избирательных бюллетеней	14751	881	765	749	549	474	634	895	656	383	448	501	608	412	678	658	698	698	268	562	408	539	747	771	769	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1080	32	45	60	45	47	64	36	27	75	61	35	35	19	29	37	45	39	48	68	45	38	48	37	50	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28441	1285	1386	1389	1103	1076	1098	1368	1111	1139	1491	964	1255	969	1193	903	1157	1158	1279	1066	1047	1220	1205	1188	1280	111					
9	Число недействительных избирательных бюллетеней	416	17	23	20	12	18	8	24	14	25	21	9	25	19	19	19	15	14	22	15	16	11	16	19	11	4					
10	Число действительных избирательных бюллетеней	29105	1300	1408	1429	1136	1105	1154	1380	1124	1189	1531	990	1265	969	1203	921	1187	1183	1305	1119	1076	1247	1237	1206	1319	122					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1293	52	61	55	40	40	55	68	55	40	66	40	75	40	55	55	57	55	55	55	47	55	55	55	62	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1277	52	61	55	39	39	54	64	55	40	66	35	75	40	55	55	55	55	55	55	46	55	55	55	61	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1253	57	41	60	66	59	58	82	32	32	152	27	69	53	55	25	26	30	101	58	19	30	30	28	63	0					
14	Число погашенных неиспользованных открепительных удостоверений	16	0	0	0	1	1	1	4	0	0	0	5	0	0	0	0	2	0	0	0	1	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	1	3	0	1	4	1	2	2	1	2	3	3	3	4	7	2	0	4	2	3	1	4	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	1.Политическая партия «Аграрная партия России»	953	32	36	48	30	32	40	37	44	47	37	37	53	33	34	25	40	31	50	35	37	47	43	47	55	3					
		3.23%	2.43%	2.52%	3.31%	2.61%	2.85%	3.44%	2.64%	3.87%	3.87%	2.38%	3.70%	4.11%	3.34%	2.78%	2.66%	3.33%	2.59%	3.77%	3.09%	3.39%	3.74%	3.43%	3.84%	4.14%	2.38%					
19	2.Всероссийская политическая партия «Гражданская Сила»	781	35	34	45	33	25	24	25	32	39	58	34	56	33	31	25	22	21	26	22	30	31	27	36	37	0					
		2.65%	2.66%	2.38%	3.11%	2.87%	2.23%	2.07%	1.78%	2.81%	3.21%	3.74%	3.40%	4.34%	3.34%	2.54%	2.66%	1.83%	1.75%	1.96%	1.94%	2.75%	2.46%	2.15%	2.94%	2.78%	0.00%					
20	3.Политическая партия «Демократическая партия России»	46	1	1	7	1	0	2	2	2	3	5	2	2	1	1	1	1	0	3	0	1	0	2	2	5	1					
		0.16%	0.08%	0.07%	0.48%	0.09%	0.00%	0.17%	0.14%	0.18%	0.25%	0.32%	0.20%	0.16%	0.10%	0.08%	0.11%	0.08%	0.00%	0.23%	0.00%	0.09%	0.00%	0.16%	0.16%	0.38%	0.79%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4008	190	171	222	171	163	136	158	128	193	195	127	177	118	170	101	181	130	172	210	172	205	167	171	175	5					
		13.58%	14.43%	11.95%	15.32%	14.90%	14.51%	11.70%	11.25%	11.25%	15.90%	12.56%	12.71%	13.72%	11.94%	13.91%	10.74%	15.06%	10.86%	12.96%	18.52%	15.75%	16.30%	13.33%	13.96%	13.16%	3.97%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	773	23	27	40	31	29	28	30	31	95	76	29	31	29	22	17	15	11	25	35	26	28	36	35	23	1					
		2.62%	1.75%	1.89%	2.76%	2.70%	2.58%	2.41%	2.14%	2.72%	7.83%	4.90%	2.90%	2.40%	2.94%	1.80%	1.81%	1.25%	0.92%	1.88%	3.09%	2.38%	2.23%	2.87%	2.86%	1.73%	0.79%					
23	6.Политическая партия «Партия социальной справедливости»	114	7	4	7	2	5	3	5	7	0	10	2	4	3	5	2	5	4	7	5	3	5	5	6	8	0					
		0.39%	0.53%	0.28%	0.48%	0.17%	0.45%	0.26%	0.36%	0.62%	0.00%	0.64%	0.20%	0.31%	0.30%	0.41%	0.21%	0.42%	0.33%	0.53%	0.44%	0.27%	0.40%	0.40%	0.49%	0.60%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2071	91	111	104	72	86	81	112	69	54	98	65	86	53	93	73	82	106	83	65	90	93	78	100	121	5					
		7.02%	6.91%	7.76%	7.18%	6.27%	7.66%	6.97%	7.98%	6.06%	4.45%	6.31%	6.51%	6.67%	5.36%	7.61%	7.77%	6.82%	8.86%	6.25%	5.73%	8.24%	7.39%	6.23%	8.16%	9.10%	3.97%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2668	110	153	129	121	98	101	114	126	113	126	71	105	69	116	85	126	114	125	107	118	88	128	104	118	3					
		9.04%	8.35%	10.69%	8.90%	10.54%	8.73%	8.69%	8.12%	11.07%	9.31%	8.12%	7.11%	8.14%	6.98%	9.49%	9.04%	10.48%	9.52%	9.42%	9.44%	10.81%	6.99%	10.22%	8.49%	8.87%	2.38%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	394	12	23	27	7	17	18	15	13	18	22	8	23	13	13	16	13	13	9	22	12	19	20	22	15	4					
		1.33%	0.91%	1.61%	1.86%	0.61%	1.51%	1.55%	1.07%	1.14%	1.48%	1.42%	0.80%	1.78%	1.32%	1.06%	1.70%	1.08%	1.09%	0.68%	1.94%	1.10%	1.51%	1.60%	1.80%	1.13%	3.17%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	15357	708	773	711	587	562	657	828	585	460	749	554	641	553	645	504	645	695	740	534	521	632	662	624	692	95					
		52.02%	53.76%	54.02%	49.07%	51.13%	50.04%	56.54%	58.97%	51.41%	37.89%	48.26%	55.46%	49.69%	55.97%	52.78%	53.62%	53.66%	58.06%	55.76%	47.09%	47.71%	50.24%	52.83%	50.94%	52.03%	75.40%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1940	91	75	89	81	88	64	54	87	167	155	61	87	64	73	72	57	58	65	84	66	99	69	59	70	5					
		6.57%	6.91%	5.24%	6.14%	7.06%	7.84%	5.51%	3.85%	7.64%	13.76%	9.99%	6.11%	6.74%	6.48%	5.97%	7.66%	4.74%	4.85%	4.90%	7.41%	6.04%	7.87%	5.51%	4.82%	5.26%	3.97%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
