Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Академический район																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №3345	УИК №3346					
1	"Число избирателей, внесенных в список избирателей"	60543	862	2802	2493	2274	2876	1216	2537	2096	1546	2246	2925	2976	2637	1794	2144	2444	2764	1820	2045	2323	2154	1859	2254	2725	2003	2015	1998	610	105					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56800	750	2500	2200	2350	2600	2400	2300	1900	2100	2000	2600	2600	2400	1600	1900	1900	2500	1700	1900	2100	2000	1700	2000	2500	1800	1800	1800	700	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36761	490	1321	1194	1737	1773	1162	1560	987	1519	1480	1735	1242	1826	1173	1075	1250	1514	1037	1288	1451	1259	883	1653	1959	1223	1094	1171	610	95					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	751	6	23	44	18	33	27	24	21	27	32	31	23	13	16	31	13	43	23	24	13	22	24	58	20	35	27	71	0	9					
6	Число погашенных избирательных бюллетеней	19288	254	1156	962	595	794	1211	716	892	554	488	834	1335	561	411	794	637	943	640	588	636	719	793	289	521	542	679	558	90	96					
7	Число избирательных бюллетеней в переносных ящиках для голосования	751	6	23	44	18	33	27	24	21	27	32	31	23	13	16	31	13	43	23	24	13	22	24	58	20	35	27	71	0	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36386	489	1317	1193	1591	1767	1156	1559	962	1404	1480	1732	1236	1825	1173	1075	1250	1512	1037	1286	1448	1258	882	1623	1953	1209	1094	1170	610	95					
9	Число недействительных избирательных бюллетеней	711	6	34	29	30	21	35	19	20	10	20	30	47	18	21	18	34	20	21	32	23	32	26	31	40	24	31	20	13	6					
10	Число действительных избирательных бюллетеней	36426	489	1306	1208	1579	1779	1148	1564	963	1421	1492	1733	1212	1820	1168	1088	1229	1535	1039	1278	1438	1248	880	1650	1933	1220	1090	1221	597	98					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1300	25	50	55	50	55	50	60	30	60	45	60	60	45	50	45	50	60	40	45	45	40	45	60	55	40	45	35	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1000	6	47	42	22	45	45	49	24	42	32	46	49	41	39	36	43	47	23	39	33	33	31	48	45	30	29	34	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1096	37	40	30	34	35	17	28	14	36	27	24	34	60	58	46	57	38	52	36	57	16	32	33	25	42	40	32	105	11					
14	Число погашенных неиспользованных открепительных удостоверений	300	19	3	13	28	10	5	11	6	18	13	14	11	4	11	9	7	13	17	6	12	7	14	12	10	10	16	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	100	1	3	7	3	7	9	9	0	3	5	3	3	2	1	5	5	8	3	4	1	6	2	0	5	4	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4846	94	244	238	234	111	214	137	68	112	206	237	223	206	64	200	186	204	170	176	169	149	158	210	140	191	173	200	115	17					
		13.05%	18.99%	18.21%	19.24%	14.54%	6.17%	18.09%	8.65%	6.92%	7.83%	13.62%	13.44%	17.71%	11.21%	5.38%	18.08%	14.73%	13.12%	16.04%	13.44%	11.57%	11.64%	17.44%	12.49%	7.10%	15.35%	15.43%	16.12%	18.85%	16.35%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3154	84	142	150	160	39	148	115	120	142	114	120	138	132	27	115	139	180	97	88	141	114	90	109	70	99	105	107	58	11					
		8.49%	16.97%	10.60%	12.13%	9.94%	2.17%	12.51%	7.26%	12.21%	9.92%	7.54%	6.81%	10.96%	7.18%	2.27%	10.40%	11.01%	11.58%	9.15%	6.72%	9.65%	8.91%	9.93%	6.48%	3.55%	7.96%	9.37%	8.62%	9.51%	10.58%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	485	10	26	23	32	20	17	13	15	3	17	13	20	23	16	22	12	28	18	21	14	10	21	19	15	18	15	14	9	1					
		1.31%	2.02%	1.94%	1.86%	1.99%	1.11%	1.44%	0.82%	1.53%	0.21%	1.12%	0.74%	1.59%	1.25%	1.35%	1.99%	0.95%	1.80%	1.70%	1.60%	0.96%	0.78%	2.32%	1.13%	0.76%	1.45%	1.34%	1.13%	1.48%	0.96%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7160	120	298	309	420	131	310	219	79	211	226	371	313	298	286	260	319	302	266	262	264	276	236	319	296	229	191	197	138	14					
		19.28%	24.24%	22.24%	24.98%	26.10%	7.28%	26.20%	13.83%	8.04%	14.74%	14.95%	21.04%	24.86%	16.21%	24.05%	23.51%	25.26%	19.42%	25.09%	20.00%	18.07%	21.56%	26.05%	18.98%	15.00%	18.41%	17.04%	15.87%	22.62%	13.46%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5580	85	317	237	327	110	203	130	64	102	168	210	274	345	165	261	317	178	170	237	220	187	195	283	103	232	166	232	52	10					
		15.03%	17.17%	23.66%	19.16%	20.32%	6.11%	17.16%	8.21%	6.51%	7.13%	11.11%	11.91%	21.76%	18.77%	13.88%	23.60%	25.10%	11.45%	16.04%	18.09%	15.06%	14.61%	21.52%	16.84%	5.22%	18.65%	14.81%	18.69%	8.52%	9.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14802	89	256	229	379	1350	244	936	603	847	750	765	230	792	603	217	236	634	306	480	615	499	171	687	1290	439	438	457	216	44					
		39.86%	17.98%	19.10%	18.51%	23.56%	75.00%	20.63%	59.13%	61.34%	59.19%	49.60%	43.39%	18.27%	43.09%	50.71%	19.62%	18.69%	40.77%	28.87%	36.64%	42.09%	38.98%	18.87%	40.87%	65.38%	35.29%	39.07%	36.83%	35.41%	42.31%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	399	7	23	22	27	18	12	14	14	4	11	17	14	24	7	13	20	9	12	14	15	13	9	23	19	12	2	14	9	1					
		1.07%	1.41%	1.72%	1.78%	1.68%	1.00%	1.01%	0.88%	1.42%	0.28%	0.73%	0.96%	1.11%	1.31%	0.59%	1.18%	1.58%	0.58%	1.13%	1.07%	1.03%	1.02%	0.99%	1.37%	0.96%	0.96%	0.18%	1.13%	1.48%	0.96%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
