Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Южнопортовый район																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №3228	УИК №3229	УИК №3230					
1	"Число избирателей, внесенных в списки избирателей"	42531	2610	2463	2069	1864	1747	2229	2169	2665	1561	1533	1862	1881	1749	1789	1027	1501	1934	1556	1255	2709	2866	148	555	789					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35200	2200	2100	1800	1300	1400	1800	1800	2100	1200	1200	1500	1500	1400	1500	800	1200	1600	1300	1000	2100	2200	200	1000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23116	1331	1328	1104	863	820	1491	1266	1441	798	819	1074	977	1009	964	627	732	1039	1040	559	1339	1510	148	48	789					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1185	44	59	14	46	23	44	31	54	23	28	60	39	18	19	23	28	29	38	22	34	23	0	486	0					
6	Число погашенных избирательных бюллетеней	10899	825	713	682	391	557	265	503	605	379	353	366	484	373	517	150	440	532	222	419	727	667	52	466	211					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1185	44	59	14	46	23	44	31	54	23	28	60	39	18	19	23	28	29	38	22	34	23	0	486	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23051	1331	1328	1090	863	817	1491	1266	1427	794	816	1074	974	1006	964	627	732	1036	1028	557	1339	1506	148	48	789					
9	Число недействительных избирательных бюллетеней	279	14	20	17	4	15	17	14	12	15	10	12	8	12	6	11	14	15	12	7	18	16	4	4	2					
10	Число действительных избирательных бюллетеней	23957	1361	1367	1087	905	825	1518	1283	1469	802	834	1122	1005	1012	977	639	746	1050	1054	572	1355	1513	144	530	787					
