Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    район Чертаново Северное																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979					
1	"Число избирателей, внесенных в список избирателей"	64045	365	2770	2636	2247	2336	2324	2123	2003	2698	2284	1730	1866	2491	2183	2521	2499	2149	2249	2270	1426	2681	2011	1934	1684	2607	2732	2487	2216	2523					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58900	300	2500	2400	2200	2400	2100	2000	1900	2500	2100	1600	1700	2300	2000	2300	2300	2000	2000	2100	1300	2400	1800	1700	1500	2400	2500	2300	2000	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43215	255	1771	1793	1620	2306	1727	1357	1275	1713	1379	913	1148	1629	1395	1691	1559	1555	1468	1598	1056	1776	1259	1437	1348	1573	1747	1497	1635	1735					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1006	2	30	37	43	30	20	21	25	25	26	30	23	20	24	24	39	24	11	45	8	45	30	66	31	112	46	71	17	81					
6	Число погашенных избирательных бюллетеней	14679	43	699	570	537	64	353	622	600	762	695	657	529	651	581	585	702	421	521	457	236	579	511	197	121	715	707	732	348	484					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1006	2	30	37	43	30	20	21	25	25	26	30	23	20	24	24	39	24	11	45	8	45	30	66	31	112	46	71	17	81					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42972	255	1770	1793	1620	2306	1727	1295	1275	1710	1373	911	1129	1629	1395	1691	1556	1555	1468	1593	1055	1776	1259	1437	1325	1528	1742	1465	1599	1735					
9	Число недействительных избирательных бюллетеней	712	6	6	25	154	0	49	5	2	1	0	19	18	35	3	0	15	35	24	23	11	20	11	71	91	0	32	0	25	31					
10	Число действительных избирательных бюллетеней	43266	251	1794	1805	1509	2336	1698	1311	1298	1734	1399	922	1134	1614	1416	1715	1580	1544	1455	1615	1052	1801	1278	1432	1265	1640	1756	1536	1591	1785					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1580	10	70	60	50	60	60	50	60	60	50	40	40	60	50	60	60	50	50	60	50	60	50	50	50	70	70	60	60	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1007	0	49	44	32	45	36	32	32	41	40	24	22	43	30	32	45	27	28	31	33	42	26	30	18	48	57	42	32	46					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	693	156	20	17	22	26	38	11	17	28	4	15	35	20	14	15	21	10	15	17	18	24	23	16	28	21	16	19	12	15					
14	Число погашенных неиспользованных открепительных удостоверений	573	10	21	16	18	15	24	18	28	19	10	16	18	17	20	28	15	23	22	29	17	18	24	20	32	22	13	18	28	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	350	0	7	28	35	12	8	12	13	29	19	13	4	14	18	15	16	11	15	13	10	11	11	10	6	5	3	6	2	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4908	41	181	175	164	251	188	125	115	173	224	119	169	225	126	208	180	157	172	183	90	184	181	134	107	168	271	225	197	175					
		11.16%	15.95%	10.06%	9.56%	9.86%	10.74%	10.76%	9.50%	8.85%	9.97%	16.01%	12.65%	14.67%	13.64%	8.88%	12.13%	11.29%	9.94%	11.63%	11.17%	8.47%	10.10%	14.04%	8.92%	7.89%	10.24%	15.16%	14.65%	12.19%	9.64%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3644	31	127	101	116	172	262	98	73	193	158	101	114	177	98	126	137	99	159	146	81	191	133	101	71	82	135	124	122	116					
		8.29%	12.06%	7.06%	5.52%	6.98%	7.36%	14.99%	7.45%	5.62%	11.12%	11.29%	10.73%	9.90%	10.73%	6.91%	7.35%	8.59%	6.27%	10.75%	8.91%	7.62%	10.49%	10.32%	6.72%	5.24%	5.00%	7.55%	8.07%	7.55%	6.39%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	721	1	20	25	20	15	25	17	39	40	32	17	23	18	37	15	20	36	23	16	17	32	20	37	18	3	33	26	18	78					
		1.64%	0.39%	1.11%	1.37%	1.20%	0.64%	1.43%	1.29%	3.00%	2.31%	2.29%	1.81%	1.99%	1.09%	2.61%	0.87%	1.25%	2.28%	1.56%	0.98%	1.60%	1.76%	1.55%	2.46%	1.33%	0.18%	1.85%	1.69%	1.11%	4.30%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7757	37	256	347	282	280	216	192	199	379	380	204	189	262	196	234	259	241	226	257	159	377	215	203	195	388	473	418	417	276					
		17.64%	14.40%	14.22%	18.96%	16.96%	11.99%	12.36%	14.59%	15.31%	21.84%	27.16%	21.68%	16.41%	15.89%	13.81%	13.64%	16.24%	15.26%	15.28%	15.69%	14.96%	20.70%	16.68%	13.51%	14.38%	23.66%	26.45%	27.21%	25.80%	15.20%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3260	23	104	160	100	153	98	52	93	134	184	99	102	177	54	167	150	131	106	142	57	29	133	60	77	17	235	229	109	85					
		7.41%	8.95%	5.78%	8.74%	6.01%	6.55%	5.61%	3.95%	7.15%	7.72%	13.15%	10.52%	8.85%	10.73%	3.81%	9.74%	9.40%	8.30%	7.17%	8.67%	5.36%	1.59%	10.32%	3.99%	5.68%	1.04%	13.14%	14.91%	6.75%	4.68%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22551	116	1095	982	807	1452	899	820	758	800	401	382	522	735	888	946	821	868	759	866	644	972	584	879	787	968	595	500	716	989					
		51.28%	45.14%	60.83%	53.66%	48.53%	62.16%	51.46%	62.31%	58.31%	46.11%	28.66%	40.60%	45.31%	44.57%	62.58%	55.16%	51.47%	54.97%	51.32%	52.87%	60.58%	53.38%	45.31%	58.48%	58.04%	59.02%	33.28%	32.55%	44.31%	54.46%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	425	2	11	15	20	13	10	7	21	15	20	0	15	20	17	19	13	12	10	5	4	16	12	18	10	14	14	14	12	66					
		0.97%	0.78%	0.61%	0.82%	1.20%	0.56%	0.57%	0.53%	1.62%	0.86%	1.43%	0.00%	1.30%	1.21%	1.20%	1.11%	0.82%	0.76%	0.68%	0.31%	0.38%	0.88%	0.93%	1.20%	0.74%	0.85%	0.78%	0.91%	0.74%	3.63%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
