Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    район Филевский парк																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №3376	УИК №3377					
1	"Число избирателей, внесенных в список избирателей"	52233	2304	2815	2247	1920	1258	2394	2621	1346	2538	2489	2710	1967	2339	1131	2523	2411	2385	1396	1075	2601	1828	2237	2412	2537	673	76					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43500	2000	2100	2000	1500	1100	2000	2000	1200	2000	2000	2300	1500	2000	1000	2200	1800	1800	1000	1300	1800	1600	1900	2100	2200	1000	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29581	1114	1640	1284	983	624	1374	1678	836	1174	1237	1722	1149	1262	776	1108	1494	1620	783	992	1405	905	1222	1471	1180	472	76					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	550	43	26	34	26	4	24	19	20	35	42	18	16	48	7	21	17	43	13	6	10	10	26	19	23	0	0					
6	Число погашенных избирательных бюллетеней	13369	843	434	682	491	472	602	303	344	791	721	560	335	690	217	1071	289	137	204	302	385	685	652	610	997	528	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	548	43	26	34	25	4	24	19	20	35	42	18	16	48	7	20	17	43	13	6	10	10	26	19	23	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29341	1071	1640	1206	938	620	1374	1678	836	1174	1234	1722	1149	1262	755	1108	1494	1610	781	988	1405	904	1218	1470	1157	471	76					
9	Число недействительных избирательных бюллетеней	463	23	0	25	20	9	27	21	17	14	21	32	5	24	21	25	19	29	7	6	39	30	16	0	20	13	0					
10	Число действительных избирательных бюллетеней	29426	1091	1666	1215	943	615	1371	1676	839	1195	1255	1708	1160	1286	741	1103	1492	1624	787	988	1376	884	1228	1489	1160	458	76					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1030	50	50	50	40	30	50	50	30	50	50	50	30	50	20	50	50	50	20	10	50	50	50	50	50	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	643	37	33	33	28	17	32	32	21	35	27	30	17	19	9	41	20	35	10	1	32	41	21	40	32	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	625	32	68	23	11	23	8	32	10	20	23	18	30	34	22	38	23	44	13	18	23	14	13	13	17	33	22					
14	Число погашенных неиспользованных открепительных удостоверений	387	13	17	17	12	13	18	18	9	15	23	20	13	31	11	9	30	15	10	9	18	9	29	10	18	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	1	1	3	1	0	1	1	1	2	0	3	1	0	0	1	1	0	2	0	0	2	3	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2864	153	97	64	53	106	228	70	139	105	206	182	127	124	59	58	93	85	97	32	200	183	178	76	65	77	7					
		9.58%	13.73%	5.82%	5.16%	5.50%	16.99%	16.31%	4.12%	16.24%	8.68%	16.14%	10.46%	10.90%	9.47%	7.74%	5.14%	6.15%	5.14%	12.22%	3.22%	14.13%	20.02%	14.31%	5.10%	5.51%	16.35%	9.21%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2607	129	198	107	99	75	159	66	73	97	169	171	104	76	73	63	24	124	68	51	158	104	109	177	53	56	24					
		8.72%	11.58%	11.88%	8.63%	10.28%	12.02%	11.37%	3.89%	8.53%	8.02%	13.24%	9.83%	8.93%	5.80%	9.58%	5.59%	1.59%	7.50%	8.56%	5.13%	11.17%	11.38%	8.76%	11.89%	4.49%	11.89%	31.58%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	350	18	22	11	8	16	14	4	11	20	24	21	14	11	15	5	1	11	11	6	20	21	14	24	19	9	0					
		1.17%	1.62%	1.32%	0.89%	0.83%	2.56%	1.00%	0.24%	1.29%	1.65%	1.88%	1.21%	1.20%	0.84%	1.97%	0.44%	0.07%	0.67%	1.39%	0.60%	1.41%	2.30%	1.13%	1.61%	1.61%	1.91%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6153	238	418	301	251	154	281	266	182	232	263	350	217	311	119	126	258	268	148	59	326	241	232	407	381	107	17					
		20.59%	21.36%	25.09%	24.27%	26.06%	24.68%	20.10%	15.67%	21.26%	19.19%	20.61%	20.11%	18.63%	23.74%	15.62%	11.17%	17.07%	16.21%	18.64%	5.94%	23.04%	26.37%	18.65%	27.33%	32.29%	22.72%	22.37%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1690	129	32	15	17	129	219	8	29	89	159	26	38	19	52	7	3	118	77	26	234	96	34	34	61	37	2					
		5.65%	11.58%	1.92%	1.21%	1.77%	20.67%	15.67%	0.47%	3.39%	7.36%	12.46%	1.49%	3.26%	1.45%	6.82%	0.62%	0.20%	7.14%	9.70%	2.62%	16.54%	10.50%	2.73%	2.28%	5.17%	7.86%	2.63%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15507	419	882	710	506	130	452	1255	399	637	421	939	649	738	408	837	1112	1009	375	808	427	225	652	764	562	165	26					
		51.88%	37.61%	52.94%	57.26%	52.54%	20.83%	32.33%	73.95%	46.61%	52.69%	32.99%	53.97%	55.71%	56.34%	53.54%	74.20%	73.59%	61.04%	47.23%	81.29%	30.18%	24.62%	52.41%	51.31%	47.63%	35.03%	34.21%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	255	5	17	7	9	5	18	7	6	15	13	19	11	7	15	7	1	9	11	6	11	14	9	7	19	7	0					
		0.85%	0.45%	1.02%	0.56%	0.93%	0.80%	1.29%	0.41%	0.70%	1.24%	1.02%	1.09%	0.94%	0.53%	1.97%	0.62%	0.07%	0.54%	1.39%	0.60%	0.78%	1.53%	0.72%	0.47%	1.61%	1.49%	0.00%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
