Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    район Свиблово																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775					
1	"Число избирателей, внесенных в списки избирателей"	35502	2472	2582	2389	2462	2484	2710	2572	2678	2704	2806	2574	2210	2257	2602					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18280	1253	1373	1304	1305	1277	1321	1348	1396	1434	1455	1185	1193	1104	1332					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	497	27	43	42	36	42	33	62	43	35	20	32	29	31	22					
6	Число погашенных избирательных бюллетеней	9223	720	584	654	659	681	646	590	561	531	525	783	778	865	646					
7	Число избирательных бюллетеней в переносных ящиках для голосования	497	27	43	42	36	42	33	62	43	35	20	32	29	31	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18226	1246	1369	1303	1305	1270	1321	1348	1393	1424	1445	1185	1189	1102	1326					
9	Число недействительных избирательных бюллетеней	322	18	24	25	13	22	29	20	19	17	57	16	16	23	23					
10	Число действительных избирательных бюллетеней	18401	1255	1388	1320	1328	1290	1325	1390	1417	1442	1408	1201	1202	1110	1325					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	720	55	40	40	55	55	80	40	50	40	80	40	55	40	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	526	43	35	32	39	41	43	33	36	33	42	32	41	30	46					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	513	21	37	21	42	49	38	43	34	44	34	22	50	36	42					
14	Число погашенных неиспользованных открепительных удостоверений	194	12	5	8	16	14	37	7	14	7	38	8	14	10	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	113	4	5	8	2	5	6	7	12	8	9	10	11	16	10					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	581	33	40	49	42	41	43	46	44	53	42	38	39	28	43					
		3.10%	2.59%	2.83%	3.64%	3.13%	3.13%	3.18%	3.26%	3.06%	3.63%	2.87%	3.12%	3.20%	2.47%	3.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	501	36	45	31	40	39	30	40	39	35	37	27	35	24	43					
		2.68%	2.83%	3.19%	2.30%	2.98%	2.97%	2.22%	2.84%	2.72%	2.40%	2.53%	2.22%	2.87%	2.12%	3.19%					
20	3.Политическая партия «Демократическая партия России»	36	4	3	0	1	3	0	3	9	1	3	2	1	3	3					
		0.19%	0.31%	0.21%	0.00%	0.07%	0.23%	0.00%	0.21%	0.63%	0.07%	0.20%	0.16%	0.08%	0.26%	0.22%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2546	213	180	199	177	153	175	224	227	188	149	164	174	170	153					
		13.60%	16.73%	12.75%	14.80%	13.20%	11.66%	12.92%	15.89%	15.81%	12.89%	10.17%	13.48%	14.29%	15.00%	11.35%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	553	39	34	47	39	50	27	30	49	44	43	38	49	26	38					
		2.95%	3.06%	2.41%	3.49%	2.91%	3.81%	1.99%	2.13%	3.41%	3.02%	2.94%	3.12%	4.02%	2.29%	2.82%					
23	6.Политическая партия «Партия социальной справедливости»	72	5	8	6	4	3	7	2	4	4	5	7	6	6	5					
		0.38%	0.39%	0.57%	0.45%	0.30%	0.23%	0.52%	0.14%	0.28%	0.27%	0.34%	0.58%	0.49%	0.53%	0.37%					
24	7.Политическая партия «Либерально-демократическая партия России»	1411	85	94	96	117	113	125	98	103	89	122	83	92	85	109					
		7.54%	6.68%	6.66%	7.14%	8.72%	8.61%	9.23%	6.95%	7.17%	6.10%	8.33%	6.82%	7.55%	7.50%	8.09%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1586	132	130	112	102	100	132	126	115	135	113	90	104	84	111					
		8.47%	10.37%	9.21%	8.33%	7.61%	7.62%	9.75%	8.94%	8.01%	9.25%	7.71%	7.40%	8.54%	7.41%	8.23%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	276	20	19	22	22	14	26	20	22	24	31	10	13	13	20					
		1.47%	1.57%	1.35%	1.64%	1.64%	1.07%	1.92%	1.42%	1.53%	1.64%	2.12%	0.82%	1.07%	1.15%	1.48%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9367	588	737	677	672	654	686	697	672	768	760	645	578	563	670					
		50.03%	46.19%	52.20%	50.33%	50.11%	49.85%	50.66%	49.43%	46.80%	52.64%	51.88%	52.99%	47.45%	49.69%	49.70%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1472	100	98	81	112	120	74	104	133	101	103	97	111	108	130					
		7.86%	7.86%	6.94%	6.02%	8.35%	9.15%	5.47%	7.38%	9.26%	6.92%	7.03%	7.97%	9.11%	9.53%	9.64%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
