Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва								
Дата голосования: 04.12.2011								
								
Наименование Избирательной комиссии:    Молжаниновский район								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №395					
1	"Число избирателей, внесенных в список избирателей"	2187	2187					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2500	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1159	1159					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	106	106					
6	Число погашенных избирательных бюллетеней	1235	1235					
7	Число избирательных бюллетеней в переносных ящиках для голосования	106	106					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1159	1159					
9	Число недействительных избирательных бюллетеней	21	21					
10	Число действительных избирательных бюллетеней	1244	1244					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	293	293					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	98	98					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	96					
14	Число погашенных неиспользованных открепительных удостоверений	195	195					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	7					
16	Число утраченных открепительных удостоверений	0	0					
17	Число утраченных избирательных бюллетеней	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	144	144					
		11.38%	11.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	143	143					
		11.30%	11.30%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	13					
		1.03%	1.03%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	214	214					
		16.92%	16.92%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	93	93					
		7.35%	7.35%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	626	626					
		49.49%	49.49%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	11					
		0.87%	0.87%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
