Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    район Ясенево																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №3267	УИК №3268					
1	"Число избирателей, внесенных в списки избирателей"	122019	1794	2463	2242	2509	1834	2867	2711	1959	1756	2533	2760	1762	1913	2481	2176	2366	1790	1715	2379	2737	2211	2358	2947	2410	1623	2513	2085	2429	2011	2276	127	2853	1905	1791	2883	2442	2587	2381	2941	2473	2793	2654	2740	1221	1929	2458	1793	2696	1716	1760	2253	2207	2069	1926	1359	237	215					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	99350	1500	2000	1800	2000	1500	2300	2200	1500	1500	2000	2200	1500	1500	2000	1800	2000	1500	1500	2000	2200	1800	2000	2500	2000	1300	2000	1500	2000	1500	1800	100	2300	1500	1500	2200	2000	2000	2000	2500	2000	2300	2000	2200	1000	1500	2000	1500	2200	1500	1500	2000	1800	1500	1500	1000	500	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	61884	921	1260	1178	1205	1054	1329	1375	965	947	1214	1405	927	922	1293	1092	1212	951	985	1079	1263	1135	1161	1550	1221	761	1240	1068	1194	1194	1365	84	1550	922	893	1328	1220	1238	1107	1400	1321	1333	1237	1425	572	1023	1219	938	1352	1025	977	1043	1070	1101	1051	686	173	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2070	36	38	27	51	15	14	42	34	23	23	52	28	14	19	31	25	21	27	59	32	29	21	15	11	29	96	167	41	21	40	7	13	31	19	51	21	37	52	29	37	52	25	33	42	41	72	57	29	21	24	65	25	20	17	20	64	85					
6	Число погашенных избирательных бюллетеней	35396	543	702	595	744	431	957	783	501	530	763	743	545	564	688	677	763	528	488	862	905	636	818	935	768	510	664	265	765	285	395	9	737	547	588	821	759	725	841	1071	642	915	738	742	386	436	709	505	819	454	499	892	705	379	432	294	263	135					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2070	36	38	27	51	15	14	42	34	23	23	52	28	14	19	31	25	21	27	59	32	29	21	15	11	29	96	167	41	21	40	7	13	31	19	51	21	37	52	29	37	52	25	33	42	41	72	57	29	21	24	65	25	20	17	20	64	85					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61651	921	1247	1178	1205	1054	1324	1372	955	947	1212	1405	925	922	1289	1092	1209	951	985	1071	1263	1131	1157	1550	1209	761	1240	1068	1190	1188	1365	84	1537	919	887	1327	1217	1215	1101	1397	1321	1322	1237	1423	572	1023	1216	931	1347	983	977	1038	1070	1101	1034	683	173	130					
9	Число недействительных избирательных бюллетеней	785	9	11	12	16	9	19	21	11	16	12	23	7	4	20	26	7	10	6	18	11	15	19	20	12	6	30	19	19	19	13	1	19	16	10	20	17	15	9	19	14	16	30	21	9	12	16	12	15	13	7	7	9	7	21	8	2	0					
10	Число действительных избирательных бюллетеней	62936	948	1274	1193	1240	1060	1319	1393	978	954	1223	1434	946	932	1288	1097	1227	962	1006	1112	1284	1145	1159	1545	1208	784	1306	1216	1212	1190	1392	90	1531	934	896	1358	1221	1237	1144	1407	1344	1358	1232	1435	605	1052	1272	976	1361	991	994	1096	1086	1114	1030	695	235	215					
