Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Район Раменки																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №3187	УИК №3188					
1	"Число избирателей, внесенных в списки"	73941	2023	1331	2166	1771	2728	2224	1585	2771	1245	2644	2760	2565	1555	1546	1811	2666	2243	1930	1871	2436	2145	1761	2586	2670	2795	2647	2155	1681	2246	2090	2040	2035	2144	1768	1015	65	227					
2	"Число бюллетеней, полученных участковыми комиссиями"	66504	1820	1200	1940	1600	2430	2010	1430	2490	1112	2400	2480	2310	1250	1330	1520	2150	2030	1730	1690	2170	1960	1600	2360	2440	2520	2400	1960	1520	2030	1900	1860	1850	1940	1600	742	190	540					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42170	1072	784	1163	934	1545	1120	939	1447	835	1494	1415	1435	791	845	1041	1546	1344	1085	1112	1493	1187	929	1439	1495	1656	1530	1275	997	1375	1247	1313	1193	1156	1098	618	60	162					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1106	38	34	51	58	77	84	41	17	59	46	50	40	9	18	25	37	14	14	18	8	29	22	23	18	15	21	28	5	36	33	28	20	36	54	0	0	0					
6	Число погашенных бюллетеней	23228	710	382	726	608	808	806	450	1026	218	860	1015	835	450	467	454	567	672	631	560	669	744	649	898	927	849	849	657	518	619	620	519	637	748	448	124	130	378					
7	Число бюллетеней в переносных ящиках для голосования	1106	38	34	51	58	77	84	41	17	59	46	50	40	9	18	25	37	14	14	18	8	29	22	23	18	15	21	28	5	36	33	28	20	36	54	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	41949	1069	782	1163	886	1542	1120	939	1428	835	1486	1415	1435	785	840	1038	1542	1335	1084	1110	1486	1176	929	1436	1492	1656	1530	1266	993	1370	1247	1313	1189	1152	1041	617	60	162					
9	Число недействительных бюллетеней	341	24	8	7	10	17	9	10	12	6	7	21	11	3	1	7	8	8	9	5	14	7	4	9	17	4	6	5	9	22	14	18	6	10	0	6	0	7					
10	Число действительных бюллетеней	42714	1083	808	1207	934	1602	1195	970	1433	888	1525	1444	1464	791	857	1056	1571	1341	1089	1123	1480	1198	947	1450	1493	1667	1545	1289	989	1384	1266	1323	1203	1178	1095	611	60	155					
