Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Каларская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168					
1	"Число избирателей, внесенных в список избирателей"	6927	569	553	663	447	498	184	441	811	364	525	107	437	579	518	231					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6880	568	540	657	447	494	183	420	780	371	524	118	450	558	526	244					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	32	0	0	0	0	0	1	0	0	17	0	0	0	0	0	14					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2696	254	228	285	191	141	67	145	389	94	168	69	175	212	211	67					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	79	8	0	0	9	5	4	1	11	10	1	0	8	16	1	5					
6	Число погашенных избирательных бюллетеней	4073	306	312	372	247	348	111	274	380	250	355	49	267	330	314	158					
7	Число избирательных бюллетеней в переносных ящиках для голосования	111	8	0	0	9	5	5	1	11	27	1	0	8	16	1	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2696	254	228	285	191	141	67	145	389	94	168	69	175	212	211	67					
9	Число недействительных избирательных бюллетеней	29	1	3	1	3	1	2	1	2	3	2	0	4	2	3	1					
10	Число действительных избирательных бюллетеней	2778	261	225	284	197	145	70	145	398	118	167	69	179	226	209	85					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	292	12	20	20	20	20	25	20	20	20	20	20	20	20	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	76	12	10	4	2	0	7	2	1	1	4	9	7	5	5	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	4	7	5	1	1	0	1	1	0	5	0	3	11	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	216	0	10	16	18	20	18	18	19	19	16	11	13	15	15	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	0	0	1	1	0	1	0	0	0	0	2	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	487	38	38	54	44	23	12	29	53	15	28	22	39	34	42	16					
		17.35%	14.50%	16.67%	18.95%	22.00%	15.75%	16.67%	19.86%	13.25%	12.40%	16.57%	31.88%	21.31%	14.91%	19.81%	18.60%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	539	58	40	43	28	28	13	33	68	24	44	4	48	46	44	18					
		19.20%	22.14%	17.54%	15.09%	14.00%	19.18%	18.06%	22.60%	17.00%	19.83%	26.04%	5.80%	26.23%	20.18%	20.75%	20.93%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	7	3	6	2	2	1	1	2	0	3	0	4	3	2	3					
		1.39%	2.67%	1.32%	2.11%	1.00%	1.37%	1.39%	0.68%	0.50%	0.00%	1.78%	0.00%	2.19%	1.32%	0.94%	3.49%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	601	58	48	73	40	22	14	30	109	27	35	7	32	53	43	10					
		21.41%	22.14%	21.05%	25.61%	20.00%	15.07%	19.44%	20.55%	27.25%	22.31%	20.71%	10.14%	17.49%	23.25%	20.28%	11.63%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	37	4	2	1	4	2	2	4	5	3	2	0	1	5	1	1					
		1.32%	1.53%	0.88%	0.35%	2.00%	1.37%	2.78%	2.74%	1.25%	2.48%	1.18%	0.00%	0.55%	2.19%	0.47%	1.16%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1056	95	92	103	79	65	28	48	159	46	54	36	54	84	76	37					
		37.62%	36.26%	40.35%	36.14%	39.50%	44.52%	38.89%	32.88%	39.75%	38.02%	31.95%	52.17%	29.51%	36.84%	35.85%	43.02%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	1	2	4	0	3	0	0	2	3	1	0	1	1	1	0					
		0.68%	0.38%	0.88%	1.40%	0.00%	2.05%	0.00%	0.00%	0.50%	2.48%	0.59%	0.00%	0.55%	0.44%	0.47%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
