Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Тунгокоченская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271					
1	"Число избирателей, внесенных в список избирателей"	10230	2102	585	693	780	1138	1043	653	51	34	57	525	185	73	190	377	621	160	692	194	77					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10438	2143	595	700	800	1165	1065	660	55	35	60	540	180	75	195	390	650	160	695	200	75					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4433	912	170	200	292	496	440	255	28	21	33	255	95	49	127	179	276	87	340	117	61					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	356	87	14	11	20	23	16	36	9	0	7	16	6	0	9	23	44	7	22	6	0					
6	Число погашенных избирательных бюллетеней	5649	1144	411	489	488	646	609	369	18	14	20	269	79	26	59	188	330	66	333	77	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	356	87	14	11	20	23	16	36	9	0	7	16	6	0	9	23	44	7	22	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4432	912	170	200	292	496	440	255	28	21	33	255	95	49	127	179	275	87	340	117	61					
9	Число недействительных избирательных бюллетеней	101	20	7	10	3	17	9	6	0	0	0	4	4	3	3	2	5	0	3	5	0					
10	Число действительных избирательных бюллетеней	4687	979	177	201	309	502	447	285	37	21	40	267	97	46	133	200	314	94	359	118	61					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	297	47	20	20	20	20	20	20	10	0	0	20	10	10	10	20	20	0	20	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	84	30	0	3	3	5	9	2	0	0	0	5	0	0	10	7	4	0	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	9	0	3	0	1	1	2	0	0	0	0	1	1	1	2	0	0	4	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	213	17	20	17	17	15	11	18	10	0	0	15	10	10	0	13	16	0	14	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	607	120	45	23	39	109	84	47	3	0	5	17	8	1	8	9	22	14	40	11	2					
		12.68%	12.01%	24.46%	10.90%	12.50%	21.00%	18.42%	16.15%	8.11%	0.00%	12.50%	6.27%	7.92%	2.04%	5.88%	4.46%	6.90%	14.89%	11.05%	8.94%	3.28%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1218	325	19	28	80	79	102	63	17	4	6	41	30	20	63	75	97	23	95	38	13					
		25.44%	32.53%	10.33%	13.27%	25.64%	15.22%	22.37%	21.65%	45.95%	19.05%	15.00%	15.13%	29.70%	40.82%	46.32%	37.13%	30.41%	24.47%	26.24%	30.89%	21.31%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	14	3	1	1	1	8	3	1	1	0	2	2	1	0	1	2	2	4	0	1					
		1.00%	1.40%	1.63%	0.47%	0.32%	0.19%	1.75%	1.03%	2.70%	4.76%	0.00%	0.74%	1.98%	2.04%	0.00%	0.50%	0.63%	2.13%	1.10%	0.00%	1.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1065	244	45	50	58	149	101	38	6	4	3	100	14	7	19	30	68	4	90	29	6					
		22.24%	24.42%	24.46%	23.70%	18.59%	28.71%	22.15%	13.06%	16.22%	19.05%	7.50%	36.90%	13.86%	14.29%	13.97%	14.85%	21.32%	4.26%	24.86%	23.58%	9.84%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	41	12	1	0	3	6	3	2	0	0	0	0	0	0	1	4	3	0	4	2	0					
		0.86%	1.20%	0.54%	0.00%	0.96%	1.16%	0.66%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	1.98%	0.94%	0.00%	1.10%	1.63%	0.00%					
