Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Фурмановская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335					
1	"Число избирателей, внесенных в список избирателей"	36631	1632	1550	2166	2327	1360	1693	2095	1661	1544	1691	1538	1808	1675	1489	1877	2114	1099	1361	453	777	426	513	483	427	548	318	878	267	540	321					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34000	1500	1400	2000	2000	1200	1500	2000	1500	1400	1500	1500	1600	1500	1400	1600	2000	1000	1200	460	820	465	530	515	440	560	330	900	275	575	330					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15176	543	595	1014	987	539	764	888	642	677	565	626	878	826	648	744	916	484	515	198	305	114	311	132	147	190	15	541	119	131	122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2721	111	116	83	68	98	60	53	73	75	56	39	31	79	119	111	57	33	49	53	131	154	49	245	104	118	202	37	59	195	63					
6	Число погашенных избирательных бюллетеней	16103	846	689	903	945	563	676	1059	785	648	879	835	691	595	633	745	1027	483	636	209	384	197	170	138	189	252	113	322	97	249	145					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2720	111	116	83	68	98	60	53	73	75	56	39	31	79	119	111	57	33	49	53	131	154	49	245	104	118	201	37	59	195	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15176	543	595	1014	987	539	764	888	642	677	565	626	878	826	648	744	916	484	515	198	305	114	311	132	147	190	15	541	119	131	122					
9	Число недействительных избирательных бюллетеней	240	5	7	18	24	5	10	11	5	9	9	12	20	14	7	11	18	8	6	8	5	1	3	3	3	2	3	7	1	1	4					
10	Число действительных избирательных бюллетеней	17656	649	704	1079	1031	632	814	930	710	743	612	653	889	891	760	844	955	509	558	243	431	267	357	374	248	306	213	571	177	325	181					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	475	10	10	20	20	10	20	27	20	10	10	15	23	20	10	13	21	20	16	10	20	20	15	25	10	15	10	20	10	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	475	10	10	20	20	10	20	27	20	10	10	15	23	20	10	13	21	20	16	10	20	20	15	25	10	15	10	20	10	20	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	265	10	9	10	8	6	31	13	11	13	13	7	9	18	8	6	11	12	9	3	4	6	6	8	4	7	0	9	5	6	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	125	6	2	7	7	7	4	11	17	4	10	5	6	2	7	1	5	2	3	0	0	0	3	4	4	2	1	0	1	4	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2573	78	83	164	148	91	116	148	112	114	105	104	118	140	104	129	146	78	93	38	56	31	29	35	41	41	16	108	21	57	29					
		14.38%	11.93%	11.67%	14.95%	14.03%	14.29%	14.08%	15.73%	15.66%	15.16%	16.91%	15.64%	12.98%	15.47%	13.56%	15.09%	15.01%	15.09%	16.49%	15.14%	12.84%	11.57%	8.06%	9.28%	16.33%	13.31%	7.41%	18.69%	11.80%	17.48%	15.68%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2558	93	111	145	178	91	126	127	119	104	104	103	122	122	116	102	122	98	85	39	57	33	56	39	25	41	21	68	34	54	23					
		14.29%	14.22%	15.61%	13.22%	16.87%	14.29%	15.29%	13.50%	16.64%	13.83%	16.75%	15.49%	13.42%	13.48%	15.12%	11.93%	12.54%	18.96%	15.07%	15.54%	13.07%	12.31%	15.56%	10.34%	9.96%	13.31%	9.72%	11.76%	19.10%	16.56%	12.43%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	170	5	11	11	9	7	12	8	6	13	3	5	15	6	5	4	3	9	3	1	7	0	0	2	4	2	3	11	1	1	3					
		0.95%	0.76%	1.55%	1.00%	0.85%	1.10%	1.46%	0.85%	0.84%	1.73%	0.48%	0.75%	1.65%	0.66%	0.65%	0.47%	0.31%	1.74%	0.53%	0.40%	1.61%	0.00%	0.00%	0.53%	1.59%	0.65%	1.39%	1.90%	0.56%	0.31%	1.62%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4329	144	138	290	260	126	222	237	144	174	137	149	248	229	191	259	232	112	140	52	139	71	74	68	57	85	37	208	27	46	33					
		24.19%	22.02%	19.41%	26.44%	24.64%	19.78%	26.94%	25.19%	20.14%	23.14%	22.06%	22.41%	27.28%	25.30%	24.90%	30.29%	23.84%	21.66%	24.82%	20.72%	31.88%	26.49%	20.56%	18.04%	22.71%	27.60%	17.13%	35.99%	15.17%	14.11%	17.84%					
