Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Южская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820					
1	"Число избирателей, внесенных в список избирателей"	18194	2109	1663	1486	1675	1976	1385	1788	283	165	374	1623	681	477	395	790	185	170	171	385	413					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18130	2100	1650	1500	1650	2000	1350	1750	250	180	380	1600	700	470	390	790	180	160	170	420	440					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7859	851	567	554	567	833	506	687	165	89	150	1019	398	267	136	376	80	63	67	231	253					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1653	151	117	111	130	165	109	120	13	24	105	68	60	57	120	39	19	51	25	83	86					
6	Число погашенных избирательных бюллетеней	8618	1098	966	835	953	1002	735	943	72	67	125	513	242	146	134	375	81	46	78	106	101					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1653	151	117	111	130	165	109	120	13	24	105	68	60	57	120	39	19	51	25	83	86					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7856	851	567	554	566	833	506	685	165	89	150	1019	398	267	136	376	80	63	67	231	253					
9	Число недействительных избирательных бюллетеней	171	16	16	14	17	12	7	16	3	1	7	34	7	3	0	9	0	0	4	0	5					
10	Число действительных избирательных бюллетеней	9338	986	668	651	679	986	608	789	175	112	248	1053	451	321	256	406	99	114	88	314	334					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	257	34	18	15	18	26	15	27	5	5	5	15	13	10	10	10	1	5	5	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	219	34	18	14	16	26	15	27	2	5	5	13	13	5	5	10	0	0	0	5	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	358	25	36	28	35	55	32	41	18	6	4	17	4	4	11	10	5	11	3	4	9					
14	Число погашенных неиспользованных открепительных удостоверений	38	0	0	1	2	0	0	0	3	0	0	2	0	5	5	0	1	5	5	5	4					
