Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
Наименование Избирательной комиссии:    Баяндаевская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195					
1	"Число избирателей, внесенных в список избирателей"	8904	408	91	360	318	221	112	574	1898	486	80	511	267	573	128	295	128	382	383	61	95	734	50	122	130	121	223	153					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8519	400	83	350	307	200	110	550	1800	500	88	512	245	555	127	273	127	373	350	60	89	651	50	110	125	114	220	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5473	209	51	243	188	149	71	276	972	333	66	360	129	428	115	188	97	241	226	55	65	453	28	85	100	81	165	99					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	702	79	14	18	32	10	11	37	64	27	7	28	34	43	5	33	19	40	23	1	18	64	8	19	6	15	17	30					
6	Число погашенных избирательных бюллетеней	2344	112	18	89	87	41	28	237	764	140	15	124	82	84	7	52	11	92	101	4	6	134	14	6	19	18	38	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	702	79	14	18	32	10	11	37	64	27	7	28	34	43	5	33	19	40	23	1	18	64	8	19	6	15	17	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5473	209	51	243	188	149	71	276	972	333	66	360	129	428	115	188	97	241	226	55	65	453	28	85	100	81	165	99					
9	Число недействительных избирательных бюллетеней	69	2	1	3	0	3	0	1	19	1	1	7	4	10	1	0	0	0	2	0	1	9	0	1	2	0	1	0					
10	Число действительных избирательных бюллетеней	6106	286	64	258	220	156	82	312	1017	359	72	381	159	461	119	221	116	281	247	56	82	508	36	103	104	96	181	129					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	297	27	5	15	5	1	5	5	61	15	8	15	10	15	5	10	5	15	15	5	5	15	5	5	5	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	210	27	4	5	5	0	2	4	61	12	8	9	0	8	2	9	0	9	6	1	5	11	5	5	5	1	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	3	6	4	2	3	1	4	19	2	1	1	1	2	1	0	1	0	2	1	4	9	2	1	2	2	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	87	0	1	10	0	1	3	1	0	3	0	6	10	7	3	1	5	6	9	4	0	4	0	0	0	4	8	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	466	25	7	16	19	8	11	26	89	38	4	24	7	32	3	8	2	13	19	1	7	47	3	17	4	7	19	10					
		7.55%	8.68%	10.77%	6.13%	8.64%	5.03%	13.41%	8.31%	8.59%	10.56%	5.48%	6.19%	4.29%	6.79%	2.50%	3.62%	1.72%	4.63%	7.63%	1.79%	8.43%	9.09%	8.33%	16.35%	3.77%	7.29%	10.44%	7.75%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	344	56	0	30	13	19	10	11	70	18	2	23	4	6	0	4	7	2	6	1	13	31	1	3	4	1	4	5					
		5.57%	19.44%	0.00%	11.49%	5.91%	11.95%	12.20%	3.51%	6.76%	5.00%	2.74%	5.93%	2.45%	1.27%	0.00%	1.81%	6.03%	0.71%	2.41%	1.79%	15.66%	5.99%	2.78%	2.88%	3.77%	1.04%	2.20%	3.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	53	1	0	5	1	0	2	5	7	5	1	5	3	1	0	1	0	0	4	0	0	4	2	0	2	2	1	1					
		0.86%	0.35%	0.00%	1.92%	0.45%	0.00%	2.44%	1.60%	0.68%	1.39%	1.37%	1.29%	1.84%	0.21%	0.00%	0.45%	0.00%	0.00%	1.61%	0.00%	0.00%	0.77%	5.56%	0.00%	1.89%	2.08%	0.55%	0.78%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1267	50	27	41	73	40	27	90	288	71	5	56	35	51	35	16	8	27	44	5	22	94	9	25	18	44	35	31					
		20.52%	17.36%	41.54%	15.71%	33.18%	25.16%	32.93%	28.75%	27.80%	19.72%	6.85%	14.43%	21.47%	10.83%	29.17%	7.24%	6.90%	9.61%	17.67%	8.93%	26.51%	18.18%	25.00%	24.04%	16.98%	45.83%	19.23%	24.03%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	57	5	0	6	2	4	2	1	12	2	0	5	0	0	0	2	0	1	0	0	0	4	0	3	1	0	1	6					
		0.92%	1.74%	0.00%	2.30%	0.91%	2.52%	2.44%	0.32%	1.16%	0.56%	0.00%	1.29%	0.00%	0.00%	0.00%	0.90%	0.00%	0.36%	0.00%	0.00%	0.00%	0.77%	0.00%	2.88%	0.94%	0.00%	0.55%	4.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3901	149	30	158	112	85	30	179	549	224	59	266	109	370	81	190	99	237	171	49	39	328	21	55	74	42	121	74					
		63.17%	51.74%	46.15%	60.54%	50.91%	53.46%	36.59%	57.19%	52.99%	62.22%	80.82%	68.56%	66.87%	78.56%	67.50%	85.97%	85.34%	84.34%	68.67%	87.50%	46.99%	63.44%	58.33%	52.88%	69.81%	43.75%	66.48%	57.36%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	18	0	0	2	0	0	0	0	2	1	1	2	1	1	0	0	0	1	3	0	1	0	0	0	1	0	0	2					
		0.29%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.19%	0.28%	1.37%	0.52%	0.61%	0.21%	0.00%	0.00%	0.00%	0.36%	1.20%	0.00%	1.20%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	1.55%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
