Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    Иркутская 																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586					
1	"Число избирателей, внесенных в список избирателей"	56966	2245	1194	482	542	197	216	225	106	35	1537	1686	884	928	52	1199	2214	628	381	2091	2473	822	662	1064	645	2772	826	271	99	364	2136	448	377	409	153	167	375	224	452	587	359	213	2263	727	1384	687	404	113	388	1307	155	184	167	166	609	762	2926	692	295	346	307	2922	2805	1661	470	648	304	725	342	151	316					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54260	2200	1200	470	530	200	210	220	106	37	1500	1650	880	850	55	1120	2100	630	360	2050	2200	810	610	1020	630	2300	930	260	99	360	2000	440	380	405	150	169	320	220	370	570	360	210	2000	1260	1200	660	400	107	370	1150	159	182	169	167	600	760	2600	685	270	320	300	2600	2700	1600	460	560	300	700	340	150	310					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25740	881	462	213	243	79	118	150	31	34	667	994	303	366	11	440	783	250	166	1113	743	446	253	517	343	1810	428	123	72	156	819	147	133	129	84	83	208	63	346	394	269	136	1254	264	763	288	244	72	231	432	107	82	84	87	246	404	1103	271	145	189	94	965	1104	627	123	269	205	559	263	98	161					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2517	123	50	29	28	9	18	7	4	0	44	56	21	34	7	97	51	31	18	50	55	91	8	13	6	12	42	22	2	20	111	52	38	14	7	16	89	40	0	26	15	18	82	150	40	19	46	17	8	88	4	10	16	2	21	11	69	35	0	8	17	183	89	44	39	64	0	40	0	7	34					
6	Число погашенных избирательных бюллетеней	26003	1196	688	228	259	112	74	63	71	3	789	600	556	450	37	583	1266	349	176	887	1402	273	349	490	281	478	460	115	25	184	1070	241	209	262	59	70	23	117	24	150	76	56	664	846	397	353	110	18	131	630	48	90	69	78	333	345	1428	379	125	123	189	1452	1507	929	298	227	95	101	77	45	115					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2517	123	50	29	28	9	18	7	4	0	44	56	21	34	7	97	51	31	18	50	55	91	8	13	6	12	42	22	2	20	111	52	38	14	7	16	89	40	0	26	15	18	82	150	40	19	46	17	8	88	4	10	16	2	21	11	69	35	0	8	17	183	89	44	39	64	0	40	0	7	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25736	881	462	213	243	79	118	150	31	34	667	994	303	366	11	440	783	250	166	1113	743	446	253	517	342	1810	428	123	72	155	819	147	133	129	84	83	208	63	346	394	269	136	1254	264	763	288	244	72	231	432	107	82	84	87	246	402	1103	271	145	189	94	965	1104	627	123	269	205	559	263	98	161					
9	Число недействительных избирательных бюллетеней	377	11	9	7	1	1	0	0	1	1	7	19	5	5	0	4	6	2	3	30	16	16	4	7	2	24	4	2	0	3	7	0	2	3	0	1	2	0	8	11	2	1	17	7	5	5	5	1	2	7	0	0	0	0	6	9	7	4	1	1	2	21	21	7	2	9	2	4	2	1	2					
10	Число действительных избирательных бюллетеней	27876	993	503	235	270	87	136	157	34	33	704	1031	319	395	18	533	828	279	181	1133	782	521	257	523	346	1798	466	143	74	172	923	199	169	140	91	98	295	103	338	409	282	153	1319	407	798	302	285	88	237	513	111	92	100	89	261	404	1165	302	144	196	109	1127	1172	664	160	324	203	595	261	104	193					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	966	35	25	8	10	3	5	5	3	3	25	35	15	15	3	15	25	10	10	35	24	6	8	14	20	45	10	5	3	5	35	8	8	8	3	3	20	5	15	14	8	5	45	8	15	9	36	3	8	15	3	3	3	3	8	10	30	10	8	8	8	50	40	25	8	8	15	12	10	3	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	593	23	9	8	0	1	1	0	0	0	16	16	4	12	0	15	25	10	4	21	23	5	3	11	6	40	5	2	0	2	14	5	6	3	0	0	12	2	15	8	5	0	17	8	15	4	36	3	1	6	1	0	2	0	5	10	30	6	3	0	2	41	40	17	1	5	3	4	1	0	0					
