Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Терская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276					
1	"Число избирателей, внесенных в списки избирателей"	32684	2756	2614	2452	2279	1230	635	2816	2409	325	1798	335	1206	926	1059	924	1937	1520	176	796	1272	1432	1220	567					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	32850	2748	2615	2440	2277	1250	640	2817	2430	330	1795	335	1238	949	1069	936	1953	1510	180	803	1272	1454	1243	566					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31929	2712	2598	2385	2274	1215	618	2783	2364	305	1771	333	1142	835	937	899	1929	1491	176	796	1246	1393	1195	532					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	571	2	15	45	3	0	17	20	26	20	24	2	49	86	115	25	6	17	0	0	19	25	25	30					
6	Число погашенных избирательных бюллетеней	350	34	2	10	0	35	5	14	40	5	0	0	47	28	17	12	18	2	4	7	7	36	23	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	571	2	15	45	3	0	17	20	26	20	24	2	49	86	115	25	6	17	0	0	19	25	25	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31929	2712	2598	2385	2274	1215	618	2783	2364	305	1771	333	1142	835	937	899	1929	1491	176	796	1246	1393	1195	532					
9	Число недействительных избирательных бюллетеней	7	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0					
10	Число действительных избирательных бюллетеней	32493	2714	2613	2430	2277	1215	635	2803	2388	325	1795	335	1191	920	1052	924	1935	1508	176	796	1265	1414	1220	562					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	99	8	8	7	7	5	1	8	7	1	5	1	4	3	3	3	5	5	1	2	4	5	4	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	36	3	4	6	1	2	0	3	2	0	1	0	2	0	3	0	0	5	0	1	1	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	9	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	1	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	63	5	4	1	6	3	1	5	5	1	4	1	2	3	0	3	5	0	1	1	3	5	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	1.Политическая партия «Аграрная партия России»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
