Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Карачаевская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146					
1	"Число избирателей, внесенных в списки избирателей"	16661	827	828	426	1610	603	409	677	1369	1573	339	960	1427	191	1012	2739	1671					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15863	798	798	408	1538	578	393	652	1316	1459	308	920	1378	161	919	2631	1606					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15304	765	704	385	1434	548	378	649	1294	1431	295	920	1378	40	903	2581	1599					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	558	32	94	23	104	30	15	3	22	28	13	0	0	121	16	50	7					
6	Число погашенных избирательных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	558	32	94	23	104	30	15	3	22	28	13	0	0	121	16	50	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15304	765	704	385	1434	548	378	649	1294	1431	295	920	1378	40	903	2581	1599					
9	Число недействительных избирательных бюллетеней	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	15858	797	798	408	1538	577	391	652	1316	1459	308	920	1378	161	919	2631	1605					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	43	2	2	2	2	2	2	4	2	2	2	2	3	2	3	5	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	22	2	0	0	1	0	0	4	0	0	2	1	0	0	3	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	19	2	0	3	1	0	0	0	0	10	0	0	0	1	0	1	1					
