Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Беловская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001					
1	"Число избирателей, внесенных в списки избирателей"	24746	1848	538	164	1695	957	789	313	165	1005	133	316	278	302	65	492	196	421	546	367	927	991	1196	1288	135	390	1125	155	1205	106	440	217	116	280	165	136	398	589	1697	896	408	218	1078					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23500	1812	548	166	1671	913	750	290	150	995	135	305	260	300	66	450	190	380	530	350	870	930	1000	1300	140	390	1000	155	1000	100	420	220	100	277	160	127	410	560	1680	850	360	190	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19074	1636	444	148	1338	765	589	284	146	711	112	270	246	243	57	361	174	355	436	315	676	759	953	876	92	331	903	105	792	100	379	187	86	235	148	120	325	378	1247	477	313	164	798					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1840	92	18	6	55	31	95	1	4	80	13	12	9	25	7	30	4	13	19	11	65	67	27	197	27	10	63	41	152	0	33	18	14	21	12	6	43	93	104	184	35	26	77					
6	Число погашенных избирательных бюллетеней	2586	84	86	12	278	117	66	5	0	204	10	23	5	32	2	59	12	12	75	24	129	104	20	227	21	49	34	9	56	0	8	15	0	21	0	1	42	89	329	189	12	0	125					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1840	92	18	6	55	31	95	1	4	80	13	12	9	25	7	30	4	13	19	11	65	67	27	197	27	10	63	41	152	0	33	18	14	21	12	6	43	93	104	184	35	26	77					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19073	1636	444	148	1338	765	589	284	146	711	112	270	246	243	57	361	174	355	436	315	676	759	953	876	92	331	903	105	791	100	379	187	86	235	148	120	325	378	1247	477	313	164	798					
9	Число недействительных избирательных бюллетеней	124	0	2	3	11	7	8	0	0	8	0	1	3	0	2	0	0	14	12	0	2	4	5	5	0	0	0	0	10	0	0	0	1	2	0	0	0	2	12	2	1	1	6					
10	Число действительных избирательных бюллетеней	20789	1728	460	151	1382	789	676	285	150	783	125	281	252	268	62	391	178	354	443	326	739	822	975	1068	119	341	966	146	933	100	412	205	99	254	160	126	368	469	1339	659	347	189	869					
