Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Осинниковская городская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802					
1	"Число избирателей, внесенных в список избирателей"	41111	1780	1956	511	1045	1429	1347	1854	1528	1838	2771	1360	1574	1313	2421	828	2379	2431	2336	2631	2820	2735	2224					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41400	1800	1950	550	1100	1450	1250	1800	1500	1900	2800	1300	1600	1350	2450	850	2400	2450	2400	2650	2850	2750	2250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30466	1032	1287	306	877	1035	913	1543	1103	1447	2137	1073	1259	743	1962	495	1650	2023	1857	2133	1869	1923	1799					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2005	114	103	40	58	115	156	33	122	50	232	51	58	141	119	27	127	139	40	61	122	46	51					
6	Число погашенных избирательных бюллетеней	8929	654	560	204	165	300	181	224	275	403	431	176	283	466	369	328	623	288	503	456	859	781	400					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2005	114	103	40	58	115	156	33	122	50	232	51	58	141	119	27	127	139	40	61	122	46	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30456	1027	1287	306	877	1035	913	1543	1103	1447	2137	1073	1259	743	1962	495	1645	2023	1857	2133	1869	1923	1799					
9	Число недействительных избирательных бюллетеней	284	29	103	4	9	0	11	0	11	0	5	12	0	18	0	2	7	14	0	35	0	24	0					
10	Число действительных избирательных бюллетеней	32177	1112	1287	342	926	1150	1058	1576	1214	1497	2364	1112	1317	866	2081	520	1765	2148	1897	2159	1991	1945	1850					
