Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Топкинская городская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528					
1	"Число избирателей, внесенных в списки избирателей"	37903	1331	1318	1320	1339	1283	1215	1149	1106	1082	1143	1072	1116	1258	1313	1266	1124	1215	1309	1187	1184	467	93	373	175	119	747	232	152	512	180	234	107	149	748	165	100	197	87	1218	616	721	356	607	134	753	207	166	1073	95	590	177	637	437	161	264	219	305					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34780	1200	1200	1200	1200	1200	1000	1000	1000	1000	1000	1000	1000	1000	1200	1000	1000	1000	1200	1000	1000	450	90	370	160	120	750	250	160	500	180	230	100	150	750	160	100	200	90	1200	600	700	380	600	140	750	200	160	1000	90	590	170	620	430	160	260	220	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24359	613	671	593	683	678	808	746	657	654	717	631	572	759	818	743	669	592	608	489	841	375	79	295	143	110	598	200	141	375	128	149	71	108	557	151	87	176	82	1052	533	568	345	524	126	559	170	137	790	59	509	137	405	314	119	218	180	247					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1566	89	86	51	68	60	36	21	54	36	30	22	48	35	43	37	60	54	70	92	64	14	4	0	0	0	27	9	0	27	21	10	5	8	30	7	5	8	0	2	0	15	11	27	0	54	5	14	33	8	26	13	50	26	13	25	7	6					
6	Число погашенных избирательных бюллетеней	8855	498	443	556	449	462	156	233	289	310	253	347	380	206	339	220	271	354	522	419	95	61	7	75	17	10	125	41	19	98	31	71	24	34	163	2	8	16	8	146	67	117	24	49	14	137	25	9	177	23	55	20	165	90	28	17	33	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1566	89	86	51	68	60	36	21	54	36	30	22	48	35	43	37	60	54	70	92	64	14	4	0	0	0	27	9	0	27	21	10	5	8	30	7	5	8	0	2	0	15	11	27	0	54	5	14	33	8	26	13	50	26	13	25	7	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24352	613	671	593	683	678	808	746	657	654	717	631	565	759	818	743	669	592	608	489	841	375	79	295	143	110	598	200	141	375	128	149	71	108	557	151	87	176	82	1052	533	568	345	524	126	559	170	137	790	59	509	137	405	314	119	218	180	247					
9	Число недействительных избирательных бюллетеней	259	1	5	15	6	9	9	10	9	3	5	4	9	8	10	10	6	10	11	10	6	0	2	3	0	0	15	0	1	3	1	2	0	1	10	1	0	1	1	6	6	16	0	1	1	2	0	0	3	0	5	0	8	7	3	0	0	4					
10	Число действительных избирательных бюллетеней	25659	701	752	629	745	729	835	757	702	687	742	649	604	786	851	770	723	636	667	571	899	389	81	292	143	110	610	209	140	399	148	157	76	115	577	157	92	183	81	1048	527	567	356	550	125	611	175	151	820	67	530	150	447	333	129	243	187	249					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	385	10	10	10	7	10	15	10	15	12	11	8	10	17	13	12	10	10	10	5	12	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	11	6	4	4	6	4	6	4	4	6	4	4	4	6	7	4	4	4	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	281	10	5	7	5	10	15	10	15	12	11	8	9	17	13	10	10	7	10	4	12	4	0	2	0	1	1	0	0	0	0	0	1	0	4	2	1	3	0	11	5	4	2	5	0	5	0	1	6	1	3	1	6	7	0	1	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	184	5	3	1	1	4	10	3	6	6	4	6	4	3	7	3	1	2	2	5	3	1	2	1	4	4	4	0	3	4	1	2	3	1	1	6	1	2	1	8	1	2	0	7	3	0	1	0	8	2	5	10	8	2	1	1	0	5					
14	Число погашенных неиспользованных открепительных удостоверений	104	0	5	3	2	0	0	0	0	0	0	0	1	0	0	2	0	3	0	1	0	0	4	2	4	3	3	4	4	4	4	4	3	4	0	2	3	1	4	0	1	0	2	1	4	1	4	3	0	3	1	3	0	0	4	3	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	0	0	1	2	0	2	4	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	397	8	10	12	12	6	13	7	20	6	17	10	7	11	12	6	8	7	1	8	6	9	0	12	1	2	12	3	1	10	0	2	2	2	14	1	2	1	0	9	15	18	7	12	3	8	3	1	13	0	12	3	7	6	8	8	2	1					
		1.53%	1.14%	1.32%	1.86%	1.60%	0.81%	1.54%	0.91%	2.81%	0.87%	2.28%	1.53%	1.14%	1.39%	1.39%	0.77%	1.10%	1.08%	0.15%	1.38%	0.66%	2.31%	0.00%	4.07%	0.70%	1.82%	1.92%	1.44%	0.71%	2.49%	0.00%	1.26%	2.63%	1.72%	2.39%	0.63%	2.17%	0.54%	0.00%	0.85%	2.81%	3.09%	1.97%	2.18%	2.38%	1.31%	1.71%	0.66%	1.58%	0.00%	2.24%	2.00%	1.54%	1.76%	6.06%	3.29%	1.07%	0.40%					
19	2.Всероссийская политическая партия «Гражданская Сила»	131	5	6	4	7	6	7	4	8	8	7	7	1	7	5	10	4	4	0	3	3	1	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	7	0	0	4	0	0	0	5	1	0	0	0	0					
		0.51%	0.71%	0.79%	0.62%	0.93%	0.81%	0.83%	0.52%	1.13%	1.16%	0.94%	1.07%	0.16%	0.88%	0.58%	1.28%	0.55%	0.62%	0.00%	0.52%	0.33%	0.26%	0.00%	0.34%	0.00%	0.91%	0.00%	0.00%	1.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.18%	0.00%	1.14%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	1.10%	0.29%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	27	0	0	1	0	5	3	0	2	1	0	1	3	0	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0					
		0.10%	0.00%	0.00%	0.16%	0.00%	0.68%	0.36%	0.00%	0.28%	0.14%	0.00%	0.15%	0.49%	0.00%	0.00%	0.00%	0.27%	0.15%	0.15%	0.17%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.12%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
