Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Верхошижемская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141					
1	"Число избирателей, внесенных в список избирателей"	7992	1574	1165	1066	176	353	319	438	310	493	475	766	413	444					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8185	1616	1187	1087	181	366	330	441	313	504	497	785	421	457					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3973	809	547	498	91	167	193	236	158	207	232	394	229	212					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	713	59	107	82	25	76	29	26	50	69	61	66	33	30					
6	Число погашенных избирательных бюллетеней	3499	748	533	507	65	123	108	179	105	228	204	325	159	215					
7	Число избирательных бюллетеней в переносных ящиках для голосования	713	59	107	82	25	76	29	26	50	69	61	66	33	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3972	809	547	498	91	167	193	236	158	207	231	394	229	212					
9	Число недействительных избирательных бюллетеней	64	14	7	7	5	1	0	7	4	3	2	5	5	4					
10	Число действительных избирательных бюллетеней	4621	854	647	573	111	242	222	255	204	273	290	455	257	238					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	40	40	40	10	20	20	30	20	35	35	40	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	131	25	12	3	0	12	7	4	14	7	11	22	5	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	3	1	6	0	4	4	2	4	3	4	6	7	10					
14	Число погашенных неиспользованных открепительных удостоверений	259	15	28	37	10	8	13	26	6	28	24	18	25	21					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	892	199	133	149	20	24	36	27	48	60	38	67	57	34					
		19.04%	22.93%	20.34%	25.69%	17.24%	9.88%	16.22%	10.31%	23.08%	21.74%	13.01%	14.57%	21.76%	14.05%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	837	165	116	114	28	32	48	42	31	41	43	86	49	42					
		17.87%	19.01%	17.74%	19.66%	24.14%	13.17%	21.62%	16.03%	14.90%	14.86%	14.73%	18.70%	18.70%	17.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	9	3	5	3	4	4	4	1	4	1	2	2	0					
		0.90%	1.04%	0.46%	0.86%	2.59%	1.65%	1.80%	1.53%	0.48%	1.45%	0.34%	0.43%	0.76%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	676	133	109	87	14	36	43	30	19	37	44	57	28	39					
		14.43%	15.32%	16.67%	15.00%	12.07%	14.81%	19.37%	11.45%	9.13%	13.41%	15.07%	12.39%	10.69%	16.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	49	10	9	14	0	0	6	1	1	0	2	4	0	2					
		1.05%	1.15%	1.38%	2.41%	0.00%	0.00%	2.70%	0.38%	0.48%	0.00%	0.68%	0.87%	0.00%	0.83%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2111	336	275	202	46	146	85	148	104	129	161	238	120	121					
		45.06%	38.71%	42.05%	34.83%	39.66%	60.08%	38.29%	56.49%	50.00%	46.74%	55.14%	51.74%	45.80%	50.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	2	2	2	0	0	0	3	0	2	1	1	1	0					
		0.30%	0.23%	0.31%	0.34%	0.00%	0.00%	0.00%	1.15%	0.00%	0.72%	0.34%	0.22%	0.38%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
