Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Кирово-Чепецкая																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553					
1	"Число избирателей, внесенных в список избирателей"	18987	232	974	210	316	1075	1345	824	1539	450	2509	1129	678	2927	526	181	863	1211	773	1225					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19190	350	1030	200	340	1100	1260	850	1580	460	2500	1170	650	2900	500	170	900	1200	830	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8897	231	541	111	126	449	690	444	484	207	1187	602	344	1217	274	91	431	552	368	548					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1321	0	121	15	51	124	57	99	195	28	82	72	4	157	36	0	89	66	55	70					
6	Число погашенных избирательных бюллетеней	8972	119	368	74	163	527	513	307	901	225	1231	496	302	1526	190	79	380	582	407	582					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1321	0	121	15	51	124	57	99	195	28	82	72	4	157	36	0	89	66	55	70					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8738	231	541	111	126	449	690	444	482	207	1105	530	344	1214	274	91	431	552	368	548					
9	Число недействительных избирательных бюллетеней	203	3	11	3	1	16	14	10	11	10	38	12	0	24	7	0	8	9	12	14					
10	Число действительных избирательных бюллетеней	9856	228	651	123	176	557	733	533	666	225	1149	590	348	1347	303	91	512	609	411	604					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	574	0	50	4	20	20	16	60	30	20	50	30	10	50	20	4	60	40	50	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	338	0	50	2	20	9	13	12	17	7	25	30	3	42	6	0	24	26	35	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	273	106	11	3	4	7	19	9	6	3	19	6	19	24	6	4	8	8	6	5					
14	Число погашенных неиспользованных открепительных удостоверений	236	0	0	2	0	11	3	48	13	13	25	0	7	8	14	4	36	14	15	23					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	0	0	1	4	2	2	0	0	1	2	0	2	1	0	0	2	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2017	56	64	20	23	224	149	79	82	51	271	111	66	278	36	19	64	206	88	130					
		20.05%	24.24%	9.67%	15.87%	12.99%	39.09%	19.95%	14.55%	12.11%	21.70%	22.83%	18.44%	18.97%	20.28%	11.61%	20.88%	12.31%	33.33%	20.80%	21.04%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1463	46	83	27	29	47	110	92	99	34	161	67	69	221	49	23	91	73	53	89					
		14.54%	19.91%	12.54%	21.43%	16.38%	8.20%	14.73%	16.94%	14.62%	14.47%	13.56%	11.13%	19.83%	16.12%	15.81%	25.27%	17.50%	11.81%	12.53%	14.40%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	96	0	4	4	3	7	4	5	5	0	19	4	3	14	4	2	4	4	5	5					
		0.95%	0.00%	0.60%	3.17%	1.69%	1.22%	0.54%	0.92%	0.74%	0.00%	1.60%	0.66%	0.86%	1.02%	1.29%	2.20%	0.77%	0.65%	1.18%	0.81%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1487	67	61	13	31	46	100	79	132	42	115	98	68	221	33	7	95	56	42	181					
		14.78%	29.00%	9.21%	10.32%	17.51%	8.03%	13.39%	14.55%	19.50%	17.87%	9.69%	16.28%	19.54%	16.12%	10.65%	7.69%	18.27%	9.06%	9.93%	29.29%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	163	8	6	1	1	1	5	4	21	4	35	7	8	17	4	1	15	5	7	13					
		1.62%	3.46%	0.91%	0.79%	0.56%	0.17%	0.67%	0.74%	3.10%	1.70%	2.95%	1.16%	2.30%	1.24%	1.29%	1.10%	2.88%	0.81%	1.65%	2.10%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4592	51	430	57	87	231	365	273	324	94	543	298	134	590	173	39	243	263	215	182					
		45.65%	22.08%	64.95%	45.24%	49.15%	40.31%	48.86%	50.28%	47.86%	40.00%	45.75%	49.50%	38.51%	43.03%	55.81%	42.86%	46.73%	42.56%	50.83%	29.45%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	38	0	3	1	2	1	0	1	3	0	5	5	0	6	4	0	0	2	1	4					
		0.38%	0.00%	0.45%	0.79%	1.13%	0.17%	0.00%	0.18%	0.44%	0.00%	0.42%	0.83%	0.00%	0.44%	1.29%	0.00%	0.00%	0.32%	0.24%	0.65%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
