Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Котельничская городская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643					
1	"Число избирателей, внесенных в списки избирателей"	22074	1736	1464	1197	1051	831	551	1755	1253	1007	1551	1337	1201	1889	374	1330	1395	861	943	348					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20337	1500	1400	1000	1000	800	600	1600	1100	1000	1400	1200	1000	1800	337	1200	1300	800	900	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13918	1082	1015	655	701	542	344	1214	878	604	897	976	807	1250	169	807	834	477	542	124					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2098	137	104	168	63	61	127	100	64	89	121	55	86	128	118	100	131	111	119	216					
6	Число погашенных избирательных бюллетеней	4321	281	281	177	236	197	129	286	158	307	382	169	107	422	50	293	335	212	239	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2098	137	104	168	63	61	127	100	64	89	121	55	86	128	118	100	131	111	119	216					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13918	1082	1015	655	701	542	344	1214	878	604	897	976	807	1250	169	807	834	477	542	124					
9	Число недействительных избирательных бюллетеней	149	13	12	9	6	4	1	10	9	8	6	12	11	19	1	7	10	4	5	2					
10	Число действительных избирательных бюллетеней	15867	1206	1107	814	758	599	470	1304	933	685	1012	1019	882	1359	286	900	955	584	656	338					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	456	41	32	27	25	25	5	40	28	26	20	29	28	30	10	31	30	18	11	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	456	41	32	27	25	25	5	40	28	26	20	29	28	30	10	31	30	18	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	556	77	20	25	27	28	4	19	23	21	19	36	23	29	50	25	17	17	25	71					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	154	16	9	4	8	10	7	13	14	7	11	9	8	11	2	8	11	3	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	1048	109	85	50	35	37	22	87	64	65	47	78	66	104	18	66	59	23	19	14					
		6.54%	8.94%	7.60%	6.08%	4.58%	6.14%	4.67%	6.62%	6.79%	9.38%	4.62%	7.57%	7.39%	7.55%	6.27%	7.28%	6.11%	3.91%	2.87%	4.12%					
19	2.Всероссийская политическая партия «Гражданская Сила»	116	12	8	6	3	5	3	10	7	2	6	13	9	8	0	8	7	1	2	6					
		0.72%	0.98%	0.71%	0.73%	0.39%	0.83%	0.64%	0.76%	0.74%	0.29%	0.59%	1.26%	1.01%	0.58%	0.00%	0.88%	0.73%	0.17%	0.30%	1.76%					
20	3.Политическая партия «Демократическая партия России»	24	0	2	1	2	0	2	3	0	2	0	0	2	1	2	3	1	0	1	2					
		0.15%	0.00%	0.18%	0.12%	0.26%	0.00%	0.42%	0.23%	0.00%	0.29%	0.00%	0.00%	0.22%	0.07%	0.70%	0.33%	0.10%	0.00%	0.15%	0.59%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1853	116	122	98	108	97	65	194	115	69	110	105	121	192	24	93	110	51	42	21					
		11.57%	9.52%	10.90%	11.91%	14.14%	16.09%	13.80%	14.76%	12.21%	9.96%	10.81%	10.18%	13.55%	13.93%	8.36%	10.25%	11.40%	8.67%	6.35%	6.18%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	96	10	3	5	6	3	1	10	5	5	9	7	4	11	1	6	6	1	2	1					
		0.60%	0.82%	0.27%	0.61%	0.79%	0.50%	0.21%	0.76%	0.53%	0.72%	0.88%	0.68%	0.45%	0.80%	0.35%	0.66%	0.62%	0.17%	0.30%	0.29%					
23	6.Политическая партия «Партия социальной справедливости»	42	3	0	2	4	3	1	4	2	2	5	5	0	3	0	1	1	3	2	1					
		0.26%	0.25%	0.00%	0.24%	0.52%	0.50%	0.21%	0.30%	0.21%	0.29%	0.49%	0.48%	0.00%	0.22%	0.00%	0.11%	0.10%	0.51%	0.30%	0.29%					
24	7.Политическая партия «Либерально-демократическая партия России»	1758	126	132	88	85	51	48	140	115	83	99	111	87	138	40	98	105	66	98	48					
		10.98%	10.34%	11.80%	10.69%	11.13%	8.46%	10.19%	10.65%	12.21%	11.98%	9.72%	10.77%	9.74%	10.01%	13.94%	10.80%	10.88%	11.22%	14.83%	14.12%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1290	100	80	54	63	50	44	125	88	57	72	82	86	122	8	76	77	40	48	18					
		8.05%	8.20%	7.15%	6.56%	8.25%	8.29%	9.34%	9.51%	9.34%	8.23%	7.07%	7.95%	9.63%	8.85%	2.79%	8.38%	7.98%	6.80%	7.26%	5.29%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	209	12	10	11	11	12	1	21	8	8	8	11	13	26	3	9	20	10	6	9					
		1.30%	0.98%	0.89%	1.34%	1.44%	1.99%	0.21%	1.60%	0.85%	1.15%	0.79%	1.07%	1.46%	1.89%	1.05%	0.99%	2.07%	1.70%	0.91%	2.65%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9299	701	661	491	429	334	280	703	518	385	650	600	492	738	187	533	562	384	435	216					
		58.06%	57.51%	59.07%	59.66%	56.15%	55.39%	59.45%	53.50%	54.99%	55.56%	63.85%	58.20%	55.10%	53.56%	65.16%	58.77%	58.24%	65.31%	65.81%	63.53%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	132	17	4	8	12	7	3	7	11	7	6	7	2	16	3	7	7	5	1	2					
		0.82%	1.39%	0.36%	0.97%	1.57%	1.16%	0.64%	0.53%	1.17%	1.01%	0.59%	0.68%	0.22%	1.16%	1.05%	0.77%	0.73%	0.85%	0.15%	0.59%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
