Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Лебяжская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691					
1	"Число избирателей, внесенных в списки избирателей"	7370	332	135	238	62	174	152	275	410	164	135	288	276	325	105	57	100	573	142	219	280	187	2741					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7750	360	130	260	100	190	170	310	410	175	150	270	250	400	100	80	110	535	165	210	380	195	2800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5007	243	113	165	50	143	120	203	245	124	90	197	167	194	90	47	76	417	88	120	206	152	1757					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	874	40	15	54	12	17	14	16	55	23	29	39	64	96	10	4	18	49	17	65	36	11	190					
6	Число погашенных избирательных бюллетеней	1869	77	2	41	38	30	36	91	110	28	31	34	19	110	0	29	16	69	60	25	138	32	853					
7	Число избирательных бюллетеней в переносных ящиках для голосования	874	40	15	54	12	17	14	16	55	23	29	39	64	96	10	4	18	49	17	65	36	11	190					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5002	243	113	165	50	143	120	203	245	124	90	197	167	194	90	47	76	417	88	120	206	152	1752					
9	Число недействительных избирательных бюллетеней	40	1	0	1	0	0	0	7	0	1	1	1	4	0	0	0	0	1	1	2	3	3	14					
10	Число действительных избирательных бюллетеней	5836	282	128	218	62	160	134	212	300	146	118	235	227	290	100	51	94	465	104	183	239	160	1928					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	245	20	5	5	5	5	10	18	21	9	4	10	6	23	5	2	5	10	8	5	20	15	34					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	245	20	5	5	5	5	10	18	21	9	4	10	6	23	5	2	5	10	8	5	20	15	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	90	9	2	2	2	2	1	0	4	2	2	4	0	5	1	1	4	2	1	2	3	5	36					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	1	1	0	0	0	0	0	3	0	0	1	5	2	0	0	0	3	0	2	2	1	34					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	746	28	3	30	3	43	29	24	29	25	8	47	30	59	15	10	5	67	10	30	39	27	185					
		12.70%	9.89%	2.34%	13.70%	4.84%	26.88%	21.64%	10.96%	9.67%	17.01%	6.72%	19.92%	12.99%	20.34%	15.00%	19.61%	5.32%	14.38%	9.52%	16.22%	16.12%	16.56%	9.53%					
19	2.Всероссийская политическая партия «Гражданская Сила»	26	2	0	1	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	16					
		0.44%	0.71%	0.00%	0.46%	0.00%	0.63%	1.49%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.82%					
20	3.Политическая партия «Демократическая партия России»	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2					
		0.09%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	864	30	15	25	13	31	11	39	64	10	13	36	29	24	26	11	12	92	19	22	19	26	297					
		14.70%	10.60%	11.72%	11.42%	20.97%	19.38%	8.21%	17.81%	21.33%	6.80%	10.92%	15.25%	12.55%	8.28%	26.00%	21.57%	12.77%	19.74%	18.10%	11.89%	7.85%	15.95%	15.29%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	8					
		0.22%	0.35%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.41%					
23	6.Политическая партия «Партия социальной справедливости»	13	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	6					
		0.22%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	1.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.54%	0.00%	0.00%	0.31%					
24	7.Политическая партия «Либерально-демократическая партия России»	556	29	8	26	9	19	9	18	26	13	14	23	29	31	8	0	9	29	12	21	16	16	191					
		9.46%	10.25%	6.25%	11.87%	14.52%	11.88%	6.72%	8.22%	8.67%	8.84%	11.76%	9.75%	12.55%	10.69%	8.00%	0.00%	9.57%	6.22%	11.43%	11.35%	6.61%	9.82%	9.84%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	299	26	3	17	5	7	6	2	4	2	4	11	6	12	6	0	2	34	5	4	8	7	128					
		5.09%	9.19%	2.34%	7.76%	8.06%	4.38%	4.48%	0.91%	1.33%	1.36%	3.36%	4.66%	2.60%	4.14%	6.00%	0.00%	2.13%	7.30%	4.76%	2.16%	3.31%	4.29%	6.59%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	74	4	3	2	1	2	5	3	0	0	1	1	2	0	0	1	2	4	1	1	3	1	37					
		1.26%	1.41%	2.34%	0.91%	1.61%	1.25%	3.73%	1.37%	0.00%	0.00%	0.84%	0.42%	0.87%	0.00%	0.00%	1.96%	2.13%	0.86%	0.95%	0.54%	1.24%	0.61%	1.91%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3220	159	94	116	30	57	72	126	173	94	77	114	130	161	45	29	64	237	57	103	152	81	1049					
		54.80%	56.18%	73.44%	52.97%	48.39%	35.63%	53.73%	57.53%	57.67%	63.95%	64.71%	48.31%	56.28%	55.52%	45.00%	56.86%	68.09%	50.86%	54.29%	55.68%	62.81%	49.69%	54.02%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	20	2	0	1	0	0	0	0	1	0	1	0	1	2	0	0	0	1	0	0	1	1	9					
		0.34%	0.71%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.84%	0.00%	0.43%	0.69%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.41%	0.61%	0.46%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
