Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Опаpинская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890									
1	Число избирателей, внесенных в списки избирателей	9799	1747	1208	1109	1296	966	440	567	187	870	248	314	108	166	211	145	217									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	8988	1400	1000	900	1200	950	450	600	200	850	235	330	110	177	208	156	222									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	6022	1072	691	589	769	628	282	342	112	535	162	199	84	113	201	70	173									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	877	88	92	100	103	62	40	76	38	75	28	41	15	22	5	54	38									
6	Число погашенных избирательных бюллетеней	2089	240	217	211	328	260	128	182	50	240	45	90	11	42	2	32	11									
7	Число избирательных бюллетеней в переносных ящиках для голосования	877	88	92	100	103	62	40	76	38	75	28	41	15	22	5	54	38									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6017	1072	690	585	769	628	282	342	112	535	162	199	84	113	201	70	173									
9	Число недействительных избирательных бюллетеней	58	8	7	2	15	6	3	10	0	2	1	0	3	0	0	1	0									
10	Число действительных избирательных бюллетеней	6836	1152	775	683	857	684	319	408	150	608	189	240	96	135	206	123	211									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	234	49	15	15	44	10	7	14	10	17	5	8	3	8	13	5	11									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	234	49	15	15	44	10	7	14	10	17	5	8	3	8	13	5	11									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	67	8	9	2	9	6	0	2	0	8	1	3	1	3	9	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	16	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
18	1.Политическая партия «Аграрная партия России»	274	54	29	19	33	29	8	15	13	23	8	14	2	2	3	8	14									
		3.97%	4.66%	3.71%	2.77%	3.78%	4.20%	2.48%	3.59%	8.67%	3.77%	4.21%	5.83%	2.02%	1.48%	1.46%	6.45%	6.64%									
19	2.Всероссийская политическая партия «Гражданская Сила»	47	15	6	3	2	6	4	2	2	3	1	0	0	0	1	1	1									
		0.68%	1.29%	0.77%	0.44%	0.23%	0.87%	1.24%	0.48%	1.33%	0.49%	0.53%	0.00%	0.00%	0.00%	0.49%	0.81%	0.47%									
20	3.Политическая партия «Демократическая партия России»	6	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.09%	0.17%	0.38%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	634	109	68	56	114	71	26	44	19	68	15	5	1	10	8	11	9									
		9.20%	9.40%	8.70%	8.18%	13.07%	10.29%	8.07%	10.53%	12.67%	11.15%	7.89%	2.08%	1.01%	7.41%	3.88%	8.87%	4.27%									
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	34	8	2	9	5	1	0	2	0	0	0	4	0	1	0	1	1									
		0.49%	0.69%	0.26%	1.31%	0.57%	0.14%	0.00%	0.48%	0.00%	0.00%	0.00%	1.67%	0.00%	0.74%	0.00%	0.81%	0.47%									
23	6.Политическая партия «Партия социальной справедливости»	19	3	0	3	2	0	1	0	0	4	1	0	0	2	0	1	2									
		0.28%	0.26%	0.00%	0.44%	0.23%	0.00%	0.31%	0.00%	0.00%	0.66%	0.53%	0.00%	0.00%	1.48%	0.00%	0.81%	0.95%									
