Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Волгореченская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в список избирателей"	14473	2292	2494	2540	2316	2483	2348					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12700	2000	2200	2200	2000	2200	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8570	1377	1370	1505	1421	1526	1371					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	263	58	67	19	43	14	62					
6	Число погашенных избирательных бюллетеней	3867	565	763	676	536	660	667					
7	Число избирательных бюллетеней в переносных ящиках для голосования	263	58	67	19	43	14	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8564	1377	1370	1504	1418	1524	1371					
9	Число недействительных избирательных бюллетеней	122	22	21	13	23	19	24					
10	Число действительных избирательных бюллетеней	8705	1413	1416	1510	1438	1519	1409					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	128	28	15	30	15	25	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	100	17	10	28	9	25	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	499	89	82	67	108	65	88					
14	Число погашенных неиспользованных открепительных удостоверений	28	11	5	2	6	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1689	307	281	297	259	295	250					
		19.13%	21.39%	19.55%	19.50%	17.73%	19.18%	17.45%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1430	204	229	259	242	264	232					
		16.20%	14.22%	15.94%	17.01%	16.56%	17.17%	16.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	132	15	18	22	21	32	24					
		1.50%	1.05%	1.25%	1.44%	1.44%	2.08%	1.67%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2370	337	375	434	380	454	390					
		26.85%	23.48%	26.10%	28.50%	26.01%	29.52%	27.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	384	50	45	80	63	103	43					
		4.35%	3.48%	3.13%	5.25%	4.31%	6.70%	3.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2642	491	459	403	467	359	463					
		29.93%	34.22%	31.94%	26.46%	31.96%	23.34%	32.31%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	58	9	9	15	6	12	7					
		0.66%	0.63%	0.63%	0.98%	0.41%	0.78%	0.49%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
