Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Солигаличская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584					
1	"Число избирателей, внесенных в списки избирателей"	9132	274	202	128	270	110	105	109	163	143	348	73	252	281	355	75	346	93	112	342	1141	1438	1377	1395					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8170	250	200	130	250	100	100	100	150	120	300	70	250	250	350	70	350	80	100	350	1000	1200	1200	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4813	135	145	89	114	67	66	56	105	75	145	41	132	153	149	39	183	45	71	198	609	762	757	677					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1060	90	23	15	105	13	19	24	18	24	85	13	44	33	113	18	70	31	12	19	54	89	58	90					
6	Число погашенных избирательных бюллетеней	2297	25	32	26	31	20	15	20	27	21	70	16	74	64	88	13	97	4	17	133	337	349	385	433					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1060	90	23	15	105	13	19	24	18	24	85	13	44	33	113	18	70	31	12	19	54	89	58	90					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4811	135	144	89	114	67	66	56	105	75	145	41	132	153	149	39	183	45	71	198	609	762	756	677					
9	Число недействительных избирательных бюллетеней	63	0	0	0	2	4	0	1	2	0	3	1	1	1	4	0	2	3	0	1	10	14	10	4					
10	Число действительных избирательных бюллетеней	5808	225	167	104	217	76	85	79	121	99	227	53	175	185	258	57	251	73	83	216	653	837	804	763					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	159	10	13	8	5	3	3	3	10	3	9	3	5	5	5	3	5	6	6	5	12	14	13	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	114	10	13	8	0	2	0	3	8	0	8	1	5	1	5	0	2	3	5	3	8	11	9	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	77	1	5	1	6	0	2	1	1	2	3	0	3	1	3	4	1	4	2	5	7	8	10	7					
14	Число погашенных неиспользованных открепительных удостоверений	45	0	0	0	5	1	3	0	2	3	1	2	0	4	0	3	3	3	1	2	4	3	4	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
