Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Кропоткинская городская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435					
1	"Число избирателей, внесенных в списки"	58797	1255	2432	1516	2612	2122	1642	1445	1130	1929	1563	3110	1612	1892	2048	1389	1659	1798	2089	1846	1057	1268	1712	1545	1352	2110	1077	2097	950	2884	2504	963	843	954	1155	1237					
2	"Число бюллетеней, полученных участковыми комиссиями"	59060	1300	2400	1520	2500	2100	1640	1450	1090	1950	1620	3000	1720	1950	1920	1360	1660	1940	2100	1870	1040	1280	1670	1550	1380	2060	1080	2160	1030	2940	2650	950	800	950	1130	1300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30299	524	1155	735	1313	1104	806	744	481	990	803	1358	811	1021	1194	776	904	1280	1185	996	486	692	907	782	805	1096	521	943	556	1484	1262	546	429	424	612	574					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2174	69	68	57	54	62	96	88	163	97	53	147	76	44	27	10	21	41	42	96	47	57	127	28	27	34	44	93	40	54	57	17	18	150	25	45					
6	Число погашенных бюллетеней	26587	707	1177	728	1133	934	738	618	446	863	764	1495	833	885	699	574	735	619	873	778	507	531	636	740	548	930	515	1124	434	1402	1331	387	353	376	493	681					
7	Число бюллетеней в переносных ящиках для голосования	2174	69	68	57	54	62	96	88	163	97	53	147	76	44	27	10	21	41	42	96	47	57	127	28	27	34	44	93	40	54	57	17	18	150	25	45					
8	Число бюллетеней в стационарных ящиках для голосования	30295	524	1155	735	1313	1100	806	744	481	990	803	1358	811	1021	1194	776	904	1280	1185	996	486	692	907	782	805	1096	521	943	556	1484	1262	546	429	424	612	574					
9	Число недействительных бюллетеней	292	3	16	17	10	7	6	7	6	10	12	12	10	6	13	1	3	16	11	8	6	0	12	5	6	9	8	10	7	8	10	10	7	4	2	14					
10	Число действительных бюллетеней	32177	590	1207	775	1357	1155	896	825	638	1077	844	1493	877	1059	1208	785	922	1305	1216	1084	527	749	1022	805	826	1121	557	1026	589	1530	1309	553	440	570	635	605					
