Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Бирилюсская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944					
1	"Число избирателей, внесенных в списки"	9442	1626	1569	241	318	124	168	63	216	144	68	573	36	2209	153	46	87	299	318	37	253	159	301	64	65	172	70	63					
2	"Число бюллетеней, полученных участковыми комиссиями"	9480	1638	1601	240	307	118	170	62	217	139	68	571	35	2228	153	49	88	304	314	36	250	158	298	65	68	169	69	65					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4527	758	637	127	150	65	107	50	128	80	37	303	30	869	89	36	60	140	173	31	143	71	162	32	46	101	55	47					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	400	103	43	1	17	6	29	4	2	2	2	5	0	43	9	0	0	17	36	5	7	32	15	9	0	9	4	0					
6	Число погашенных бюллетеней	4553	777	921	112	140	47	34	8	87	57	29	263	5	1316	55	13	28	147	105	0	100	55	121	24	22	59	10	18					
7	Число бюллетеней в переносных ящиках для голосования	400	103	43	1	17	6	29	4	2	2	2	5	0	43	9	0	0	17	36	5	7	32	15	9	0	9	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	4527	758	637	127	150	65	107	50	128	80	37	303	30	869	89	36	60	140	173	31	143	71	162	32	46	101	55	47					
9	Число недействительных бюллетеней	107	12	15	6	7	1	5	0	3	0	0	11	0	17	4	0	0	5	5	1	3	2	2	0	5	1	0	2					
10	Число действительных бюллетеней	4820	849	665	122	160	70	131	54	127	82	39	297	30	895	94	36	60	152	204	35	147	101	175	41	41	109	59	45					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	32	20	2	2	1	3	1	2	1	1	3	1	5	1	1	1	1	3	1	3	1	3	1	2	3	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	50	20	19	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2	1	0	0	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	5	0	2	2	2	1	2	0	2	1	3	0	2	0	0	0	1	2	2	4	1	2	1	0	1	1	1					
14	Число погашенных открепительных удостоверений	50	12	1	2	2	1	3	1	2	1	1	3	1	1	1	1	1	2	2	1	1	0	3	1	2	2	0	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	62	4	3	8	4	0	5	1	0	0	2	5	0	9	0	0	1	2	5	0	4	2	0	1	1	5	0	0					
		1.25%	0.46%	0.44%	6.25%	2.39%	0.0%	3.67%	1.85%	0.0%	0.0%	5.12%	1.62%	0.0%	0.98%	0.0%	0.0%	1.66%	1.27%	2.39%	0.0%	2.66%	1.94%	0.0%	2.43%	2.17%	4.54%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	31	13	5	0	2	0	1	0	0	0	1	1	0	4	0	0	0	0	1	0	0	1	1	0	0	1	0	0					
		0.62%	1.50%	0.73%	0.0%	1.19%	0.0%	0.73%	0.0%	0.0%	0.0%	2.56%	0.32%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.97%	0.56%	0.0%	0.0%	0.90%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	114	18	11	3	3	0	4	0	7	3	1	3	0	25	6	6	5	6	3	0	4	1	1	0	0	3	0	1					
		2.31%	2.09%	1.61%	2.34%	1.79%	0.0%	2.94%	0.0%	5.38%	3.65%	2.56%	0.97%	0.0%	2.74%	6.12%	16.66%	8.33%	3.82%	1.43%	0.0%	2.66%	0.97%	0.56%	0.0%	0.0%	2.72%	0.0%	2.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	106	25	30	0	5	0	2	1	7	1	1	2	0	21	1	0	1	3	0	0	2	1	2	0	1	0	0	0					
		2.15%	2.90%	4.41%	0.0%	2.99%	0.0%	1.47%	1.85%	5.38%	1.21%	2.56%	0.64%	0.0%	2.30%	1.02%	0.0%	1.66%	1.91%	0.0%	0.0%	1.33%	0.97%	1.12%	0.0%	2.17%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	25	9	4	0	1	0	0	0	1	1	0	0	0	4	1	0	0	2	1	0	0	0	0	0	0	1	0	0					
		0.50%	1.04%	0.58%	0.0%	0.59%	0.0%	0.0%	0.0%	0.76%	1.21%	0.0%	0.0%	0.0%	0.43%	1.02%	0.0%	0.0%	1.27%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	1	5	0	2	0	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.30%	0.11%	0.73%	0.0%	1.19%	0.0%	1.47%	0.0%	0.0%	1.21%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	16	4	2	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0					
