Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    Каратузская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431					
1	"Число избирателей, внесенных в список избирателей"	13537	1175	1752	1045	2368	266	273	419	460	544	950	60	115	391	474	487	251	524	411	617	107	60	145	92	220	331					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13280	1120	1720	980	2286	270	270	414	450	550	930	64	116	400	470	500	250	530	400	600	110	60	145	90	230	325					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7521	602	917	479	1254	188	157	264	264	325	477	37	88	306	268	269	161	304	252	349	46	34	90	48	133	209					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1086	66	173	73	192	9	47	38	45	27	137	6	3	25	51	36	6	27	22	39	8	0	8	2	37	9					
6	Число погашенных избирательных бюллетеней	4671	452	630	428	840	71	66	112	141	198	316	21	25	69	151	195	83	199	126	212	56	26	47	40	60	107					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1088	66	173	73	192	11	47	38	45	27	137	6	3	25	51	36	6	27	22	39	8	0	8	2	37	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7518	602	917	479	1251	188	157	264	264	325	477	37	88	306	268	269	161	304	252	349	46	34	90	48	133	209					
9	Число недействительных избирательных бюллетеней	186	12	18	7	15	4	2	5	4	10	13	3	1	0	18	3	5	5	42	5	0	0	0	0	4	10					
10	Число действительных избирательных бюллетеней	8420	656	1072	545	1428	195	202	297	305	342	601	40	90	331	301	302	162	326	232	383	54	34	98	50	166	208					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	20	20	20	30	10	10	10	10	10	20	5	5	10	10	10	10	10	10	10	5	5	5	5	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	85	5	10	4	18	1	6	0	2	4	2	3	0	6	7	5	1	4	0	1	0	1	0	0	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	3	1	6	4	1	1	4	2	2	4	0	1	2	2	1	1	1	0	2	1	1	2	1	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	195	15	10	16	12	9	4	10	8	6	18	2	5	4	3	5	9	6	10	9	5	4	5	5	7	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	742	75	110	49	159	18	11	20	9	27	60	1	0	25	21	22	15	31	19	31	4	0	10	4	12	9					
