Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Юргамышская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153					
1	"Число избирателей, внесенных в списки"	17982	460	181	519	120	995	95	697	100	744	251	898	64	121	321	663	199	117	635	357	304	381	644	338	242	103	519	154	161	959	995	875	761	1387	740	641	1109	132					
2	"Число бюллетеней, полученных участковыми комиссиями"	18347	481	189	541	177	997	102	696	102	823	261	922	67	126	371	729	204	122	569	363	312	399	661	348	260	143	548	152	164	945	941	877	805	1387	722	635	1070	136					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9379	269	113	260	120	553	73	359	64	392	111	470	54	87	151	361	126	59	336	141	194	223	316	227	174	100	274	70	92	460	419	406	366	579	310	311	670	89					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	944	37	29	41	0	49	6	12	3	51	46	26	0	7	27	16	18	7	67	66	9	49	87	27	15	3	17	54	17	17	30	27	9	24	18	10	17	6					
6	Число погашенных бюллетеней	8024	175	47	240	57	395	23	325	35	380	104	426	13	32	193	352	60	56	166	156	109	127	258	94	71	40	257	28	55	468	492	444	430	784	394	314	383	41					
7	Число бюллетеней в переносных ящиках для голосования	944	37	29	41	0	49	6	12	3	51	46	26	0	7	27	16	18	7	67	66	9	49	87	27	15	3	17	54	17	17	30	27	9	24	18	10	17	6					
8	Число бюллетеней в стационарных ящиках для голосования	9379	269	113	260	120	553	73	359	64	392	111	470	54	87	151	361	126	59	336	141	194	223	316	227	174	100	274	70	92	460	419	406	366	579	310	311	670	89					
9	Число недействительных бюллетеней	115	3	0	3	0	4	0	10	0	3	2	2	0	4	5	7	0	1	3	3	1	2	10	3	2	0	2	0	0	1	4	6	9	10	5	6	4	0					
10	Число действительных бюллетеней	10208	303	142	298	120	598	79	361	67	440	155	494	54	90	173	370	144	65	400	204	202	270	393	251	187	103	289	124	109	476	445	427	366	593	323	315	683	95					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	330	10	5	10	5	10	5	10	5	10	5	10	5	5	5	10	5	5	10	10	5	10	10	10	10	5	10	5	5	14	14	15	14	15	14	14	15	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	42	0	0	0	0	0	0	6	0	2	0	1	1	0	0	3	0	0	1	0	0	5	2	1	0	0	0	1	0	6	6	1	2	1	2	1	0	0					
