Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Частоозерская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931					
1	"Число избирателей, внесенных в списки избирателей"	5513	770	1004	482	186	66	320	257	65	427	132	80	414	73	403	102	98	383	72	179					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5460	750	1050	450	180	60	320	270	60	420	130	80	400	70	400	100	90	375	80	175					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3562	469	621	256	140	55	208	182	52	285	103	52	251	48	265	77	67	243	68	120					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	420	42	43	70	7	5	55	9	0	28	0	5	40	7	17	5	16	37	4	30					
6	Число погашенных избирательных бюллетеней	1478	239	386	124	33	0	57	79	8	107	27	23	109	15	118	18	7	95	8	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	420	42	43	70	7	5	55	9	0	28	0	5	40	7	17	5	16	37	4	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3562	469	621	256	140	55	208	182	52	285	103	52	251	48	265	77	67	243	68	120					
9	Число недействительных избирательных бюллетеней	23	1	4	1	0	0	3	0	0	4	0	0	2	0	3	0	1	3	0	1					
10	Число действительных избирательных бюллетеней	3959	510	660	325	147	60	260	191	52	309	103	57	289	55	279	82	82	277	72	149					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	139	8	25	5	4	2	10	10	2	6	3	4	10	2	10	11	3	10	3	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	111	8	25	5	1	1	10	10	2	6	2	4	8	0	9	6	3	4	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	57	8	14	9	1	1	1	0	1	0	4	1	1	1	4	1	5	4	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	28	0	0	0	3	1	0	0	0	0	1	0	2	2	1	5	0	6	1	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	162	18	26	11	1	2	5	11	1	14	0	2	28	0	21	3	0	10	1	8					
		4.07%	3.52%	3.92%	3.37%	0.68%	3.33%	1.90%	5.76%	1.92%	4.47%	0.00%	3.51%	9.62%	0.00%	7.45%	3.66%	0.00%	3.57%	1.39%	5.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0					
		0.15%	0.00%	0.15%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	1.94%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0					
		0.15%	0.59%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.36%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	328	35	59	20	4	0	20	22	10	42	3	10	29	3	18	11	2	14	2	24					
		8.24%	6.85%	8.89%	6.13%	2.72%	0.00%	7.60%	11.52%	19.23%	13.42%	2.91%	17.54%	9.97%	5.45%	6.38%	13.41%	2.41%	5.00%	2.78%	16.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.00%	0.30%	0.31%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	338	49	61	24	1	2	28	21	4	23	13	4	9	3	23	5	10	28	15	15					
		8.49%	9.59%	9.19%	7.36%	0.68%	3.33%	10.65%	10.99%	7.69%	7.35%	12.62%	7.02%	3.09%	5.45%	8.16%	6.10%	12.05%	10.00%	20.83%	10.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	117	19	28	18	1	4	4	3	0	6	1	1	12	0	3	0	0	4	5	8					
		2.94%	3.72%	4.22%	5.52%	0.68%	6.67%	1.52%	1.57%	0.00%	1.92%	0.97%	1.75%	4.12%	0.00%	1.06%	0.00%	0.00%	1.43%	6.94%	5.33%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	48	6	9	11	1	0	2	0	1	1	0	0	1	0	3	0	0	11	1	1					
		1.21%	1.17%	1.36%	3.37%	0.68%	0.00%	0.76%	0.00%	1.92%	0.32%	0.00%	0.00%	0.34%	0.00%	1.06%	0.00%	0.00%	3.93%	1.39%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2938	379	469	240	138	52	199	134	36	220	83	39	209	49	210	63	69	208	48	93					
		73.78%	74.17%	70.63%	73.62%	93.88%	86.67%	75.67%	70.16%	69.23%	70.29%	80.58%	68.42%	71.82%	89.09%	74.47%	76.83%	83.13%	74.29%	66.67%	62.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	11	1	4	0	0	0	0	0	0	3	1	1	0	0	0	0	1	0	0	0					
		0.28%	0.20%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.97%	1.75%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%	0.00%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
