Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
Наименование Избирательной комиссии:    Щучанская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1100	УИК №1101	УИК №1102	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116					
1	"Число избирателей, внесенных в списки избирателей"	19832	913	624	795	575	612	857	619	622	1490	1245	257	476	307	143	301	631	211	133	421	431	129	211	275	492	114	867	193	494	229	179	108	868	156	121	583	359	138	94	388	59	279	130	63	328	96	61	936	219					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18950	880	630	745	560	570	790	575	580	1300	1200	230	470	300	140	290	610	210	130	410	420	120	205	270	490	100	840	190	490	220	180	100	850	140	110	530	350	140	90	390	60	270	130	60	320	90	50	910	215					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11848	376	320	437	319	315	477	282	312	745	1094	158	344	188	107	215	359	137	83	290	279	94	113	162	370	62	527	114	319	147	137	68	392	118	91	353	262	89	66	187	34	241	95	56	197	59	50	463	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1391	46	44	25	33	33	75	40	29	45	52	31	39	22	19	22	44	12	8	0	0	0	24	32	29	30	68	25	29	5	18	5	99	10	9	79	15	0	0	56	14	7	13	0	13	13	0	149	30					
6	Число погашенных избирательных бюллетеней	5711	458	266	283	208	222	238	253	239	510	54	41	87	90	14	53	207	61	39	120	141	26	68	76	91	8	245	51	142	68	25	27	359	12	10	98	73	51	24	147	12	22	22	4	110	18	0	298	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1391	46	44	25	33	33	75	40	29	45	52	31	39	22	19	22	44	12	8	0	0	0	24	32	29	30	68	25	29	5	18	5	99	10	9	79	15	0	0	56	14	7	13	0	13	13	0	149	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11847	376	320	437	319	315	477	282	312	745	1094	158	344	188	107	215	359	137	83	290	279	94	113	162	370	62	527	114	319	147	137	68	392	118	90	353	262	89	66	187	34	241	95	56	197	59	50	463	145					
9	Число недействительных избирательных бюллетеней	97	2	4	4	3	8	6	0	2	8	9	1	2	0	1	0	4	2	0	0	2	1	0	0	4	0	6	1	0	3	0	0	5	3	0	6	1	2	0	1	0	1	0	0	1	0	0	4	0					
10	Число действительных избирательных бюллетеней	13141	420	360	458	349	340	546	322	339	782	1137	188	381	210	125	237	399	147	91	290	277	93	137	194	395	92	589	138	348	149	155	73	486	125	99	426	276	87	66	242	48	247	108	56	209	72	50	608	175					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	300	6	8	6	11	8	9	4	8	12	15	6	5	5	5	4	10	6	4	5	4	2	2	2	4	4	10	3	13	5	5	2	29	4	4	10	5	4	2	5	2	4	3	2	5	2	2	20	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	234	6	8	6	11	8	9	3	8	8	14	2	5	5	5	0	10	6	4	5	0	2	0	1	4	2	4	1	13	2	5	0	29	1	0	10	2	4	0	5	0	0	0	0	4	0	0	18	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	178	3	1	6	3	4	10	5	3	9	6	3	4	2	2	1	5	1	2	4	5	1	1	1	2	1	4	2	5	5	0	1	10	4	4	41	2	2	1	0	0	2	0	0	0	1	2	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	66	0	0	0	0	0	0	1	0	4	1	4	0	0	0	4	0	0	0	0	4	0	2	1	0	2	6	2	0	3	0	2	0	3	4	0	3	0	2	0	2	4	3	2	1	2	2	2	0					
