Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Подпорожская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769					
1	"Число избирателей, внесенных в списки избирателей"	28791	847	1089	747	1560	1261	1875	1580	1902	2311	1531	1314	820	88	130	148	1320	1297	1498	1173	207	95	209	87	1422	534	276	285	1284	450	297	303	97	245	103	57	269	80					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21650	600	800	550	1150	900	1350	1150	1350	1650	1100	950	600	100	150	150	950	950	1100	850	200	100	200	100	1050	400	200	200	950	350	250	300	100	250	150	100	250	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12853	308	504	318	786	584	896	786	929	1051	697	464	303	73	43	64	523	476	606	604	56	41	90	55	585	250	127	119	631	221	80	121	55	142	60	34	118	53					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1160	19	15	10	27	30	50	21	12	18	28	40	25	15	40	25	40	49	46	24	17	13	22	6	173	33	28	13	66	31	88	43	11	18	9	7	44	4					
6	Число погашенных избирательных бюллетеней	7637	273	281	222	337	286	404	343	409	581	375	446	272	12	67	61	387	425	448	222	127	46	88	39	292	117	45	68	253	98	82	136	34	90	81	59	88	43					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1160	19	15	10	27	30	50	21	12	18	28	40	25	15	40	25	40	49	46	24	17	13	22	6	173	33	28	13	66	31	88	43	11	18	9	7	44	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12851	308	504	318	785	584	896	786	929	1051	697	463	303	73	43	64	523	476	606	604	56	41	90	55	585	250	127	119	631	221	80	121	55	142	60	34	118	53					
9	Число недействительных избирательных бюллетеней	105	1	1	4	5	2	7	6	4	10	6	7	8	0	1	1	7	7	8	4	0	0	0	1	7	0	0	3	1	1	0	1	0	1	1	0	0	0					
10	Число действительных избирательных бюллетеней	13906	326	518	324	807	612	939	801	937	1059	719	496	320	88	82	88	556	518	644	624	73	54	112	60	751	283	155	129	696	251	168	163	66	159	68	41	162	57					
