Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Сланцевская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837					
1	"Число избирателей, внесенных в списки избирателей"	38742	776	1420	881	549	1539	1402	1524	1454	1434	1389	1512	1612	1505	1533	1361	1502	1662	1679	1675	1378	1532	1374	1569	1501	1734	252	564	961	723	96	560	89					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27499	587	1012	632	382	1085	984	1080	1024	1014	973	1044	1133	1060	1080	963	1057	1154	1184	1163	967	1072	972	1102	1037	1227	191	417	696	503	118	386	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17455	400	615	225	182	723	657	766	725	714	597	665	767	761	803	692	689	829	831	794	513	642	620	724	553	721	90	226	344	318	47	185	37					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1576	96	70	126	32	30	35	29	23	19	50	16	58	15	19	33	26	8	8	24	18	38	21	34	74	156	49	103	139	104	22	65	36					
6	Число погашенных избирательных бюллетеней	8468	91	327	281	168	332	292	285	276	281	326	363	308	284	258	238	342	317	345	345	436	392	331	344	410	350	52	88	213	81	49	136	127					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1576	96	70	126	32	30	35	29	23	19	50	16	58	15	19	33	26	8	8	24	18	38	21	34	74	156	49	103	139	104	22	65	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17453	400	615	225	182	723	657	766	725	712	597	665	767	761	803	692	689	829	831	794	513	642	620	724	553	721	90	226	344	318	47	185	37					
9	Число недействительных избирательных бюллетеней	149	1	3	4	1	8	6	6	7	7	6	8	4	3	10	3	5	5	8	7	1	0	3	11	13	5	3	0	3	2	2	4	0					
10	Число действительных избирательных бюллетеней	18880	495	682	347	213	745	686	789	741	724	641	673	821	773	812	722	710	832	831	811	530	680	638	747	614	872	136	329	480	420	67	246	73					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	819	90	20	45	15	25	25	25	20	20	20	15	15	20	25	20	20	15	25	25	20	20	25	25	14	45	25	50	65	20	10	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	640	86	16	34	2	17	19	15	17	17	15	10	13	15	16	20	20	12	16	16	10	17	24	15	11	32	25	50	54	11	10	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	430	14	2	9	11	9	12	13	8	9	14	34	11	19	14	13	14	19	13	16	6	5	11	3	37	13	7	21	27	15	11	14	6					
14	Число погашенных неиспользованных открепительных удостоверений	179	4	4	11	13	8	6	10	3	3	5	5	2	5	9	0	0	3	9	9	10	3	1	10	3	13	0	0	11	9	0	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	4	0	1	2	0	2	0	0	1	2	4	0	2	2	1	1	5	2	1	0	0	0	1	0	0	4	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	1.Политическая партия «Аграрная партия России»	570	13	15	8	4	19	16	13	18	24	24	17	29	23	35	26	17	27	17	34	18	13	17	28	21	38	6	14	16	15	0	4	1					
		2.99%	2.62%	2.19%	2.28%	1.87%	2.52%	2.31%	1.64%	2.41%	3.28%	3.71%	2.50%	3.52%	2.96%	4.26%	3.59%	2.38%	3.23%	2.03%	4.16%	3.39%	1.91%	2.65%	3.69%	3.35%	4.33%	4.32%	4.26%	3.31%	3.55%	0.00%	1.60%	1.37%					
19	2.Всероссийская политическая партия «Гражданская Сила»	161	5	5	0	1	7	8	11	4	8	9	9	6	6	10	4	8	7	9	9	2	7	7	5	5	3	1	1	3	0	0	1	0					
		0.85%	1.01%	0.73%	0.00%	0.47%	0.93%	1.16%	1.38%	0.53%	1.09%	1.39%	1.32%	0.73%	0.77%	1.22%	0.55%	1.12%	0.84%	1.07%	1.10%	0.38%	1.03%	1.09%	0.66%	0.80%	0.34%	0.72%	0.30%	0.62%	0.00%	0.00%	0.40%	0.00%					
20	3.Политическая партия «Демократическая партия России»	20	0	1	0	0	2	1	0	0	0	0	1	1	3	1	0	0	1	0	2	0	1	0	0	3	2	0	0	0	0	0	1	0					
