Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																				
Дата голосования: 04.12.2011																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111					
1	"Число избирателей, внесенных в список избирателей"	96405	2266	2322	2224	2393	2176	2299	980	2147	2387	1047	1419	947	1021	2082	2318	2472	2456	2380	2385	2559	1221	1264	2607	2743	2736	1406	253	194	1027	1049	1796	446	209	236	857	861	377	403	382	450	1144	1036	2422	2521	2107	2108	623	2697	2157	322	356	2531	1426	608	350	377	274	251	425	275	302	442	192	218	592	221	1560	2085	931	997	385	376	558	630	599	1119	391					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85640	2000	2000	2000	2000	2000	2000	1000	2000	2000	1000	1400	900	900	2000	2000	2000	2000	2000	2000	2000	1200	1200	2000	2000	2000	1400	250	190	1000	1000	1700	440	200	230	840	860	370	400	360	440	1000	1000	2000	2000	2000	2000	590	2000	2000	300	340	2000	1400	600	350	380	270	250	420	270	290	430	190	200	580	200	1500	2000	940	1000	370	360	550	620	580	1000	380					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38362	882	855	744	918	830	1010	467	911	1029	487	598	316	553	805	947	918	1087	1018	974	1025	442	527	1123	1022	1127	572	61	52	404	437	610	191	81	106	369	306	106	159	143	185	442	400	922	1048	857	842	225	1162	978	155	157	1042	521	155	109	114	164	55	153	94	91	127	81	75	156	104	638	869	387	353	109	106	221	236	222	465	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3235	62	56	31	44	61	34	16	85	43	35	49	38	66	64	32	26	27	22	27	15	20	30	39	28	37	31	47	41	22	7	71	14	10	15	5	22	44	24	59	39	29	26	58	52	20	29	104	45	28	29	21	29	32	101	69	65	41	85	68	34	54	50	17	39	47	30	58	113	37	45	50	47	45	38	57	57	48					
6	Число погашенных избирательных бюллетеней	44042	1056	1089	1225	1038	1109	956	517	1004	928	478	753	546	281	1131	1021	1056	886	960	999	960	738	643	838	950	836	797	142	97	574	556	1019	235	109	109	466	532	220	217	158	216	529	574	1020	900	1123	1129	261	792	994	116	162	929	847	344	172	201	65	110	199	142	145	253	92	86	377	66	804	1018	516	602	211	207	284	346	301	478	202					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3235	62	56	31	44	61	34	16	85	43	35	49	38	66	64	32	26	27	22	27	15	20	30	39	28	37	31	47	41	22	7	71	14	10	15	5	22	44	24	59	39	29	26	58	52	20	29	104	45	28	29	21	29	32	101	69	65	41	85	68	34	54	50	17	39	47	30	58	113	37	45	50	47	45	38	57	57	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38348	881	855	742	918	830	1010	467	911	1029	487	598	316	553	805	947	918	1084	1017	974	1025	442	527	1120	1022	1127	572	61	52	404	437	610	191	81	106	368	306	106	159	143	185	441	400	922	1048	857	842	225	1160	978	155	157	1042	521	155	109	114	164	55	153	94	91	127	81	75	156	104	638	869	387	353	109	106	221	236	222	465	130					
9	Число недействительных избирательных бюллетеней	1616	41	38	40	35	40	27	23	38	42	8	23	10	104	39	43	41	42	31	22	63	13	17	27	41	34	28	2	2	21	18	30	9	4	4	10	17	5	6	12	7	17	18	47	44	38	25	6	47	29	7	6	40	14	7	3	6	0	1	0	5	0	12	7	9	6	2	27	30	23	22	3	4	6	9	9	20	10					
10	Число действительных избирательных бюллетеней	39967	902	873	733	927	851	1017	460	958	1030	514	624	344	515	830	936	903	1069	1008	979	977	449	540	1132	1009	1130	575	106	91	405	426	651	196	87	117	363	311	145	177	190	217	453	408	933	1056	839	846	323	1158	977	177	172	1031	539	249	175	173	205	139	221	123	145	165	91	105	197	132	669	952	401	376	156	149	260	265	270	502	168					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2056	60	60	60	60	50	60	40	40	50	20	35	40	20	40	30	30	30	35	49	40	20	29	28	30	30	25	20	10	20	20	25	10	10	15	20	20	10	20	10	10	15	20	55	45	45	40	20	30	30	10	10	45	45	20	10	15	10	10	10	20	10	10	10	10	20	10	30	40	40	30	15	15	20	20	10	20	10					
