Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Рошальская городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493					
1	"Число избирателей, внесенных в списки избирателей"	18205	2376	2374	2152	1937	2133	2374	2707	2152					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18050	2350	2400	2200	1800	2100	2350	2700	2150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12258	1588	1477	1513	1523	1490	1604	1566	1497					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	321	21	23	26	82	25	19	83	42					
6	Число погашенных избирательных бюллетеней	5471	741	900	661	195	585	727	1051	611					
7	Число избирательных бюллетеней в переносных ящиках для голосования	321	21	23	26	82	25	19	83	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12257	1588	1477	1513	1523	1490	1604	1565	1497					
9	Число недействительных избирательных бюллетеней	119	16	11	9	14	15	20	21	13					
10	Число действительных избирательных бюллетеней	12459	1593	1489	1530	1591	1500	1603	1627	1526					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	400	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	208	24	43	30	20	15	17	32	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	45	8	13	0	6	9	3	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	192	26	7	20	30	35	33	18	23					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	173	18	18	19	16	27	29	22	24					
		1.38%	1.12%	1.20%	1.23%	0.99%	1.78%	1.79%	1.33%	1.56%					
19	2.Всероссийская политическая партия «Гражданская Сила»	67	13	6	8	12	10	5	10	3					
		0.53%	0.81%	0.40%	0.52%	0.75%	0.66%	0.31%	0.61%	0.19%					
20	3.Политическая партия «Демократическая партия России»	12	3	1	3	0	0	2	2	1					
		0.10%	0.19%	0.07%	0.19%	0.00%	0.00%	0.12%	0.12%	0.06%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1016	150	117	78	126	168	146	117	114					
		8.08%	9.32%	7.80%	5.07%	7.85%	11.09%	8.99%	7.10%	7.41%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	42	5	2	7	9	3	4	6	6					
		0.33%	0.31%	0.13%	0.45%	0.56%	0.20%	0.25%	0.36%	0.39%					
23	6.Политическая партия «Партия социальной справедливости»	16	0	0	0	4	4	0	5	3					
		0.13%	0.00%	0.00%	0.00%	0.25%	0.26%	0.00%	0.30%	0.19%					
24	7.Политическая партия «Либерально-демократическая партия России»	734	92	106	78	87	73	98	92	108					
		5.84%	5.72%	7.07%	5.07%	5.42%	4.82%	6.04%	5.58%	7.02%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	598	82	84	57	61	69	90	88	67					
		4.75%	5.10%	5.60%	3.70%	3.80%	4.55%	5.55%	5.34%	4.35%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	88	8	16	8	4	7	10	26	9					
		0.70%	0.50%	1.07%	0.52%	0.25%	0.46%	0.62%	1.58%	0.58%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9622	1210	1131	1261	1264	1123	1203	1247	1183					
		76.50%	75.20%	75.40%	81.94%	78.75%	74.13%	74.12%	75.67%	76.87%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	91	12	8	11	8	16	16	12	8					
		0.72%	0.75%	0.53%	0.71%	0.50%	1.06%	0.99%	0.73%	0.52%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
