Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Щербинская городская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256					
1	"Число избирателей, внесенных в списки избирателей"	25141	2298	2418	2502	2308	2466	2199	2696	2160	1183	2295	2616					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17950	1650	1700	1800	1650	1750	1550	1900	1550	900	1600	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12400	1086	1188	1218	1094	1230	1135	1399	776	606	1226	1442					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	197	20	22	14	23	10	18	34	25	5	19	7					
6	Число погашенных избирательных бюллетеней	5353	544	490	568	533	510	397	467	749	289	355	451					
7	Число избирательных бюллетеней в переносных ящиках для голосования	197	20	22	14	23	10	18	34	25	5	19	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12387	1086	1187	1213	1093	1229	1135	1399	775	604	1224	1442					
9	Число недействительных избирательных бюллетеней	177	28	13	19	22	14	17	23	12	3	12	14					
10	Число действительных избирательных бюллетеней	12407	1078	1196	1208	1094	1225	1136	1410	788	606	1231	1435					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	610	50	50	50	50	50	50	50	50	50	80	80					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	349	28	22	32	29	30	23	32	24	18	49	62					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	209	12	19	6	8	36	10	40	16	17	21	24					
14	Число погашенных неиспользованных открепительных удостоверений	261	22	28	18	21	20	27	18	26	32	31	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	3	3	1	3	1	0	2	1	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	402	34	37	35	30	40	49	43	29	18	34	53					
		3.19%	3.07%	3.06%	2.85%	2.69%	3.23%	4.25%	3.00%	3.63%	2.96%	2.74%	3.66%					
19	2.Всероссийская политическая партия «Гражданская Сила»	217	10	34	13	12	29	24	18	16	17	18	26					
		1.72%	0.90%	2.81%	1.06%	1.08%	2.34%	2.08%	1.26%	2.00%	2.79%	1.45%	1.79%					
20	3.Политическая партия «Демократическая партия России»	21	2	1	1	2	3	1	3	0	1	6	1					
		0.17%	0.18%	0.08%	0.08%	0.18%	0.24%	0.09%	0.21%	0.00%	0.16%	0.48%	0.07%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1769	142	148	145	150	167	152	183	120	69	262	231					
		14.06%	12.84%	12.24%	11.82%	13.44%	13.48%	13.18%	12.77%	15.00%	11.33%	21.08%	15.94%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	183	21	11	32	6	21	11	17	20	23	9	12					
		1.45%	1.90%	0.91%	2.61%	0.54%	1.69%	0.95%	1.19%	2.50%	3.78%	0.72%	0.83%					
23	6.Политическая партия «Партия социальной справедливости»	48	6	0	7	7	8	5	1	2	5	3	4					
		0.38%	0.54%	0.00%	0.57%	0.63%	0.65%	0.43%	0.07%	0.25%	0.82%	0.24%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	1102	90	90	86	117	101	93	138	57	56	136	138					
		8.76%	8.14%	7.44%	7.01%	10.48%	8.15%	8.07%	9.63%	7.13%	9.20%	10.94%	9.52%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1268	123	139	141	119	120	114	153	69	33	98	159					
		10.08%	11.12%	11.50%	11.49%	10.66%	9.69%	9.89%	10.68%	8.63%	5.42%	7.88%	10.97%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	321	30	39	21	34	38	32	36	10	19	34	28					
		2.55%	2.71%	3.23%	1.71%	3.05%	3.07%	2.78%	2.51%	1.25%	3.12%	2.74%	1.93%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6694	585	661	692	593	641	618	788	440	331	609	736					
		53.19%	52.89%	54.67%	56.40%	53.14%	51.74%	53.60%	54.99%	55.00%	54.35%	48.99%	50.79%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	382	35	36	35	24	57	37	30	25	34	22	47					
		3.04%	3.16%	2.98%	2.85%	2.15%	4.60%	3.21%	2.09%	3.13%	5.58%	1.77%	3.24%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
