Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:     Каширская 																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720					
1	"Число избирателей, внесенных в списки"	60520	2451	1385	1515	560	2173	1493	2109	2327	2418	494	2412	2400	2364	1135	2695	2358	2254	2411	2459	2371	785	2339	824	593	1361	1185	1626	483	827	420	401	1493	1086	654	870	942	305	225	1348	858	379	386	1346					
2	"Число бюллетеней, полученных участковыми комиссиями"	57459	2261	1031	1430	531	2103	1465	2073	2256	2314	466	2320	2324	2263	1098	2585	2279	2177	2315	2378	2305	738	2243	753	581	1291	1142	1577	466	805	402	384	1451	800	400	853	937	291	217	1318	846	382	400	1208					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30179	1334	661	728	209	880	558	1187	1234	1211	184	1175	1202	1251	686	1549	1358	1299	1364	1131	1081	331	1062	335	264	652	569	829	75	333	189	210	730	496	293	421	435	106	131	679	367	123	385	882					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1299	42	31	57	16	41	44	12	14	15	0	27	17	25	22	15	20	18	18	20	19	5	29	7	28	43	54	19	146	28	45	12	48	51	31	54	77	42	12	26	18	51	0	0					
6	Число погашенных бюллетеней	25975	885	339	645	306	1182	863	874	1008	1088	282	1118	1103	987	390	1021	901	860	933	1227	1205	402	1152	411	288	596	519	729	245	444	168	162	670	253	76	378	425	143	74	613	461	208	15	326					
7	Число бюллетеней в переносных ящиках для голосования	1301	42	31	57	16	41	44	12	14	15	0	27	17	25	22	15	20	18	18	20	19	5	29	7	29	43	54	20	146	28	45	12	48	51	31	54	77	42	12	26	18	51	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	30049	1292	661	728	209	880	558	1187	1234	1209	184	1175	1204	1163	686	1549	1358	1299	1364	1131	1081	331	1062	333	264	652	569	828	75	333	189	210	733	496	293	421	435	106	131	679	367	123	385	882					
9	Число недействительных бюллетеней	801	21	33	22	3	21	31	17	15	16	7	16	15	21	13	34	17	18	41	60	25	5	42	13	13	44	15	57	1	5	2	5	34	27	7	12	27	2	7	17	8	1	5	6					
10	Число действительных бюллетеней	30549	1313	659	763	222	900	571	1182	1233	1208	177	1186	1206	1167	695	1530	1361	1299	1341	1091	1075	331	1049	327	280	651	608	791	220	356	232	217	747	520	317	463	485	146	136	688	377	173	380	876					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	898	30	20	22	8	32	22	32	35	35	7	36	36	35	17	40	35	33	35	36	35	11	34	12	9	20	17	24	7	12	6	6	22	16	10	13	14	4	3	20	13	6	0	38					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	233	9	5	2	0	6	2	14	21	11	2	7	2	1	5	10	7	6	9	4	10	4	12	1	1	5	4	10	0	1	0	0	1	2	1	2	6	0	0	4	5	3	0	38					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	195	9	11	9	8	13	11	14	3	1	0	12	2	7	1	9	1	4	1	3	1	4	0	2	3	5	10	1	2	2	3	2	3	1	1	3	4	5	4	7	2	5	0	6					
14	Число погашенных открепительных удостоверений	665	21	15	20	8	26	20	18	14	24	5	29	34	34	12	30	28	27	26	32	25	7	22	11	8	15	13	14	7	11	6	6	21	14	9	11	8	4	3	16	8	3	0	0					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
