Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Рузская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469					
1	"Число избирателей, внесенных в списки"	52616	674	1644	2692	1421	2350	926	1346	2728	2416	2846	2877	528	1279	2107	1140	1957	2373	805	221	1263	1321	1086	1572	463	1188	501	1497	275	1355	311	297	1394	331	167	2525	2497	1349	894					
2	"Число бюллетеней, полученных участковыми комиссиями"	45630	570	1416	2382	1229	2031	727	1151	2255	2075	2544	2512	447	1087	1823	1035	1729	2028	701	185	1082	1173	973	1391	387	1018	429	1317	237	1406	269	252	1223	282	145	2167	2006	1198	748					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24670	333	900	1432	796	1233	465	712	1275	1135	1363	1309	278	622	916	501	765	1121	444	75	534	581	535	521	167	491	206	609	86	663	141	142	638	129	106	1151	1330	593	372					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1850	34	17	26	17	11	104	19	130	17	9	6	8	8	19	21	14	59	24	52	91	95	94	170	45	183	29	64	49	31	14	94	34	58	2	17	30	37	118					
6	Число погашенных бюллетеней	19110	203	499	924	416	787	158	420	850	923	1172	1197	161	457	888	513	950	848	233	58	457	497	344	700	175	344	194	644	102	712	114	16	551	95	37	999	646	568	258					
7	Число бюллетеней в переносных ящиках для голосования	1850	34	17	26	17	11	104	19	130	17	9	6	8	8	19	21	14	59	24	52	91	95	94	170	45	183	29	64	49	31	14	94	34	58	2	17	30	37	118					
8	Число бюллетеней в стационарных ящиках для голосования	24647	333	900	1427	796	1233	465	710	1271	1135	1360	1308	278	619	915	501	765	1120	444	75	534	581	535	520	167	491	206	609	86	663	141	142	638	129	104	1151	1330	593	372					
9	Число недействительных бюллетеней	449	6	12	19	18	19	11	6	20	21	14	20	5	20	16	9	14	24	13	0	7	18	10	14	2	0	5	15	2	5	5	0	17	1	4	14	22	20	21					
10	Число действительных бюллетеней	26048	361	905	1434	795	1225	558	723	1381	1131	1355	1294	281	607	918	513	765	1155	455	127	618	658	619	676	210	674	230	658	133	689	150	236	655	186	102	1154	1338	610	469					
