Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Боровичcкая																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74									
1	Число избирателей, внесенных в списки	62775	1955	1097	1280	1402	1702	2063	1237	1834	1366	1104	1026	1598	997	1687	298	1313	2220	1836	659	1175	1699	1132	1217	2060	1118	1101	1149	1902	1631	2058	1999	972	1935	529	232	103	1057	347	267	385	459	1519	850	83	267	471	400	753	294	626	1423	306	728	265	84	1147	745	488	476	232	151	266									
2	Число бюллетеней, полученных участковыми комиссиями	62558	1940	1100	1280	1400	1610	2040	1230	1830	1380	1100	1030	1550	970	1690	350	1320	2140	1800	650	1180	1700	1120	1200	2040	1120	1090	1150	1860	1580	2000	1950	960	1930	550	240	115	1080	350	275	385	510	1520	870	95	275	475	410	750	290	660	1480	310	720	265	90	1178	770	490	465	230	140	280									
3	Число бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число бюллетеней, выданных избирателям на избирательном участке	28065	932	508	634	759	843	1054	509	859	651	442	355	641	316	806	246	663	979	660	255	525	863	425	402	946	520	381	524	807	783	1054	857	339	853	257	107	33	466	178	105	203	170	614	386	42	170	239	108	457	77	280	707	105	328	115	29	524	367	100	217	98	30	162									
5	Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования	3031	32	15	10	8	16	25	18	15	16	13	14	22	15	20	0	14	24	45	8	22	14	19	31	22	22	10	27	37	33	10	25	27	18	62	38	47	80	54	68	71	170	166	99	19	5	58	68	29	136	153	105	66	3	65	26	233	93	219	88	46	55	62									
6	Число погашенных бюллетеней	31462	976	577	636	633	751	961	703	956	713	645	661	887	639	864	104	643	1137	1095	387	633	823	676	767	1072	578	699	599	1016	764	936	1068	594	1059	231	95	35	534	118	102	111	170	740	385	34	100	178	234	264	77	227	668	139	389	85	35	421	310	171	160	86	55	56									
7	Число бюллетеней в переносных ящиках для голосования	3031	32	15	10	8	16	25	18	15	16	13	14	22	15	20	0	14	24	45	8	22	14	19	31	22	22	10	27	37	33	10	25	27	18	62	38	47	80	54	68	71	170	166	99	19	5	58	68	29	136	153	105	66	3	65	26	233	93	219	88	46	55	62									
8	Число бюллетеней в стационарных ящиках для голосования	28059	932	508	634	759	843	1054	509	859	651	442	355	641	316	804	246	663	979	660	255	525	863	425	402	946	519	381	524	806	783	1054	857	339	853	257	107	33	466	178	105	203	170	612	386	42	170	239	108	457	77	280	707	105	328	115	29	524	367	100	217	98	30	162									
9	Число недействительных бюллетеней	283	2	3	2	3	5	14	4	7	1	3	2	5	2	6	6	10	8	4	3	4	5	7	2	10	2	5	4	11	4	2	25	2	4	3	8	0	3	4	1	1	2	10	3	1	11	5	5	16	1	4	4	2	5	2	0	4	0	2	4	2	0	3									
10	Число действительных бюллетеней	30807	962	520	642	764	854	1065	523	867	666	452	367	658	329	818	240	667	995	701	260	543	872	437	431	958	539	386	547	832	812	1062	857	364	867	316	137	80	543	228	172	273	338	768	482	60	164	292	171	470	212	429	808	169	326	178	55	753	460	317	301	142	85	221									
11	Число открепительных удостоверений, полученных участковыми комиссиями	620	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10									
12	Число открепительных удостоверений, выданных участковыми комиссиями	190	8	2	6	1	5	3	4	10	4	0	3	3	4	6	0	7	5	5	2	1	4	2	1	4	3	2	4	2	6	4	2	0	4	6	1	0	4	2	0	0	4	1	4	3	3	0	0	1	0	10	13	1	1	6	0	8	1	1	2	1	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	120	0	1	4	3	1	3	1	4	2	1	2	2	3	2	1	1	3	3	0	0	1	1	0	10	1	3	1	3	3	1	7	2	1	1	1	1	1	2	1	1	3	4	1	0	3	1	1	0	0	0	0	7	0	5	0	3	3	2	4	2	0	2									
14	Число погашенных открепительных удостоверений	430	2	8	4	9	5	7	6	0	6	10	7	7	6	4	0	3	5	5	8	9	6	8	9	6	7	8	6	8	4	6	8	10	6	4	9	10	6	8	10	10	6	9	6	7	7	10	10	9	10	0	7	9	9	4	10	2	9	9	8	9	10	10									
